,k_tx_1,k_tx_2,k_deg_1,k_deg_2,k_reg
Gene-pair-0,9.07207975912488,0.7334548972804081,0.46602904646881954,0.11676252063702858,0
Gene-pair-1,0.8035204777780925,1.139680048326851,0.1690214897524225,0.17998524320479375,0
Gene-pair-2,19.096992435979903,0.6972977714812341,0.10145578892051542,0.18118695784873037,0
Gene-pair-3,0.2292343828403733,4.326147765303696,0.11951753911969339,0.7391286306757543,0
Gene-pair-4,0.7650270692576552,3.3472025736679436,0.2735823569199479,0.6138723415680521,0
Gene-pair-5,0.11407604181904285,6.851488577346844,0.17387709988255182,0.4854800903395907,0
Gene-pair-6,7.329747392943196,1.2977970981311102,0.21113047956437103,0.2349640582342774,0
Gene-pair-7,6.47636921268375,5.199630369367055,0.8159335307324249,0.12234672523546365,0
Gene-pair-8,0.27854626549796907,1.9908866282978495,0.8896111041878186,0.17651896659203506,0
Gene-pair-9,0.6712853407446948,1.8698779936470427,0.20700037936229987,0.390159866364311,0
Gene-pair-10,3.3657879804517297,4.878337190027325,0.1976373561860181,0.8701836196242936,0
Gene-pair-11,1.8655427066361265,7.639740278413721,0.12484639434153029,0.37686051604316567,0
Gene-pair-12,18.529511302089574,2.096013216958122,0.7501778943259725,0.19149886196972085,0
Gene-pair-13,0.43762711679509747,1.3604932274769623,0.19871805896181627,0.9668964166889776,0
Gene-pair-14,31.567792109082184,0.273013745516109,0.3769579282563436,0.5236627940293839,0
Gene-pair-15,0.21901573319937334,13.992290981987768,0.4448621144593658,0.34620346467545055,0
Gene-pair-16,3.3335485475245883,0.20664452989645438,0.15153524729598672,0.5726830386745698,0
Gene-pair-17,11.254838071854419,0.6266632224511474,0.1342973510554616,0.22906689717349757,0
Gene-pair-18,3.957840035232678,4.658451576257517,0.44381042111139324,0.10263328690630778,0
Gene-pair-19,20.90579205508279,1.1945502704135882,0.3089843812151579,0.32216259697706956,0
Gene-pair-20,0.1767831881652308,3.004501610684981,0.13455376782048348,0.8542367109948433,0
Gene-pair-21,0.16401053703435006,23.066199919996652,0.23502477568976277,0.1868919267217858,0
Gene-pair-22,0.657803648926121,23.324505296369708,0.19093033219064903,0.36222582666630576,0
Gene-pair-23,11.947328745762766,1.0567230786533557,0.46364108809461535,0.5739156436821151,0
Gene-pair-24,4.273484178183422,0.29695400560134505,0.7213426359311126,0.15105218018178423,0
Gene-pair-25,6.4595494927142045,1.7780335847791893,0.5297303720061023,0.11839708280167836,0
Gene-pair-26,0.5030546868335687,0.49022436478924125,0.2369952507590927,0.37182649427232856,0
Gene-pair-27,0.15433697431620408,8.937977250727139,0.9039081747542103,0.14495540183583466,0
Gene-pair-28,0.3787760883904874,0.5630260781950943,0.6137439679319856,0.3859576457039693,0
Gene-pair-29,0.16690334696068557,0.11701098827199262,0.30052451243571454,0.10655389276385932,0
Gene-pair-30,0.12449319292352931,1.2849675180832072,0.6141886969864556,0.9817763406300389,0
Gene-pair-31,3.2248948681906766,0.21485398457974478,0.8468286096993527,0.18233024245068144,0
Gene-pair-32,7.65436429483503,0.11816725099334796,0.4739045609635715,0.16093816087327287,0
Gene-pair-33,0.550729098709483,0.10809912703221629,0.2265659579280006,0.3503552654582144,0
Gene-pair-34,0.1802913574322231,28.291690100321247,0.24020011349349005,0.20679773697829157,0
Gene-pair-35,0.2046398139562698,4.561506396815664,0.42494771675499526,0.12387073574380869,0
Gene-pair-36,0.514248843408273,0.21628931508236673,0.13336043544046383,0.11718695023115351,0
Gene-pair-37,18.876258148720492,0.3648048390726361,0.11272088986401606,0.5363918132876886,0
Gene-pair-38,0.4887607098390905,1.824341365808763,0.23215715731789435,0.846481476361731,0
Gene-pair-39,9.509749206154334,0.21027237512625926,0.32421958670459516,0.7061368069137135,0
Gene-pair-40,8.34842674481978,0.27216820837964545,0.14318194805384568,0.41058688732135135,0
Gene-pair-41,0.9840595044858208,0.8938411904833949,0.1131632038371489,0.17723533550074444,0
Gene-pair-42,28.341739701149375,13.968055837908327,0.15580385490833973,0.10457223886482254,0
Gene-pair-43,2.2153208215923805,0.8714881034985389,0.4821788236408947,0.43988703540093177,0
Gene-pair-44,1.7282936558892341,5.98059959965423,0.7841749433341358,0.12225356631927754,0
Gene-pair-45,4.7178394952113685,3.839121708583767,0.8802241181132375,0.8972462627462732,0
Gene-pair-46,3.769173624335283,0.2703866609916004,0.7100343791907959,0.8206903574944997,0
Gene-pair-47,8.633381875887098,11.72924912897118,0.9047939639706492,0.24318527815790164,0
Gene-pair-48,0.23015350723503467,5.911546687949671,0.4451627384973693,0.9624256858914056,0
Gene-pair-49,1.4304466828293956,0.5068365560607869,0.6238609122730497,0.5871758174038011,0
Gene-pair-50,0.987823666696787,0.1674031553477277,0.3381355694252311,0.138383078514703,0
Gene-pair-51,6.175059335695905,0.3365206110856338,0.17985795915555305,0.5596356280407889,0
Gene-pair-52,14.84287134817081,0.12861591057149616,0.17024912341217294,0.8900898214286117,0
Gene-pair-53,0.886705666622632,0.25678788127282315,0.156927631599679,0.19161888008920752,0
Gene-pair-54,0.41065586649822217,26.917239255187987,0.32943660175749184,0.21981965405308873,0
Gene-pair-55,0.12817459327767136,0.11943111998157337,0.13958585519338387,0.18603838723713662,0
Gene-pair-56,6.422571276639596,2.317079142091362,0.23288144697721527,0.23175840704235473,0
