,k_tx_1,k_tx_2,k_deg_1,k_deg_2,k_reg
Gene-pair-0,3.725508882305688,1.5803218344711774,0.19597170159493413,0.20028639947480795,0
Gene-pair-1,0.4174305445607627,5.445240283400598,0.37927770916259934,0.3912018982543283,0
Gene-pair-2,11.345883817582994,2.9114049282027077,0.6003259788852384,0.10331434001199802,0
Gene-pair-3,7.080135662886609,2.000131464262829,0.18585183640029676,0.5114648491816629,0
Gene-pair-4,1.6104074559089205,57.57184038136108,0.10077539134310184,0.9042096106888611,0
Gene-pair-5,1.0446234035564068,0.8575333511427944,0.24511631653565769,0.9479705213460656,0
Gene-pair-6,4.142783439129777,0.5478914233829084,0.37471673793825677,0.2159967137709927,0
Gene-pair-7,4.5492785744839965,24.14471307952145,0.6361186035588988,0.18638747600760763,0
Gene-pair-8,2.7375955204175897,0.278813760740344,0.5127747196123338,0.10878203323056336,0
Gene-pair-9,23.366633966573424,5.183641321870428,0.13172189790168884,0.13783027331236772,0
Gene-pair-10,0.37425642960862765,0.20541956301063105,0.12891655164191176,0.7912872092210276,0
Gene-pair-11,23.392636408352622,59.992544439099866,0.22633740687878195,0.1435797008712478,0
Gene-pair-12,39.94107919173841,1.6048229886095629,0.5675295384477009,0.7899188197257595,0
Gene-pair-13,0.24799303075007903,39.53758669592674,0.4566583217684006,0.6683769126429292,0
Gene-pair-14,41.913140150081,4.105019023571442,0.7767120641370584,0.3567835584002806,0
Gene-pair-15,0.5214400789647841,1.3255900443449853,0.5006974085126419,0.887996567906281,0
Gene-pair-16,4.7623011333705065,2.8178109027980374,0.6397547836893503,0.39108415310232514,0
Gene-pair-17,59.229061508907044,1.8050462286244298,0.10434449122425082,0.2958040203962483,0
Gene-pair-18,5.041724816921919,60.12310083638741,0.12323705643249512,0.6549080337033691,0
Gene-pair-19,5.986850740270502,7.410110952760533,0.4327731137994661,0.587887379674701,0
Gene-pair-20,0.4140015625514015,56.340109202809536,0.16293585267549274,0.5924606046158578,0
Gene-pair-21,1.5684305368159932,7.244669954320917,0.27106278586359983,0.1078850248829124,0
Gene-pair-22,11.260100963391288,2.793569305240138,0.2707205794633957,0.14525394201207745,0
Gene-pair-23,0.7239735659388331,4.487875458786935,0.23960772397008076,0.1492149009829879,0
Gene-pair-24,1.0406700299931289,23.711986378464243,0.32640176363612994,0.30087081548232425,0
Gene-pair-25,11.96423002544542,46.5639089961826,0.18390605618235586,0.10755783236228561,0
Gene-pair-26,29.032945023476636,1.9545772157248091,0.14012582007515512,0.4269644728710227,0
Gene-pair-27,21.78515820960218,0.22358959881077264,0.23066023596133559,0.2700927959197016,0
Gene-pair-28,1.1471894020251971,3.9262115332740417,0.13771079943307474,0.21955284114399617,0
Gene-pair-29,0.2332022892938625,1.180897893460938,0.15472158037612338,0.15690964996434914,0
Gene-pair-30,10.05432016234103,0.2839772205546178,0.5430881276644147,0.16182086888137864,0
Gene-pair-31,28.21046969990141,32.13272589678265,0.5789417019884102,0.16618299504843054,0
Gene-pair-32,21.643162396334155,2.3039297157183025,0.2342369252147703,0.238189909998213,0
Gene-pair-33,1.9037636522539683,4.4147426528593785,0.39066253736797646,0.8888307344028232,0
Gene-pair-34,1.4209273657518113,11.25791670679986,0.6849767977882143,0.33430339320579033,0
Gene-pair-35,8.27833844760509,12.34456961949469,0.12222005057644292,0.696739877974098,0
Gene-pair-36,0.6381609694984708,15.237241019817521,0.3043394810884654,0.6667876712840209,0
Gene-pair-37,7.142688321755973,4.229853525354902,0.6240169503961397,0.22795458715086353,0
Gene-pair-38,0.7085542384649137,0.4874776157617042,0.7475348818395284,0.3616185994807131,0
