,MIR199A1_All_d3_c95_status
AACS,OPTIMAL
AADAT,OPTIMAL
AAMDC,OPTIMAL
AARS2,OPTIMAL
ABCA1,OPTIMAL
ABCA6,OPTIMAL
ABCC3,INFEASIBLE
ABCC5,OPTIMAL
ABCD1,INFEASIBLE
ABHD14B,OPTIMAL
ABHD17A,OPTIMAL
ABHD17C,INFEASIBLE
ABHD3,OPTIMAL
ABR,OPTIMAL
ABTB1,OPTIMAL
ACAA2,OPTIMAL
ACAD8,OPTIMAL
ACAD9,OPTIMAL
ACADS,INFEASIBLE
ACAP3,OPTIMAL
ACBD5,OPTIMAL
ACD,OPTIMAL
ACO2,OPTIMAL
ACOT1,OPTIMAL
ACTA2,OPTIMAL
ACVR1,OPTIMAL
ACVR1B,OPTIMAL
ACVRL1,OPTIMAL
ADAM17,OPTIMAL
ADAMTS12,OPTIMAL
ADARB1,OPTIMAL
ADCY7,OPTIMAL
ADCY9,OPTIMAL
ADGRA3,OPTIMAL
ADGRL2,OPTIMAL
ADGRL4,OPTIMAL
ADO,OPTIMAL
ADRA1B,OPTIMAL
ADRB2,OPTIMAL
AGAP1,OPTIMAL
AGAP3,OPTIMAL
AGFG2,OPTIMAL
AGO4,OPTIMAL
AGPAT1,OPTIMAL
AGPAT5,OPTIMAL
AGTRAP,OPTIMAL
AHI1,OPTIMAL
AKAP1,OPTIMAL
AKAP13,OPTIMAL
AKAP8,OPTIMAL
AKAP8L,INFEASIBLE
AKNA,OPTIMAL
AKR1C1,OPTIMAL
AKR1C2,OPTIMAL
AKR1E2,OPTIMAL
AKT1S1,OPTIMAL
AKT3,OPTIMAL
AKTIP,OPTIMAL
ALDH2,OPTIMAL
ALG1,OPTIMAL
ALG13,OPTIMAL
ALG2,OPTIMAL
ALG6,OPTIMAL
ALG9,INFEASIBLE
ALKBH1,OPTIMAL
ALKBH7,OPTIMAL
ALPK2,OPTIMAL
AMDHD2,OPTIMAL
AMMECR1,OPTIMAL
AMPD3,INFEASIBLE
ANGEL2,OPTIMAL
ANK2,OPTIMAL
ANKHD1,OPTIMAL
ANKRD1,OPTIMAL
ANKRD10,OPTIMAL
ANKRD16,OPTIMAL
ANKRD2,INFEASIBLE
ANKRD28,OPTIMAL
ANKRD9,OPTIMAL
ANKS1A,OPTIMAL
ANO3,OPTIMAL
ANTXR1,OPTIMAL
ANXA3,INFEASIBLE
AP1AR,OPTIMAL
AP3B1,OPTIMAL
AP3M2,OPTIMAL
AP3S2,OPTIMAL
AP4B1,OPTIMAL
AP4E1,OPTIMAL
AP5Z1,OPTIMAL
APBA1,OPTIMAL
APBA3,OPTIMAL
APBB1,OPTIMAL
APOBEC3B,OPTIMAL
APOBEC3D,OPTIMAL
APOBEC3G,OPTIMAL
APOL6,OPTIMAL
APOO,OPTIMAL
APOOL,OPTIMAL
ARAP3,OPTIMAL
ARFIP2,OPTIMAL
ARHGAP1,OPTIMAL
ARHGAP19,OPTIMAL
ARHGAP24,OPTIMAL
ARHGAP32,OPTIMAL
ARHGEF1,OPTIMAL
ARHGEF11,OPTIMAL
ARHGEF17,OPTIMAL
ARHGEF39,OPTIMAL
ARHGEF6,OPTIMAL
ARHGEF7,OPTIMAL
ARL10,OPTIMAL
ARL2,OPTIMAL
ARL4C,OPTIMAL
ARL4D,OPTIMAL
ARL8A,OPTIMAL
ARMC5,INFEASIBLE
ARMC9,OPTIMAL
ARMCX4,OPTIMAL
ARRB1,OPTIMAL
ARRDC1,OPTIMAL
ARSA,OPTIMAL
ASB13,OPTIMAL
ASB6,OPTIMAL
ASB7,OPTIMAL
ASL,OPTIMAL
ASMTL,OPTIMAL
ASS1,OPTIMAL
ASTE1,OPTIMAL
ATAD2B,OPTIMAL
ATAD3A,OPTIMAL
ATF2,OPTIMAL
ATF6B,OPTIMAL
ATF7,OPTIMAL
ATG10,OPTIMAL
ATG13,OPTIMAL
ATG4B,OPTIMAL
ATIC,OPTIMAL
ATP10A,OPTIMAL
ATP10D,OPTIMAL
ATP11A,OPTIMAL
ATP11C,OPTIMAL
ATP6AP1,OPTIMAL
ATP6AP2,OPTIMAL
ATP6V0E2,OPTIMAL
ATP8B2,OPTIMAL
ATP9B,OPTIMAL
ATRAID,OPTIMAL
ATXN2L,OPTIMAL
