,MIR199A1_All_d3_c95_status
ABCC3,OPTIMAL
ABCD1,OPTIMAL
ABHD17C,OPTIMAL
ACADS,CUT_LIMIT
AKAP8L,OPTIMAL
ALG9,OPTIMAL
AMPD3,OPTIMAL
ANKRD2,OPTIMAL
ANXA3,OPTIMAL
ARMC5,OPTIMAL
BDH2,OPTIMAL
BGN,OPTIMAL
C17orf67,OPTIMAL
C1S,OPTIMAL
C2orf74,OPTIMAL
CACFD1,OPTIMAL
CAPN10,CUT_LIMIT
CDIP1,OPTIMAL
CFD,OPTIMAL
CHPF,OPTIMAL
DBF4B,CUT_LIMIT
DENND2A,OPTIMAL
DENND6A,OPTIMAL
DLL3,OPTIMAL
DNAJC4,OPTIMAL
DTX3,OPTIMAL
ECHDC2,OPTIMAL
ENTPD7,OPTIMAL
EPHB6,CUT_LIMIT
ETV2,CUT_LIMIT
FAM184A,OPTIMAL
FAM220A,CUT_LIMIT
FRAT2,CUT_LIMIT
GALNT14,OPTIMAL
GGACT,OPTIMAL
GMDS,OPTIMAL
GPR137,OPTIMAL
GTF2E1,CUT_LIMIT
HDAC11,OPTIMAL
HECW1,OPTIMAL
IL20RB,CUT_LIMIT
IPPK,OPTIMAL
ITPRIPL1,OPTIMAL
L3MBTL3,OPTIMAL
LDB1,OPTIMAL
LMCD1,CUT_LIMIT
LRCH2,CUT_LIMIT
LRRC20,OPTIMAL
LYL1,OPTIMAL
MAP6D1,OPTIMAL
MFSD9,OPTIMAL
MSC,OPTIMAL
MTSS1,OPTIMAL
NID2,CUT_LIMIT
NPHP4,OPTIMAL
PAQR4,CUT_LIMIT
PCCA,OPTIMAL
PCDHGB5,OPTIMAL
PER3,OPTIMAL
PIDD1,OPTIMAL
PPP1R3E,OPTIMAL
PRKAR1B,OPTIMAL
PSG5,OPTIMAL
PTH1R,OPTIMAL
PYCR1,OPTIMAL
RAB3D,OPTIMAL
RHBDD3,CUT_LIMIT
RNF175,OPTIMAL
RTL1,OPTIMAL
SDSL,OPTIMAL
SGPP2,OPTIMAL
SHPK,OPTIMAL
SLC25A20,OPTIMAL
SLC31A2,OPTIMAL
SLC38A6,OPTIMAL
SLC39A3,OPTIMAL
SPHK2,CUT_LIMIT
SPIN2B,OPTIMAL
ST3GAL6,OPTIMAL
STEAP4,OPTIMAL
SV2A,OPTIMAL
TIGD2,OPTIMAL
TRPT1,OPTIMAL
UBOX5,OPTIMAL
UVSSA,OPTIMAL
ZBTB48,OPTIMAL
ZIK1,CUT_LIMIT
ZNF107,OPTIMAL
ZNF174,OPTIMAL
ZNF211,CUT_LIMIT
ZNF354B,CUT_LIMIT
ZNF485,OPTIMAL
ZNF567,OPTIMAL
ZNF587B,OPTIMAL
ZNF761,OPTIMAL
ZNF786,OPTIMAL
