,MIR199A1_All_d3_c95_status,MIR199A1_G1_d3_c95_status,MIR199A1_S_d3_c95_status,MIR199A1_G2M_d3_c95_status
A4GALT,OPTIMAL,OPTIMAL,INFEASIBLE,OPTIMAL
AAAS,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
AACS,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
AADAT,INFEASIBLE,OPTIMAL,OPTIMAL,INFEASIBLE
AAGAB,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
AAK1,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
AAMDC,INFEASIBLE,OPTIMAL,OPTIMAL,OPTIMAL
AAMP,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
AAR2,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
AARS2,INFEASIBLE,INFEASIBLE,OPTIMAL,INFEASIBLE
AASDH,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
AASDHPPT,OPTIMAL,OPTIMAL,INFEASIBLE,OPTIMAL
AASS,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
AATF,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
ABCA1,INFEASIBLE,OPTIMAL,OPTIMAL,INFEASIBLE
ABCA5,OPTIMAL,OPTIMAL,INFEASIBLE,OPTIMAL
ABCA6,INFEASIBLE,OPTIMAL,INFEASIBLE,INFEASIBLE
ABCB10,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
ABCB7,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
ABCB8,OPTIMAL,OPTIMAL,INFEASIBLE,OPTIMAL
ABCC1,OPTIMAL,OPTIMAL,INFEASIBLE,OPTIMAL
ABCC10,OPTIMAL,OPTIMAL,INFEASIBLE,OPTIMAL
ABCC3,INFEASIBLE,OPTIMAL,INFEASIBLE,INFEASIBLE
ABCC4,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
ABCC5,INFEASIBLE,OPTIMAL,OPTIMAL,INFEASIBLE
ABCD1,INFEASIBLE,OPTIMAL,INFEASIBLE,INFEASIBLE
ABCD3,OPTIMAL,OPTIMAL,INFEASIBLE,OPTIMAL
ABCD4,OPTIMAL,OPTIMAL,INFEASIBLE,OPTIMAL
ABCE1,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
ABCF1,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
ABCF2,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
ABCF3,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
ABCG1,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
