,Mir1983_day0_d33_t30_ct100_status,Mir1983_day0_d33_t30_ct100_times,Mir1983_day0_d33_t30_ct100_cuts,Mir1983_day0_d33_t30_ct100_correlation,Mir1983_day4_d33_t30_ct100_status,Mir1983_day4_d33_t30_ct100_times,Mir1983_day4_d33_t30_ct100_cuts,Mir1983_day4_d33_t30_ct100_correlation,Mir1983_day8_d33_t30_ct100_status,Mir1983_day8_d33_t30_ct100_times,Mir1983_day8_d33_t30_ct100_cuts,Mir1983_day8_d33_t30_ct100_correlation,Mir1983_day12_d33_t30_ct100_status,Mir1983_day12_d33_t30_ct100_times,Mir1983_day12_d33_t30_ct100_cuts,Mir1983_day12_d33_t30_ct100_correlation
Napa,OPTIMAL,0.0010001659393310547,2,-0.5671085727326349,OPTIMAL,0.002000093460083008,14,-0.04474289097056765,OPTIMAL,0.0,5,0.25558071967246376,OPTIMAL,0.0,5,-0.27132914588465834
Rsl1d1,OPTIMAL,0.0009999275207519531,3,-0.6839648929106654,OPTIMAL,0.0009999275207519531,5,0.3240602217651041,OPTIMAL,0.004000425338745117,15,0.19007107376676588,OPTIMAL,0.0,14,-0.15328201681061054
Usp3,OPTIMAL,0.0009999275207519531,3,-0.6054367941130134,OPTIMAL,0.0009999275207519531,5,-0.02537832626572405,OPTIMAL,0.002000093460083008,6,-0.15668404489924212,OPTIMAL,0.0,3,-0.08537959220783727
Odf2l,OPTIMAL,0.002000093460083008,14,-0.38541434069971525,OPTIMAL,0.003000020980834961,16,0.16097875257821848,OPTIMAL,0.0,3,-0.10777508189626522,OPTIMAL,0.0,6,-0.047293369999232664
Cdk1,OPTIMAL,0.002000093460083008,3,-0.4874949028560524,OPTIMAL,0.0,7,0.0964007774938162,OPTIMAL,0.0019998550415039062,8,0.3016362384894743,OPTIMAL,0.01600027084350586,15,-0.08964724238612753
Nomo1,OPTIMAL,0.0009999275207519531,2,-0.5734966998853656,OPTIMAL,0.0,2,-0.1270554396592109,OPTIMAL,0.0,4,-0.10454627691492112,OPTIMAL,0.0,2,-0.09819131849601283
Pa2g4,OPTIMAL,0.0,4,-0.6669264812192371,OPTIMAL,0.0,5,0.2656521719064167,OPTIMAL,0.0019998550415039062,6,0.2367135479537504,OPTIMAL,0.0,4,-0.11264073016943334
Igf1r,OPTIMAL,0.002000093460083008,13,-0.36394894009880757,OPTIMAL,0.0,2,-0.12412786883471451,OPTIMAL,0.0009999275207519531,6,0.28295374531719975,OPTIMAL,0.0009999275207519531,6,0.20595548865579583
Tti1,OPTIMAL,0.0009999275207519531,17,-0.03877224753240287,OPTIMAL,0.0,6,-0.06887103813215821,OPTIMAL,0.002000093460083008,16,-0.03548200013342964,OPTIMAL,0.0,3,-0.08392156545253888
Brd3,OPTIMAL,0.0,4,-0.48811127347840394,OPTIMAL,0.0010001659393310547,2,-0.12896709288201252,OPTIMAL,0.0,3,-0.2297591124568499,OPTIMAL,0.0,2,-0.1320454154062805
App,OPTIMAL,0.0009999275207519531,7,-0.09123697147096156,OPTIMAL,0.0009999275207519531,6,0.12858767612113667,OPTIMAL,0.0009999275207519531,6,0.31719842130523407,OPTIMAL,0.0,2,-0.10626302225914266
Ranbp1,OPTIMAL,0.0,4,-0.891054203183896,OPTIMAL,0.0,2,-0.17482473282854244,OPTIMAL,0.0,5,0.13662444027038556,OPTIMAL,0.0,14,-0.1182996384437961
Gatad2a,OPTIMAL,0.004000186920166016,7,-0.09807263031620676,OPTIMAL,0.003000020980834961,13,-0.15530268495837096,OPTIMAL,0.0009999275207519531,15,-0.03429132085512753,OPTIMAL,0.0,2,-0.09415927740644578
Egln1,OPTIMAL,0.0009999275207519531,6,-0.2828125811799736,OPTIMAL,0.0,2,-0.08755745114248761,OPTIMAL,0.0010001659393310547,14,-0.15567106923603952,OPTIMAL,0.0019998550415039062,14,-0.08603759977255164
Letm1,OPTIMAL,0.0019998550415039062,6,-0.03544536414341996,OPTIMAL,0.0,3,-0.13566213167260982,OPTIMAL,0.0,5,0.030169783691916297,OPTIMAL,0.0,4,-0.12946338119634374
Ociad1,OPTIMAL,0.0010001659393310547,3,-0.5437856681051004,OPTIMAL,0.0,5,-0.0019338232534081218,OPTIMAL,0.0009999275207519531,6,-0.001653116508057514,OPTIMAL,0.002000093460083008,6,0.014240853545638822
Fbxo6,OPTIMAL,0.0,7,-0.4372286127873308,OPTIMAL,0.0,4,-0.08697804214465968,OPTIMAL,0.0009999275207519531,3,-0.17491265440623208,OPTIMAL,0.0009999275207519531,3,-0.06153123634576816
Cdc40,OPTIMAL,0.0,13,-0.3790620789012899,OPTIMAL,0.0009999275207519531,4,-0.1168314267730992,OPTIMAL,0.0,7,0.1144105053375022,OPTIMAL,0.0010001659393310547,5,0.055513870359918706
Prpsap1,OPTIMAL,0.0010001659393310547,3,-0.6044180103954824,OPTIMAL,0.002000093460083008,14,-0.004978069689936189,OPTIMAL,0.0,5,0.048125405539780085,OPTIMAL,0.0,2,-0.0961730959807074
Rbm33,OPTIMAL,0.0009999275207519531,3,-0.4872187047097238,OPTIMAL,0.0009999275207519531,13,-0.07266519878391395,OPTIMAL,0.0,5,0.14077310460881556,OPTIMAL,0.0010001659393310547,5,-0.098385223420554
Lmnb2,OPTIMAL,0.0010001659393310547,13,-0.44369790885481064,OPTIMAL,0.0009999275207519531,4,-0.04172568360116467,OPTIMAL,0.0,5,-0.005169020164553038,OPTIMAL,0.0,3,-0.09445210920171897
Ndufa5,OPTIMAL,0.0,3,-0.49313980607253555,OPTIMAL,0.0009999275207519531,14,0.028866470151951845,OPTIMAL,0.0,5,0.014947698109696546,OPTIMAL,0.0,2,-0.17064271929291974
Rrp1,OPTIMAL,0.0,3,-0.4574573299617126,OPTIMAL,0.0009999275207519531,15,-0.0545752631952118,OPTIMAL,0.0,6,0.19854216555670004,OPTIMAL,0.0,5,-0.13298338279325403
Laptm4b,OPTIMAL,0.0010001659393310547,6,-0.23590881130512317,OPTIMAL,0.0010001659393310547,14,-0.0794499940512805,OPTIMAL,0.0,4,-0.04850549814739257,OPTIMAL,0.0010001659393310547,15,-0.06459561719504411
Zfp1,OPTIMAL,0.0,15,0.04892371815540434,OPTIMAL,0.002000093460083008,4,0.06460900368855683,OPTIMAL,0.0,4,-0.10222521405204557,OPTIMAL,0.0,3,-0.09554960745530974
Ubn2,OPTIMAL,0.0,6,0.12333410924242874,OPTIMAL,0.0010001659393310547,13,-0.10580980615508401,OPTIMAL,0.0,5,0.18999850951245983,OPTIMAL,0.0039997100830078125,13,-0.11533673420520121
Acap3,OPTIMAL,0.0,13,-0.3999794295541676,OPTIMAL,0.0009999275207519531,3,-0.10677924128362737,OPTIMAL,0.0,14,-0.12121445155859573,OPTIMAL,0.0,4,-0.05819979305114207
Cog8,OPTIMAL,0.0009999275207519531,13,-0.416481858569621,OPTIMAL,0.003000020980834961,13,-0.0545925479709986,OPTIMAL,0.0,4,-0.06602559221697359,OPTIMAL,0.0009999275207519531,4,-0.07813157242609982
Lcorl,OPTIMAL,0.003000020980834961,17,0.20484766299825036,OPTIMAL,0.0,3,-0.13033656173655844,OPTIMAL,0.0,3,-0.14387931940230644,OPTIMAL,0.0019998550415039062,4,0.08387006197035692
Gpatch4,OPTIMAL,0.0,3,-0.5615438978459312,OPTIMAL,0.0,13,-0.07346683097355591,OPTIMAL,0.0,7,0.1411840217994642,OPTIMAL,0.0,5,0.0540982257021588
Fkbp9,OPTIMAL,0.002000093460083008,4,-0.5764732999378849,OPTIMAL,0.0,2,-0.19325307112082682,OPTIMAL,0.0009999275207519531,8,0.27829373055579776,OPTIMAL,0.0,2,-0.12917169226699093
Myadm,OPTIMAL,0.0,16,0.04879513556649638,OPTIMAL,0.0009999275207519531,3,-0.13265429733467268,OPTIMAL,0.0019998550415039062,14,-0.1423342965106134,OPTIMAL,0.014000177383422852,4,-0.09992657235881003
Fam83d,OPTIMAL,0.0,13,-0.45782805759727646,OPTIMAL,0.0,3,-0.11242716928808562,OPTIMAL,0.0009999275207519531,24,-0.12326874428020587,OPTIMAL,0.0019998550415039062,6,0.006448006466800702
Tmem164,OPTIMAL,0.0,17,0.3773588620233053,OPTIMAL,0.0,5,-0.0614629717108989,OPTIMAL,0.0009999275207519531,6,0.5038359590994771,OPTIMAL,0.0,14,-0.08940838319994966
Rdx,OPTIMAL,0.0009999275207519531,5,-0.22659009255594012,OPTIMAL,0.0,2,-0.23484115203459865,OPTIMAL,0.0010001659393310547,5,0.04989882904464861,OPTIMAL,0.0,4,-0.1310944024052541
Zfp64,OPTIMAL,0.0,3,-0.551660284773174,OPTIMAL,0.0,14,-0.060805286727630976,OPTIMAL,0.0019998550415039062,6,0.33038238340918613,OPTIMAL,0.0,14,-0.08707329384714615
Dynlt1c,OPTIMAL,0.0010001659393310547,4,-0.5712372404359873,OPTIMAL,0.0029997825622558594,14,-0.06907068295442886,OPTIMAL,0.0,5,0.09913409468469182,OPTIMAL,0.0,5,-0.2218799367400465
Snap23,OPTIMAL,0.0009999275207519531,7,-0.1973686430877183,OPTIMAL,0.0009999275207519531,14,-0.10072925996690368,OPTIMAL,0.0,4,-0.19439051847679592,OPTIMAL,0.002000093460083008,13,-0.07281051463009118
Adam9,OPTIMAL,0.0009999275207519531,7,0.025524232461417686,OPTIMAL,0.0010001659393310547,14,-0.056197597702609535,OPTIMAL,0.0,4,-0.11557314001551622,OPTIMAL,0.0,5,0.26797245958479127
Ddi2,OPTIMAL,0.0,6,0.10554881949820626,OPTIMAL,0.0009999275207519531,3,-0.12289256481263883,OPTIMAL,0.0009999275207519531,15,0.1787403373705048,OPTIMAL,0.0009999275207519531,6,-0.056138805313523436
Mfap1b,OPTIMAL,0.0009999275207519531,4,-0.6892162686053139,OPTIMAL,0.003000020980834961,6,-0.04573729366862538,OPTIMAL,0.0,3,-0.1835229149895949,OPTIMAL,0.0009999275207519531,2,-0.13921000690599641
U2af2,OPTIMAL,0.0009999275207519531,6,-0.14173068847417278,OPTIMAL,0.0009999275207519531,14,-0.09852929130710454,OPTIMAL,0.0009999275207519531,4,-0.26480449678082546,OPTIMAL,0.0,13,-0.0970910194877977
Ap1s2,OPTIMAL,0.0019998550415039062,6,0.1014753166918299,OPTIMAL,0.0009999275207519531,2,-0.22260998539740792,OPTIMAL,0.0,3,-0.25148823643661905,OPTIMAL,0.0,2,-0.16019381597904714
Pfdn6,OPTIMAL,0.0009999275207519531,4,-0.6794498895447406,OPTIMAL,0.0,6,0.060729910989758704,OPTIMAL,0.0,13,-0.15389021312811418,OPTIMAL,0.0009999275207519531,5,0.0768755639801765
Hk2,OPTIMAL,0.0,3,-0.6756979911395747,OPTIMAL,0.002000093460083008,5,-0.06494501280252092,OPTIMAL,0.003999948501586914,18,0.3186378098486391,OPTIMAL,0.0,4,-0.09218905227634205
Myl12b,OPTIMAL,0.0020003318786621094,14,-0.028496048406723904,OPTIMAL,0.0010001659393310547,3,-0.0921550549939796,OPTIMAL,0.0009999275207519531,5,-0.10081389840068934,OPTIMAL,0.0,6,0.11323830644873135
Lsm5,OPTIMAL,0.0,4,-0.4820150540850481,OPTIMAL,0.0010001659393310547,14,-0.09468759381777168,OPTIMAL,0.0010001659393310547,17,0.3170961678070503,OPTIMAL,0.0,15,-0.11671018839390197
Prcc,OPTIMAL,0.0009999275207519531,5,-0.41699638951406265,OPTIMAL,0.0,4,-0.056797821258594734,OPTIMAL,0.0010001659393310547,16,0.19501556431539052,OPTIMAL,0.002000093460083008,15,0.006609786331431841
Notch1,OPTIMAL,0.0,15,-0.15005303457281408,OPTIMAL,0.0,4,-0.11717016170165809,OPTIMAL,0.0,3,-0.11516702259080806,OPTIMAL,0.002000093460083008,14,0.007329468267651025
Birc6,OPTIMAL,0.0009999275207519531,3,-0.8370301401827215,OPTIMAL,0.003000020980834961,14,-0.04493365693562143,OPTIMAL,0.0,5,-0.04168324409955801,OPTIMAL,0.0,6,0.12988631287117508
Tmem161b,OPTIMAL,0.0010001659393310547,14,-0.29386533402702286,OPTIMAL,0.003000020980834961,13,-0.08639919773696662,OPTIMAL,0.0009999275207519531,9,0.08483892613393056,OPTIMAL,0.0,3,-0.07782564875237985
Morc2a,OPTIMAL,0.0009999275207519531,3,-0.43764290018459845,OPTIMAL,0.002000093460083008,13,-0.06543095293481305,OPTIMAL,0.0,5,-0.013964992494646333,OPTIMAL,0.0,5,-0.09007461582950618
Actr5,OPTIMAL,0.0,6,-0.3062810662226745,OPTIMAL,0.0,3,-0.1208822235187436,OPTIMAL,0.0,4,-0.1372811411941327,OPTIMAL,0.0,6,0.39407770763377825
Ireb2,OPTIMAL,0.0,3,-0.5311150586873515,OPTIMAL,0.0019998550415039062,13,0.12056803488603354,OPTIMAL,0.0009999275207519531,6,0.15871711284114406,OPTIMAL,0.0,13,-0.1399790033103551
Scarb2,OPTIMAL,0.0009999275207519531,15,-0.08008373361725409,OPTIMAL,0.0009999275207519531,15,0.044990968271945986,OPTIMAL,0.0019998550415039062,20,-0.165860703462036,OPTIMAL,0.0009999275207519531,3,-0.15413543139509808
Acat2,OPTIMAL,0.0,6,-0.16479653855851123,OPTIMAL,0.0009999275207519531,6,0.07874223958095491,OPTIMAL,0.0010001659393310547,7,0.25710188706026676,OPTIMAL,0.0,2,-0.11104096546512815
Ift140,OPTIMAL,0.0,18,-0.05561844445704169,OPTIMAL,0.0,4,-0.1025786720684213,OPTIMAL,0.0,5,-0.01723008135462273,OPTIMAL,0.009999990463256836,15,-0.022904400486262022
Klhl25,OPTIMAL,0.0009999275207519531,13,-0.446187548176888,OPTIMAL,0.0,4,-0.051327951648351154,OPTIMAL,0.0,6,0.04859107430627991,OPTIMAL,0.0019998550415039062,14,-0.06376118377777466
Ivns1abp,OPTIMAL,0.0010001659393310547,6,-0.1519245486919436,OPTIMAL,0.0,14,-0.04422060793578675,OPTIMAL,0.002000093460083008,4,-0.24356557542114526,OPTIMAL,0.0009999275207519531,5,-0.0789589472025481
Tmem134,OPTIMAL,0.0,6,0.023739159939247863,OPTIMAL,0.015000104904174805,6,0.07368166784095631,OPTIMAL,0.0009999275207519531,7,0.04933979161527695,OPTIMAL,0.0009999275207519531,15,-0.0025610056402930767
Spop,OPTIMAL,0.0,4,-0.5943434531563048,OPTIMAL,0.0010001659393310547,6,0.3565769512335135,OPTIMAL,0.0020003318786621094,6,-0.02925511154064939,OPTIMAL,0.0,14,-0.08890839547497002
Ywhae,OPTIMAL,0.0,4,-1.0000002622744641,OPTIMAL,0.0009999275207519531,2,-0.09590347108459088,OPTIMAL,0.0010001659393310547,5,0.05321500051502223,OPTIMAL,0.0,2,-0.28171924957444905
Add3,OPTIMAL,0.0009999275207519531,4,-0.6003229513228284,OPTIMAL,0.0,5,0.021067678021809626,OPTIMAL,0.0,6,-0.006251575391421148,OPTIMAL,0.0,2,-0.09738163119726734
