,Phase_total,Phase_per_type
Fibroblasts_A10_S10,G2M,G2M
Fibroblasts_A11_S11,G2M,G2M
Fibroblasts_A2_S2,S,S
Fibroblasts_A3_S3,G2M,G2M
Fibroblasts_A4_S4,S,S
Fibroblasts_A5_S5,G2M,G2M
Fibroblasts_A7_S7,G2M,G2M
Fibroblasts_A8_S8,S,S
Fibroblasts_B10_S34,G2M,G2M
Fibroblasts_B11_S35,G2M,G2M
Fibroblasts_B12_S36,G2M,G2M
Fibroblasts_B13_S37,G2M,G1
Fibroblasts_B15_S39,G2M,G1
Fibroblasts_B17_S41,G2M,G2M
Fibroblasts_B18_S42,G2M,G2M
Fibroblasts_B19_S43,G1,G1
Fibroblasts_B1_S25,G1,G1
Fibroblasts_B21_S45,G2M,G2M
Fibroblasts_B23_S47,G2M,G2M
Fibroblasts_B2_S26,G2M,G2M
Fibroblasts_B4_S28,S,S
Fibroblasts_B5_S29,G2M,G2M
Fibroblasts_B6_S30,G2M,G2M
Fibroblasts_B7_S31,G1,G1
Fibroblasts_C10_S58,G2M,G2M
Fibroblasts_C11_S59,G2M,G2M
Fibroblasts_C12_S60,G2M,G2M
Fibroblasts_C13_S61,S,S
Fibroblasts_C14_S62,G2M,G2M
Fibroblasts_C15_S63,G2M,G2M
Fibroblasts_C17_S65,G2M,G2M
Fibroblasts_C18_S66,S,S
Fibroblasts_C19_S67,G2M,G2M
Fibroblasts_C20_S68,G2M,G2M
Fibroblasts_C21_S69,G1,S
Fibroblasts_C23_S71,G2M,G2M
Fibroblasts_C3_S51,S,S
Fibroblasts_C4_S52,G2M,G2M
Fibroblasts_C5_S53,G2M,G1
Fibroblasts_C6_S54,G2M,S
Fibroblasts_C7_S55,G1,G1
Fibroblasts_C8_S56,G2M,G2M
Fibroblasts_C9_S57,S,S
Fibroblasts_D10_S82,S,S
Fibroblasts_D11_S83,G1,G1
Fibroblasts_D12_S84,G1,G1
Fibroblasts_D13_S85,S,S
Fibroblasts_D14_S86,G2M,G2M
Fibroblasts_D17_S89,G2M,G2M
Fibroblasts_D18_S90,G2M,G2M
