ensembl_gene_id	external_gene_name	gene_biotype
ENSMUSG00000064372	mt-Tp	Mt_tRNA
ENSMUSG00000064371	mt-Tt	Mt_tRNA
ENSMUSG00000064370	mt-Cytb	protein_coding
ENSMUSG00000064369	mt-Te	Mt_tRNA
ENSMUSG00000064368	mt-Nd6	protein_coding
ENSMUSG00000064367	mt-Nd5	protein_coding
ENSMUSG00000064366	mt-Tl2	Mt_tRNA
ENSMUSG00000064365	mt-Ts2	Mt_tRNA
ENSMUSG00000064364	mt-Th	Mt_tRNA
ENSMUSG00000064363	mt-Nd4	protein_coding
ENSMUSG00000065947	mt-Nd4l	protein_coding
ENSMUSG00000064361	mt-Tr	Mt_tRNA
ENSMUSG00000064360	mt-Nd3	protein_coding
ENSMUSG00000064359	mt-Tg	Mt_tRNA
ENSMUSG00000064358	mt-Co3	protein_coding
ENSMUSG00000064357	mt-Atp6	protein_coding
ENSMUSG00000064356	mt-Atp8	protein_coding
ENSMUSG00000064355	mt-Tk	Mt_tRNA
ENSMUSG00000064354	mt-Co2	protein_coding
ENSMUSG00000064353	mt-Td	Mt_tRNA
ENSMUSG00000064352	mt-Ts1	Mt_tRNA
ENSMUSG00000064351	mt-Co1	protein_coding
ENSMUSG00000064350	mt-Ty	Mt_tRNA
ENSMUSG00000064349	mt-Tc	Mt_tRNA
ENSMUSG00000064348	mt-Tn	Mt_tRNA
ENSMUSG00000064347	mt-Ta	Mt_tRNA
ENSMUSG00000064346	mt-Tw	Mt_tRNA
ENSMUSG00000064345	mt-Nd2	protein_coding
ENSMUSG00000064344	mt-Tm	Mt_tRNA
ENSMUSG00000064343	mt-Tq	Mt_tRNA
ENSMUSG00000064342	mt-Ti	Mt_tRNA
ENSMUSG00000064341	mt-Nd1	protein_coding
ENSMUSG00000064340	mt-Tl1	Mt_tRNA
ENSMUSG00000064339	mt-Rnr2	Mt_rRNA
ENSMUSG00000064338	mt-Tv	Mt_tRNA
ENSMUSG00000064337	mt-Rnr1	Mt_rRNA
ENSMUSG00000064336	mt-Tf	Mt_tRNA
ENSMUSG00000073607	Gm10548	transcribed_processed_pseudogene
ENSMUSG00000091163	Gm3962	unprocessed_pseudogene
ENSMUSG00000100131	Gm28439	unprocessed_pseudogene
ENSMUSG00000087193	Gm14820	antisense
ENSMUSG00000063087	Gm10125	processed_transcript
ENSMUSG00000005871	Apc	protein_coding
ENSMUSG00000101679	Gm20936	unprocessed_pseudogene
ENSMUSG00000094811	Gm21103	protein_coding
ENSMUSG00000031176	Dynlt3	protein_coding
ENSMUSG00000099434	Gm20934	unprocessed_pseudogene
ENSMUSG00000092523	Gm18191	unprocessed_pseudogene
ENSMUSG00000068243	Gm7079	processed_pseudogene
ENSMUSG00000104505	Gm37739	lincRNA
ENSMUSG00000038248	Sobp	protein_coding
ENSMUSG00000039231	Suv39h1	protein_coding
ENSMUSG00000051977	Prdm9	protein_coding
ENSMUSG00000102907	Gm38264	TEC
ENSMUSG00000096707	Vmn2r-ps44	unprocessed_pseudogene
ENSMUSG00000102062	Gm29246	antisense
ENSMUSG00000054115	Skp2	protein_coding
ENSMUSG00000099893	Gm29245	antisense
ENSMUSG00000048996	Olfr1366	protein_coding
ENSMUSG00000058132	Vmn1r82	protein_coding
ENSMUSG00000099525	Gm21872	unprocessed_pseudogene
ENSMUSG00000106584	RP24-457B22.2	TEC
ENSMUSG00000104412	Gm37798	lincRNA
ENSMUSG00000044434	Gm9791	processed_pseudogene
ENSMUSG00000102099	1700011B04Rik	processed_transcript
ENSMUSG00000101939	Gm28438	unprocessed_pseudogene
ENSMUSG00000086080	1700123O12Rik	lincRNA
ENSMUSG00000086174	Gm6425	processed_pseudogene
ENSMUSG00000098304	1700027I24Rik	lincRNA
ENSMUSG00000105535	RP24-457B22.3	lincRNA
ENSMUSG00000102283	Gm37000	unprocessed_pseudogene
ENSMUSG00000098038	Gm8793	processed_pseudogene
ENSMUSG00000101111	Gm28437	unprocessed_pseudogene
