"","ensembl_gene_id","external_gene_name","gene_biotype"
"11840","ENSG00000274262","7SK","misc_RNA"
"50893","ENSG00000121410","A1BG","protein_coding"
"40360","ENSG00000268895","A1BG-AS1","lncRNA"
"50651","ENSG00000148584","A1CF","protein_coding"
"83137","ENSG00000175899","A2M","protein_coding"
"53839","ENSG00000245105","A2M-AS1","lncRNA"
"23080","ENSG00000166535","A2ML1","protein_coding"
"23013","ENSG00000256661","A2ML1-AS1","lncRNA"
"23060","ENSG00000256904","A2ML1-AS2","lncRNA"
"41679","ENSG00000256069","A2MP1","transcribed_unprocessed_pseudogene"
"56980","ENSG00000184389","A3GALT2","protein_coding"
"68847","ENSG00000128274","A4GALT","protein_coding"
"63354","ENSG00000118017","A4GNT","protein_coding"
"75208","ENSG00000265544","AA06","lncRNA"
"2528","ENSG00000291836","AAAS","protein_coding"
"84952","ENSG00000081760","AACS","protein_coding"
"32104","ENSG00000291019","AACSP1","lncRNA"
"62884","ENSG00000114771","AADAC","protein_coding"
"21139","ENSG00000261846","AADACL2","protein_coding"
"21163","ENSG00000262466","AADACL2-AS1","lncRNA"
"64329","ENSG00000188984","AADACL3","protein_coding"
"64382","ENSG00000204518","AADACL4","protein_coding"
"52345","ENSG00000240602","AADACP1","transcribed_unprocessed_pseudogene"
"83379","ENSG00000109576","AADAT","protein_coding"
"NA",NA,NA,NA
"76968","ENSG00000103591","AAGAB","protein_coding"
"77522","ENSG00000115977","AAK1","protein_coding"
"79428","ENSG00000087884","AAMDC","protein_coding"
"84536","ENSG00000127837","AAMP","protein_coding"
"85588","ENSG00000129673","AANAT","protein_coding"
"68516","ENSG00000131043","AAR2","protein_coding"
"18631","ENSG00000205002","AARD","protein_coding"
"NA.1",NA,NA,NA
"83048","ENSG00000124608","AARS2","protein_coding"
"81004","ENSG00000266967","AARSD1","protein_coding"
"NA.2",NA,NA,NA
"78754","ENSG00000157426","AASDH","protein_coding"
"73043","ENSG00000149313","AASDHPPT","protein_coding"
"84586","ENSG00000008311","AASS","protein_coding"
"4953","ENSG00000215458","AATBC","lncRNA"
"10594","ENSG00000276072","AATF","protein_coding"
"78848","ENSG00000181409","AATK","protein_coding"
"NA.3",NA,NA,NA
"NA.4",NA,NA,NA
"NA.5",NA,NA,NA
"NA.6",NA,NA,NA
"NA.7",NA,NA,NA
"7186","ENSG00000281376","ABALON","lncRNA"
"76718","ENSG00000183044","ABAT","protein_coding"
"NA.8",NA,NA,NA
"NA.9",NA,NA,NA
"NA.10",NA,NA,NA
"NA.11",NA,NA,NA
"NA.12",NA,NA,NA
"NA.13",NA,NA,NA
"NA.14",NA,NA,NA
"NA.15",NA,NA,NA
"NA.16",NA,NA,NA
"17693","ENSG00000165029","ABCA1","protein_coding"
"64319","ENSG00000154263","ABCA10","protein_coding"
"30399","ENSG00000251595","ABCA11P","transcribed_processed_pseudogene"
"38329","ENSG00000144452","ABCA12","protein_coding"
"57070","ENSG00000179869","ABCA13","protein_coding"
"68597","ENSG00000238098","ABCA17P","transcribed_unitary_pseudogene"
"82260","ENSG00000107331","ABCA2","protein_coding"
"84255","ENSG00000167972","ABCA3","protein_coding"
"59319","ENSG00000198691","ABCA4","protein_coding"
"84532","ENSG00000154265","ABCA5","protein_coding"
"79384","ENSG00000154262","ABCA6","protein_coding"
"50380","ENSG00000064687","ABCA7","protein_coding"
"82945","ENSG00000141338","ABCA8","protein_coding"
"64260","ENSG00000154258","ABCA9","protein_coding"
"75526","ENSG00000231749","ABCA9-AS1","lncRNA"
"84307","ENSG00000085563","ABCB1","protein_coding"
"84489","ENSG00000135776","ABCB10","protein_coding"
"5540","ENSG00000280461","ABCB10P1","processed_pseudogene"
"7060","ENSG00000282479","ABCB10P3","processed_pseudogene"
"5539","ENSG00000274192","ABCB10P4","processed_pseudogene"
"19922","ENSG00000276582","ABCB11","protein_coding"
"84875","ENSG00000005471","ABCB4","protein_coding"
"62324","ENSG00000004846","ABCB5","protein_coding"
"85423","ENSG00000115657","ABCB6","protein_coding"
"52651","ENSG00000131269","ABCB7","protein_coding"
"76686","ENSG00000197150","ABCB8","protein_coding"
"80852","ENSG00000150967","ABCB9","protein_coding"
"10435","ENSG00000278183","ABCC1","protein_coding"
"80662","ENSG00000124574","ABCC10","protein_coding"
"65546","ENSG00000121270","ABCC11","protein_coding"
"65689","ENSG00000140798","ABCC12","protein_coding"
"2759","ENSG00000243064","ABCC13","transcribed_unprocessed_pseudogene"
"32457","ENSG00000023839","ABCC2","protein_coding"
"81449","ENSG00000108846","ABCC3","protein_coding"
"52257","ENSG00000125257","ABCC4","protein_coding"
"83903","ENSG00000114770","ABCC5","protein_coding"
"52380","ENSG00000223882","ABCC5-AS1","lncRNA"
"10038","ENSG00000275331","ABCC6","protein_coding"
"67747","ENSG00000256340","ABCC6P1","transcribed_unprocessed_pseudogene"
"11045","ENSG00000273808","ABCC6P2","transcribed_unprocessed_pseudogene"
"46191","ENSG00000006071","ABCC8","protein_coding"
"80167","ENSG00000069431","ABCC9","protein_coding"
"79666","ENSG00000101986","ABCD1","protein_coding"
"3066","ENSG00000288143","ABCD1P2","unprocessed_pseudogene"
"66376","ENSG00000261233","ABCD1P3","unprocessed_pseudogene"
"1054","ENSG00000288394","ABCD1P4","unprocessed_pseudogene"
"35143","ENSG00000214330","ABCD1P5","unprocessed_pseudogene"
"84053","ENSG00000173208","ABCD2","protein_coding"
"86223","ENSG00000117528","ABCD3","protein_coding"
"72472","ENSG00000119688","ABCD4","protein_coding"
"62931","ENSG00000164163","ABCE1","protein_coding"
"37534","ENSG00000225989","ABCF1","protein_coding"
"85322","ENSG00000033050","ABCF2","protein_coding"
"31806","ENSG00000242159","ABCF2P1","processed_pseudogene"
"62561","ENSG00000228769","ABCF2P2","unprocessed_pseudogene"
"85505","ENSG00000161204","ABCF3","protein_coding"
"7259","ENSG00000160179","ABCG1","protein_coding"
"82365","ENSG00000118777","ABCG2","protein_coding"
"67625","ENSG00000172350","ABCG4","protein_coding"
"76454","ENSG00000138075","ABCG5","protein_coding"
"76381","ENSG00000143921","ABCG8","protein_coding"
"86121","ENSG00000143994","ABHD1","protein_coding"
"68639","ENSG00000144827","ABHD10","protein_coding"
"79415","ENSG00000106077","ABHD11","protein_coding"
"NA.17",NA,NA,NA
"78428","ENSG00000100997","ABHD12","protein_coding"
"64020","ENSG00000131969","ABHD12B","protein_coding"
"29687","ENSG00000139826","ABHD13","protein_coding"
"82627","ENSG00000248487","ABHD14A","protein_coding"
"33596","ENSG00000114786","ABHD14A-ACY1","protein_coding"
"75084","ENSG00000114779","ABHD14B","protein_coding"
"63587","ENSG00000168792","ABHD15","protein_coding"
"63595","ENSG00000264031","ABHD15-AS1","lncRNA"
"33904","ENSG00000231488","ABHD16A","protein_coding"
"8711","ENSG00000183260","ABHD16B","protein_coding"
"82278","ENSG00000129968","ABHD17A","protein_coding"
"49381","ENSG00000198658","ABHD17AP1","unprocessed_pseudogene"
"77465","ENSG00000250536","ABHD17AP3","transcribed_unprocessed_pseudogene"
"9686","ENSG00000229107","ABHD17AP4","processed_pseudogene"
"9268","ENSG00000263366","ABHD17AP5","processed_pseudogene"
"77019","ENSG00000226981","ABHD17AP6","transcribed_unprocessed_pseudogene"
"67683","ENSG00000261536","ABHD17AP9","unprocessed_pseudogene"
"70095","ENSG00000107362","ABHD17B","protein_coding"
"63967","ENSG00000136379","ABHD17C","protein_coding"
"78140","ENSG00000140526","ABHD2","protein_coding"
"67127","ENSG00000158201","ABHD3","protein_coding"
"52870","ENSG00000100439","ABHD4","protein_coding"
"85132","ENSG00000011198","ABHD5","protein_coding"
"85554","ENSG00000163686","ABHD6","protein_coding"
"80643","ENSG00000127220","ABHD8","protein_coding"
"79258","ENSG00000136754","ABI1","protein_coding"
"85089","ENSG00000138443","ABI2","protein_coding"
"79238","ENSG00000108798","ABI3","protein_coding"
