,Mir1983_day0_d33_t30_ct100_status,Mir1983_day0_d33_t30_ct100_times,Mir1983_day0_d33_t30_ct100_cuts,Mir1983_day4_d33_t30_ct100_status,Mir1983_day4_d33_t30_ct100_times,Mir1983_day4_d33_t30_ct100_cuts,Mir1983_day8_d33_t30_ct100_status,Mir1983_day8_d33_t30_ct100_times,Mir1983_day8_d33_t30_ct100_cuts,Mir1983_day12_d33_t30_ct100_status,Mir1983_day12_d33_t30_ct100_times,Mir1983_day12_d33_t30_ct100_cuts
Napa,OPTIMAL,0.003999948501586914,0,OPTIMAL,0.003000020980834961,0,OPTIMAL,0.00800013542175293,3,OPTIMAL,0.0,0
Rsl1d1,OPTIMAL,0.003000020980834961,0,OPTIMAL,0.003000020980834961,1,OPTIMAL,0.0019998550415039062,1,OPTIMAL,0.002000093460083008,0
Usp3,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.0009999275207519531,0,INFEASIBLE,0.0,0,OPTIMAL,0.0009999275207519531,0
Odf2l,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.0009999275207519531,4,INFEASIBLE,0.0,0,OPTIMAL,0.0019998550415039062,0
Cdk1,OPTIMAL,0.003999948501586914,1,OPTIMAL,0.0019998550415039062,1,OPTIMAL,0.0019998550415039062,1,OPTIMAL,0.0009999275207519531,0
Nomo1,OPTIMAL,0.002000093460083008,0,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.003000020980834961,1,OPTIMAL,0.0009999275207519531,0
Pa2g4,OPTIMAL,0.003000020980834961,0,OPTIMAL,0.003999948501586914,1,OPTIMAL,0.0029997825622558594,1,OPTIMAL,0.002000093460083008,0
Igf1r,OPTIMAL,0.0030002593994140625,2,OPTIMAL,0.0030002593994140625,2,OPTIMAL,0.0030002593994140625,1,OPTIMAL,0.0019998550415039062,1
Tti1,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.018999814987182617,4,OPTIMAL,0.004999876022338867,4,INFEASIBLE,0.0,0
Brd3,OPTIMAL,0.0019998550415039062,0,OPTIMAL,0.003000020980834961,0,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.002000093460083008,0
