,MIR222_d22_t30_ct100_status,MIR222_d22_t30_ct100_times,MIR222_d22_t30_ct100_cuts,MIR222_d33_t30_ct100_status,MIR222_d33_t30_ct100_times,MIR222_d33_t30_ct100_cuts,MIR222_d44_t30_ct100_status,MIR222_d44_t30_ct100_times,MIR222_d44_t30_ct100_cuts,MIR222_d23_t30_ct100_status,MIR222_d23_t30_ct100_times,MIR222_d23_t30_ct100_cuts,MIR222_d24_t30_ct100_status,MIR222_d24_t30_ct100_times,MIR222_d24_t30_ct100_cuts,MIR222_d22_t30_ct1000_status,MIR222_d22_t30_ct1000_times,MIR222_d22_t30_ct1000_cuts,MIR222_d33_t30_ct1000_status,MIR222_d33_t30_ct1000_times,MIR222_d33_t30_ct1000_cuts,MIR222_d44_t30_ct1000_status,MIR222_d44_t30_ct1000_times,MIR222_d44_t30_ct1000_cuts,MIR222_d23_t30_ct1000_status,MIR222_d23_t30_ct1000_times,MIR222_d23_t30_ct1000_cuts,MIR222_d24_t30_ct1000_status,MIR222_d24_t30_ct1000_times,MIR222_d24_t30_ct1000_cuts,MIR199A1_d22_t30_ct100_status,MIR199A1_d22_t30_ct100_times,MIR199A1_d22_t30_ct100_cuts,MIR199A1_d33_t30_ct100_status,MIR199A1_d33_t30_ct100_times,MIR199A1_d33_t30_ct100_cuts,MIR199A1_d44_t30_ct100_status,MIR199A1_d44_t30_ct100_times,MIR199A1_d44_t30_ct100_cuts,MIR199A1_d23_t30_ct100_status,MIR199A1_d23_t30_ct100_times,MIR199A1_d23_t30_ct100_cuts,MIR199A1_d24_t30_ct100_status,MIR199A1_d24_t30_ct100_times,MIR199A1_d24_t30_ct100_cuts,MIR199A1_d44_t30_ct1000_status,MIR199A1_d44_t30_ct1000_times,MIR199A1_d44_t30_ct1000_cuts,MIR199A1_d33_t30_ct1000_status,MIR199A1_d33_t30_ct1000_times,MIR199A1_d33_t30_ct1000_cuts,MIR199A1_d22_t30_ct1000_status,MIR199A1_d22_t30_ct1000_times,MIR199A1_d22_t30_ct1000_cuts,MIR199A1_d23_t30_ct1000_status,MIR199A1_d23_t30_ct1000_times,MIR199A1_d23_t30_ct1000_cuts,MIR199A1_d24_t30_ct1000_status,MIR199A1_d24_t30_ct1000_times,MIR199A1_d24_t30_ct1000_cuts,MIR199A1_d22_t30_ct10000_status,MIR199A1_d22_t30_ct10000_times,MIR199A1_d22_t30_ct10000_cuts,MIR199A1_d33_t30_ct10000_status,MIR199A1_d33_t30_ct10000_times,MIR199A1_d33_t30_ct10000_cuts,MIR199A1_d44_t30_ct10000_status,MIR199A1_d44_t30_ct10000_times,MIR199A1_d44_t30_ct10000_cuts,MIR199A1_d23_t30_ct10000_status,MIR199A1_d23_t30_ct10000_times,MIR199A1_d23_t30_ct10000_cuts,MIR199A1_d24_t30_ct10000_status,MIR199A1_d24_t30_ct10000_times,MIR199A1_d24_t30_ct10000_cuts
A4GALT,OPTIMAL,0.003000020980834961,0,OPTIMAL,0.006000041961669922,1,OPTIMAL,0.012000083923339844,3,OPTIMAL,0.01900029182434082,15,OPTIMAL,0.0279998779296875,58,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.006999969482421875,1,OPTIMAL,0.03599977493286133,3,OPTIMAL,0.023000478744506836,15,OPTIMAL,0.017000198364257812,58,OPTIMAL,0.023999929428100586,0,OPTIMAL,0.01999950408935547,3,OPTIMAL,0.008999824523925781,0,OPTIMAL,0.010999917984008789,15,OPTIMAL,0.024000167846679688,58,OPTIMAL,0.005000114440917969,0,OPTIMAL,0.01399993896484375,3,OPTIMAL,0.0,0,OPTIMAL,0.010999917984008789,15,OPTIMAL,0.015000104904174805,58,OPTIMAL,0.0280001163482666,0,OPTIMAL,0.025999784469604492,3,OPTIMAL,0.007999897003173828,0,OPTIMAL,0.043999671936035156,15,OPTIMAL,0.03000044822692871,58
AAAS,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.003999948501586914,1,OPTIMAL,0.006000041961669922,1,OPTIMAL,0.0060002803802490234,16,CUT_LIMIT,0.01900029182434082,100,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.003000020980834961,1,OPTIMAL,0.0070002079010009766,1,OPTIMAL,0.014000415802001953,16,CUT_LIMIT,0.43200087547302246,1000,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.0019998550415039062,1,OPTIMAL,0.018000125885009766,3,OPTIMAL,0.003999948501586914,15,OPTIMAL,0.012999773025512695,57,OPTIMAL,0.01699972152709961,3,OPTIMAL,0.0019998550415039062,1,OPTIMAL,0.0,0,OPTIMAL,0.005000114440917969,15,OPTIMAL,0.004000186920166016,57,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.003000020980834961,1,OPTIMAL,0.03199958801269531,3,OPTIMAL,0.005000114440917969,15,OPTIMAL,0.01699972152709961,57
AACS,OPTIMAL,0.002000093460083008,0,OPTIMAL,0.004000186920166016,1,OPTIMAL,0.003000020980834961,1,OPTIMAL,0.013000011444091797,14,OPTIMAL,0.016000032424926758,59,OPTIMAL,0.002000093460083008,0,OPTIMAL,0.0019998550415039062,1,OPTIMAL,0.0029997825622558594,1,OPTIMAL,0.014999866485595703,14,OPTIMAL,0.03300046920776367,59,OPTIMAL,0.026000022888183594,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,CUT_LIMIT,0.022999286651611328,100,OPTIMAL,0.01999950408935547,36,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,OPTIMAL,0.003000020980834961,0,CUT_LIMIT,0.04999947547912598,1000,OPTIMAL,0.021000146865844727,36,OPTIMAL,0.0279998779296875,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0010001659393310547,0,CUT_LIMIT,1.5909945964813232,10000,OPTIMAL,0.02200007438659668,36
AADAT,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.003999948501586914,1,OPTIMAL,0.012999773025512695,3,OPTIMAL,0.00800013542175293,14,OPTIMAL,0.013000011444091797,43,OPTIMAL,0.002000093460083008,0,OPTIMAL,0.0029997825622558594,1,OPTIMAL,0.012999773025512695,3,OPTIMAL,0.012000083923339844,14,OPTIMAL,0.01799941062927246,43,OPTIMAL,0.0009999275207519531,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,OPTIMAL,0.009999990463256836,17,CUT_LIMIT,0.0410001277923584,100,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,OPTIMAL,0.003000020980834961,0,OPTIMAL,0.010999679565429688,17,CUT_LIMIT,0.6649975776672363,1000,OPTIMAL,0.0009999275207519531,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,OPTIMAL,0.01600050926208496,17,TOTAL_TIME_LIMIT,30.00600790977478,9246
AAGAB,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.0,0,OPTIMAL,0.021000146865844727,2,OPTIMAL,0.009000062942504883,14,OPTIMAL,0.022000551223754883,71,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.0,0,OPTIMAL,0.011999845504760742,2,OPTIMAL,0.005000114440917969,14,OPTIMAL,0.02099919319152832,71,OPTIMAL,0.002000093460083008,0,OPTIMAL,0.0019998550415039062,2,OPTIMAL,0.004000186920166016,1,OPTIMAL,0.017999887466430664,16,OPTIMAL,0.0279996395111084,49,OPTIMAL,0.006000041961669922,1,OPTIMAL,0.0019998550415039062,2,OPTIMAL,0.0,0,OPTIMAL,0.012000083923339844,16,OPTIMAL,0.023000001907348633,49,OPTIMAL,0.0,0,OPTIMAL,0.00500035285949707,2,OPTIMAL,0.003999948501586914,1,OPTIMAL,0.02200007438659668,16,OPTIMAL,0.021000146865844727,49
AAK1,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.003999948501586914,1,OPTIMAL,0.018000364303588867,2,OPTIMAL,0.015999794006347656,16,CUT_LIMIT,0.03999972343444824,100,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.003000020980834961,1,OPTIMAL,0.014999866485595703,2,OPTIMAL,0.011000394821166992,16,CUT_LIMIT,0.48599910736083984,1000,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.0,0,OPTIMAL,0.014999628067016602,2,OPTIMAL,0.014000177383422852,16,OPTIMAL,0.03199958801269531,86,OPTIMAL,0.01100015640258789,2,OPTIMAL,0.002000093460083008,0,OPTIMAL,0.010999917984008789,0,OPTIMAL,0.007999897003173828,16,OPTIMAL,0.030998945236206055,86,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.012000083923339844,2,OPTIMAL,0.01600027084350586,16,OPTIMAL,0.03800010681152344,86
AAMDC,OPTIMAL,0.0,0,OPTIMAL,0.003000020980834961,1,OPTIMAL,0.005000114440917969,1,CUT_LIMIT,0.015000104904174805,100,OPTIMAL,0.02500009536743164,80,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.0019998550415039062,1,OPTIMAL,0.006000041961669922,1,CUT_LIMIT,0.03699994087219238,1000,OPTIMAL,0.021000146865844727,80,OPTIMAL,0.0009999275207519531,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,OPTIMAL,0.012000083923339844,18,OPTIMAL,0.03000020980834961,50,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,OPTIMAL,0.0019998550415039062,0,OPTIMAL,0.004999876022338867,18,OPTIMAL,0.02700042724609375,50,OPTIMAL,0.0009999275207519531,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0010001659393310547,0,OPTIMAL,0.01399993896484375,18,OPTIMAL,0.01999974250793457,50
AAMP,OPTIMAL,0.0,0,OPTIMAL,0.0009999275207519531,3,OPTIMAL,0.009999990463256836,1,OPTIMAL,0.00500035285949707,15,CUT_LIMIT,0.03000044822692871,100,OPTIMAL,0.0,0,OPTIMAL,0.0009999275207519531,3,OPTIMAL,0.0070002079010009766,1,OPTIMAL,0.003000020980834961,15,CUT_LIMIT,0.44700193405151367,1000,OPTIMAL,0.0,0,OPTIMAL,0.009000062942504883,2,OPTIMAL,0.003999948501586914,0,OPTIMAL,0.004999876022338867,15,OPTIMAL,0.021000146865844727,73,OPTIMAL,0.003999948501586914,0,OPTIMAL,0.00599980354309082,2,OPTIMAL,0.0,0,OPTIMAL,0.004999637603759766,15,OPTIMAL,0.017000198364257812,73,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.0,2,OPTIMAL,0.003999948501586914,0,OPTIMAL,0.00599980354309082,15,OPTIMAL,0.012000083923339844,73
AAR2,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.0039997100830078125,3,OPTIMAL,0.009000062942504883,2,OPTIMAL,0.002000093460083008,15,CUT_LIMIT,0.023000240325927734,100,OPTIMAL,0.0,0,OPTIMAL,0.003999948501586914,3,OPTIMAL,0.010999917984008789,2,OPTIMAL,0.003999948501586914,15,CUT_LIMIT,0.48800110816955566,1000,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.0029997825622558594,3,OPTIMAL,0.003999948501586914,0,OPTIMAL,0.004999876022338867,15,OPTIMAL,0.038999080657958984,81,OPTIMAL,0.003000020980834961,0,OPTIMAL,0.003999948501586914,3,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.004000186920166016,15,OPTIMAL,0.015999555587768555,81,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.004999876022338867,3,OPTIMAL,0.0,0,OPTIMAL,0.006000041961669922,15,OPTIMAL,0.026999711990356445,81
AARS2,OPTIMAL,0.0010001659393310547,0,OPTIMAL,0.0029997825622558594,1,INFEASIBLE,0.0,0,OPTIMAL,0.008999824523925781,16,CUT_LIMIT,0.02899932861328125,100,OPTIMAL,0.0009999275207519531,0,OPTIMAL,0.002000093460083008,1,INFEASIBLE,0.0,0,OPTIMAL,0.012999773025512695,16,CUT_LIMIT,0.7699997425079346,1000,INFEASIBLE,0.0,0,INFEASIBLE,0.0010001659393310547,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0009999275207519531,0,INFEASIBLE,0.0,0,INFEASIBLE,0.002000093460083008,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0,0,INFEASIBLE,0.0009999275207519531,0,INFEASIBLE,0.002000093460083008,0
