,MIR199A2_d333_c95_t30_s100_status,MIR199A2_d333_c95_t30_s100_times,MIR199A2_d333_c95_t30_s100_cuts,MIR199A2_d333_c95_t30_s100_correlation,MIR199A2_d334_c95_t30_s100_status,MIR199A2_d334_c95_t30_s100_times,MIR199A2_d334_c95_t30_s100_cuts,MIR199A2_d334_c95_t30_s100_correlation,MIR199A2_d343_c95_t30_s100_status,MIR199A2_d343_c95_t30_s100_times,MIR199A2_d343_c95_t30_s100_cuts,MIR199A2_d343_c95_t30_s100_correlation,MIR199A2_d344_c95_t30_s100_status,MIR199A2_d344_c95_t30_s100_times,MIR199A2_d344_c95_t30_s100_cuts,MIR199A2_d344_c95_t30_s100_correlation,MIR199A2_d433_c95_t30_s100_status,MIR199A2_d433_c95_t30_s100_times,MIR199A2_d433_c95_t30_s100_cuts,MIR199A2_d433_c95_t30_s100_correlation,MIR199A2_d434_c95_t30_s100_status,MIR199A2_d434_c95_t30_s100_times,MIR199A2_d434_c95_t30_s100_cuts,MIR199A2_d434_c95_t30_s100_correlation,MIR199A2_d443_c95_t30_s100_status,MIR199A2_d443_c95_t30_s100_times,MIR199A2_d443_c95_t30_s100_cuts,MIR199A2_d443_c95_t30_s100_correlation,MIR199A2_d444_c95_t30_s100_status,MIR199A2_d444_c95_t30_s100_times,MIR199A2_d444_c95_t30_s100_cuts,MIR199A2_d444_c95_t30_s100_correlation,MIR199A2_d333_c50_t30_s100_status,MIR199A2_d333_c50_t30_s100_times,MIR199A2_d333_c50_t30_s100_cuts,MIR199A2_d333_c50_t30_s100_correlation,MIR199A2_d334_c50_t30_s100_status,MIR199A2_d334_c50_t30_s100_times,MIR199A2_d334_c50_t30_s100_cuts,MIR199A2_d334_c50_t30_s100_correlation,MIR199A2_d343_c50_t30_s100_status,MIR199A2_d343_c50_t30_s100_times,MIR199A2_d343_c50_t30_s100_cuts,MIR199A2_d343_c50_t30_s100_correlation,MIR199A2_d344_c50_t30_s100_status,MIR199A2_d344_c50_t30_s100_times,MIR199A2_d344_c50_t30_s100_cuts,MIR199A2_d344_c50_t30_s100_correlation,MIR199A2_d433_c50_t30_s100_status,MIR199A2_d433_c50_t30_s100_times,MIR199A2_d433_c50_t30_s100_cuts,MIR199A2_d433_c50_t30_s100_correlation,MIR199A2_d434_c50_t30_s100_status,MIR199A2_d434_c50_t30_s100_times,MIR199A2_d434_c50_t30_s100_cuts,MIR199A2_d434_c50_t30_s100_correlation,MIR199A2_d443_c50_t30_s100_status,MIR199A2_d443_c50_t30_s100_times,MIR199A2_d443_c50_t30_s100_cuts,MIR199A2_d443_c50_t30_s100_correlation,MIR199A2_d444_c50_t30_s100_status,MIR199A2_d444_c50_t30_s100_times,MIR199A2_d444_c50_t30_s100_cuts,MIR199A2_d444_c50_t30_s100_correlation,MIR199A2_d333_c50_t300_s1000_status,MIR199A2_d333_c50_t300_s1000_times,MIR199A2_d333_c50_t300_s1000_cuts,MIR199A2_d333_c50_t300_s1000_correlation,MIR199A2_d334_c50_t300_s1000_status,MIR199A2_d334_c50_t300_s1000_times,MIR199A2_d334_c50_t300_s1000_cuts,MIR199A2_d334_c50_t300_s1000_correlation,MIR199A2_d343_c50_t300_s1000_status,MIR199A2_d343_c50_t300_s1000_times,MIR199A2_d343_c50_t300_s1000_cuts,MIR199A2_d343_c50_t300_s1000_correlation,MIR199A2_d344_c50_t300_s1000_status,MIR199A2_d344_c50_t300_s1000_times,MIR199A2_d344_c50_t300_s1000_cuts,MIR199A2_d344_c50_t300_s1000_correlation,MIR199A2_d433_c50_t300_s1000_status,MIR199A2_d433_c50_t300_s1000_times,MIR199A2_d433_c50_t300_s1000_cuts,MIR199A2_d433_c50_t300_s1000_correlation,MIR199A2_d434_c50_t300_s1000_status,MIR199A2_d434_c50_t300_s1000_times,MIR199A2_d434_c50_t300_s1000_cuts,MIR199A2_d434_c50_t300_s1000_correlation,MIR199A2_d443_c50_t300_s1000_status,MIR199A2_d443_c50_t300_s1000_times,MIR199A2_d443_c50_t300_s1000_cuts,MIR199A2_d443_c50_t300_s1000_correlation,MIR199A2_d444_c50_t300_s1000_status,MIR199A2_d444_c50_t300_s1000_times,MIR199A2_d444_c50_t300_s1000_cuts,MIR199A2_d444_c50_t300_s1000_correlation
ACAP3,OPTIMAL,0.06399989128112793,0,-0.09676270650635108,CUT_LIMIT,0.06499958038330078,100,,OPTIMAL,0.009000062942504883,1,-0.21688551267114187,OPTIMAL,0.07299971580505371,47,-0.21688551267114187,OPTIMAL,0.007999897003173828,2,-0.09676270650635108,OPTIMAL,0.009999990463256836,3,-0.11548241809216807,OPTIMAL,0.015000104904174805,0,-0.19038311654282883,OPTIMAL,0.017999887466430664,4,-0.2345463590123991,OPTIMAL,0.010999917984008789,0,-0.08590039812374256,CUT_LIMIT,0.0410001277923584,100,,OPTIMAL,0.002000093460083008,0,-0.08325888183728583,OPTIMAL,0.02500009536743164,30,-0.08325888183728583,OPTIMAL,0.0019998550415039062,0,-0.08590039812374256,OPTIMAL,0.00800013542175293,4,-0.09966477849693367,OPTIMAL,0.003000020980834961,0,-0.11225753734803016,OPTIMAL,0.024000167846679688,2,-0.10509674074507042,OPTIMAL,0.009000062942504883,0,-0.08561988225624935,CUT_LIMIT,0.03800010681152344,100,,OPTIMAL,0.0029997825622558594,0,-0.08309168446942765,OPTIMAL,0.0820000171661377,30,-0.08309168446942765,OPTIMAL,0.0019998550415039062,0,-0.08561988225624935,OPTIMAL,0.007999897003173828,2,-0.0995717492490577,OPTIMAL,0.003000020980834961,0,-0.1172985881172394,OPTIMAL,0.009999752044677734,1,-0.11788780199551419
ACOT13,OPTIMAL,0.004999876022338867,1,-0.19871397302123572,CUT_LIMIT,0.06000018119812012,100,,OPTIMAL,0.871999979019165,1,-0.9422401702892709,OPTIMAL,5.251999855041504,75,-0.9484266452661801,OPTIMAL,0.002000093460083008,0,-0.19871397302123572,OPTIMAL,0.020999908447265625,3,-0.23357543081748286,OPTIMAL,0.39800000190734863,0,-0.23997911816800818,OPTIMAL,0.41499996185302734,0,-0.23997911816800818,OPTIMAL,0.0019998550415039062,0,-0.23435911927603448,CUT_LIMIT,0.10599994659423828,100,,OPTIMAL,0.02499985694885254,0,-0.25837125388014637,OPTIMAL,0.35900020599365234,53,-0.25837125388014637,OPTIMAL,0.0,0,-0.23435911927603448,OPTIMAL,0.021999835968017578,2,-0.23835411365266268,INFEASIBLE,0.002000093460083008,0,,INFEASIBLE,0.0,0,,OPTIMAL,0.0,0,-0.22914314547721332,CUT_LIMIT,0.10300016403198242,100,,OPTIMAL,0.003999948501586914,0,-0.30837727985272767,OPTIMAL,0.046000003814697266,39,-0.30837727985272767,OPTIMAL,0.0019998550415039062,0,-0.22914314547721332,OPTIMAL,0.006000041961669922,2,-0.2319270583911775,INFEASIBLE,0.003999948501586914,0,,INFEASIBLE,0.006000041961669922,0,
ACP6,OPTIMAL,0.003999948501586914,2,-0.08309587398571908,OPTIMAL,0.06699991226196289,96,-0.08309587398571908,OPTIMAL,0.44499993324279785,0,-0.13529666472387167,OPTIMAL,7.069000244140625,34,-0.13529666472387167,OPTIMAL,0.014000177383422852,3,-0.15482939916703659,OPTIMAL,0.016000032424926758,3,-0.11352289825351926,OPTIMAL,0.01699995994567871,0,-0.4335233667811706,OPTIMAL,1.3759996891021729,4,-0.17967034661028514,OPTIMAL,0.0,0,-0.07954786809989974,CUT_LIMIT,0.04200005531311035,100,,OPTIMAL,0.006000041961669922,0,-0.08295138232800574,OPTIMAL,0.06800031661987305,32,-0.08295138232800574,OPTIMAL,0.0,0,-0.07954786809989974,OPTIMAL,0.002000093460083008,3,-0.10375715199575632,INFEASIBLE,1.3659999370574951,0,,INFEASIBLE,1.9950001239776611,0,,OPTIMAL,0.0019998550415039062,0,-0.07813395019418298,CUT_LIMIT,0.17300033569335938,100,,OPTIMAL,0.004000186920166016,0,-0.08249083686357303,OPTIMAL,0.05899953842163086,32,-0.08249083686357303,OPTIMAL,0.002000093460083008,0,-0.07813395019418298,OPTIMAL,0.009000062942504883,3,-0.1003632192671694,INFEASIBLE,0.18900012969970703,0,,INFEASIBLE,0.1789999008178711,0,
ADRB1,OPTIMAL,0.0,0,-0.3024559261636625,CUT_LIMIT,2.034000873565674,100,,OPTIMAL,0.0,0,-0.3640709065554525,OPTIMAL,0.06499958038330078,51,-0.3640709065554525,OPTIMAL,0.016000032424926758,2,-0.3024559261636625,OPTIMAL,0.33700037002563477,12,-0.09267438678724846,OPTIMAL,0.23600029945373535,1,-0.39332257463794607,OPTIMAL,0.28799986839294434,1,-0.39332257463794607,INFEASIBLE,0.0,0,,INFEASIBLE,0.0,0,,INFEASIBLE,0.0,0,,INFEASIBLE,0.0,0,,INFEASIBLE,0.01699995994567871,0,,INFEASIBLE,0.003999948501586914,0,,INFEASIBLE,0.0,0,,INFEASIBLE,0.010999917984008789,0,,INFEASIBLE,0.0,0,,INFEASIBLE,0.016000032424926758,0,,INFEASIBLE,0.006000041961669922,0,,INFEASIBLE,0.004999876022338867,0,,INFEASIBLE,0.002000093460083008,0,,INFEASIBLE,0.002000093460083008,0,,INFEASIBLE,0.005000114440917969,0,,INFEASIBLE,0.005000114440917969,0,
AKT1,OPTIMAL,0.008999824523925781,0,-0.15241562713954698,CUT_LIMIT,0.14999961853027344,100,,OPTIMAL,0.17100000381469727,0,-0.9051400545475952,OPTIMAL,1.691999912261963,65,-0.9051400545475952,OPTIMAL,0.0,2,-0.15241562713954698,OPTIMAL,0.01900005340576172,3,-0.15843922002124497,OPTIMAL,0.4790000915527344,0,-0.18908953331160108,OPTIMAL,2.5199997425079346,1,-0.16899272847205787,OPTIMAL,0.003000020980834961,0,-0.1536906279454903,CUT_LIMIT,0.06599998474121094,100,,OPTIMAL,0.004999876022338867,0,-0.21996006561287232,OPTIMAL,0.06800007820129395,60,-0.21996006561287232,OPTIMAL,0.01699995994567871,0,-0.1536906279454903,OPTIMAL,0.003999948501586914,2,-0.16328855322188052,TIME_LIMIT,30.003000020980835,0,,TIME_LIMIT,30.003999948501587,0,,OPTIMAL,0.0,1,-0.1569998748609371,CUT_LIMIT,0.03699994087219238,100,,OPTIMAL,0.004999876022338867,0,-0.22510805319475544,OPTIMAL,0.06100034713745117,68,-0.22510805319475544,OPTIMAL,0.0010001659393310547,0,-0.1569998748609371,OPTIMAL,0.009000062942504883,2,-0.16406454300876352,TIME_LIMIT,300.0039999485016,0,,TIME_LIMIT,300.0020000934601,0,
AKT1S1,OPTIMAL,0.0,0,-0.08519209573943677,CUT_LIMIT,0.10599994659423828,100,,OPTIMAL,0.18199992179870605,0,-0.3024483404871861,OPTIMAL,2.194999933242798,54,-0.3024483404871861,OPTIMAL,0.0019998550415039062,2,-0.08519209573943677,OPTIMAL,0.016000032424926758,3,-0.09790757003663976,OPTIMAL,0.016000032424926758,0,-0.22159469264447873,OPTIMAL,0.3489999771118164,2,-0.24522429564572823,OPTIMAL,0.002000093460083008,0,-0.0758180398017774,OPTIMAL,0.20499944686889648,90,-0.06507971834796657,OPTIMAL,0.0,0,-0.12865399285371726,OPTIMAL,0.059000253677368164,27,-0.12865399285371726,OPTIMAL,0.0,0,-0.0758180398017774,OPTIMAL,0.0010001659393310547,3,-0.08779731636939492,INFEASIBLE,0.006999969482421875,0,,INFEASIBLE,0.00599980354309082,0,,OPTIMAL,0.002000093460083008,2,-0.08416969543055385,CUT_LIMIT,3.2799999713897705,100,,OPTIMAL,0.003000020980834961,0,-0.13210077356236896,OPTIMAL,0.04999971389770508,38,-0.13210077356236896,OPTIMAL,0.0009999275207519531,0,-0.08416969543055385,OPTIMAL,0.010000228881835938,3,-0.09460481758931641,INFEASIBLE,0.006999969482421875,0,,INFEASIBLE,0.006000041961669922,0,
ANKRD16,OPTIMAL,0.0,0,-0.10422144395947329,CUT_LIMIT,0.11500000953674316,100,,OPTIMAL,0.007999897003173828,1,-0.29455485483001614,OPTIMAL,0.06300044059753418,50,-0.29455485483001614,OPTIMAL,0.0,0,-0.10422144395947329,OPTIMAL,0.40199995040893555,3,-0.16049360218280628,OPTIMAL,0.0,0,-0.2533014050119454,OPTIMAL,0.015999794006347656,1,-0.17732741425164433,OPTIMAL,0.0009999275207519531,0,-0.09125407676007756,CUT_LIMIT,0.12599992752075195,100,,OPTIMAL,0.0019998550415039062,0,-0.09271504875757214,OPTIMAL,0.06100010871887207,34,-0.09271504875757214,OPTIMAL,0.002000093460083008,0,-0.09125407676007756,OPTIMAL,0.008999824523925781,3,-0.10332605163959716,TIME_LIMIT,30.006999969482422,0,,TIME_LIMIT,30.009999990463257,0,,OPTIMAL,0.004000186920166016,0,-0.09235184544912306,CUT_LIMIT,0.05099964141845703,100,,OPTIMAL,0.003999948501586914,0,-0.09414680551749882,OPTIMAL,0.13699913024902344,35,-0.09414680551749882,OPTIMAL,0.002000093460083008,0,-0.09235184544912306,OPTIMAL,0.00800013542175293,3,-0.10515701859634617,INFEASIBLE,8.901999950408936,0,,INFEASIBLE,8.815999984741211,0,
ARFIP1,OPTIMAL,0.002000093460083008,1,-0.19039243639709308,CUT_LIMIT,0.1490004062652588,100,,OPTIMAL,0.28999996185302734,1,-0.9483662768150853,OPTIMAL,0.6820001602172852,97,-0.3125365801013026,OPTIMAL,0.0,0,-0.19039243639709308,OPTIMAL,0.024000167846679688,3,-0.2926028898505507,OPTIMAL,0.36700010299682617,0,-0.23752572007126074,OPTIMAL,12.757999897003174,19,-0.43814596379032833,INFEASIBLE,0.0,0,,INFEASIBLE,0.0,0,,INFEASIBLE,0.010999917984008789,0,,INFEASIBLE,0.019999980926513672,0,,INFEASIBLE,0.0,0,,INFEASIBLE,0.016000032424926758,0,,INFEASIBLE,0.0,0,,INFEASIBLE,0.0,0,,INFEASIBLE,0.0,0,,INFEASIBLE,0.0,0,,INFEASIBLE,0.004999876022338867,0,,INFEASIBLE,0.003999948501586914,0,,INFEASIBLE,0.003000020980834961,0,,INFEASIBLE,0.0019998550415039062,0,,INFEASIBLE,0.00599980354309082,0,,INFEASIBLE,0.005000114440917969,0,
ARMC9,OPTIMAL,0.002000093460083008,0,-0.11682148019768411,CUT_LIMIT,0.057000160217285156,100,,OPTIMAL,0.2049999237060547,0,-0.19552965305060038,OPTIMAL,3.7759997844696045,60,-0.19552965305060038,OPTIMAL,0.0,0,-0.11682148019768411,OPTIMAL,0.023000240325927734,4,-0.17788966659652553,OPTIMAL,0.0,0,-0.3095254448319664,OPTIMAL,0.03099989891052246,4,-0.17398495301339514,OPTIMAL,0.0,0,-0.10537040480992566,CUT_LIMIT,0.03900027275085449,100,,OPTIMAL,0.003999948501586914,0,-0.12982609940214476,OPTIMAL,0.05799984931945801,34,-0.12982609940214476,OPTIMAL,0.0019998550415039062,0,-0.10537040480992566,OPTIMAL,0.016000032424926758,2,-0.1228104321840717,TIME_LIMIT,30.003999948501587,0,,TIME_LIMIT,30.005000114440918,0,,OPTIMAL,0.003000020980834961,0,-0.10422869786886135,OPTIMAL,0.05000019073486328,98,-0.10422869786886135,OPTIMAL,0.0019998550415039062,0,-0.11947670881849033,OPTIMAL,0.045000314712524414,35,-0.11947670881849033,OPTIMAL,0.003000020980834961,0,-0.10422869786886135,OPTIMAL,0.01600027084350586,2,-0.11268914397395677,TIME_LIMIT,300.00499987602234,0,,TIME_LIMIT,300.00300002098083,0,
ASB13,OPTIMAL,0.0010001659393310547,0,-0.08087337877684204,OPTIMAL,0.034999847412109375,68,-0.07709458471986731,OPTIMAL,0.007999897003173828,1,-0.08530507257677077,OPTIMAL,0.021000385284423828,45,-0.08530507257677077,OPTIMAL,0.0,0,-0.07376207437094329,OPTIMAL,0.017000198364257812,3,-0.09438992725472779,OPTIMAL,0.0,0,-0.23994021049393893,OPTIMAL,0.0,1,-0.2335772975486476,OPTIMAL,0.01100015640258789,0,-0.09154650664395092,OPTIMAL,0.07600021362304688,77,-0.0959065596908547,OPTIMAL,0.01699995994567871,1,-0.09749535916464401,OPTIMAL,0.07100033760070801,31,-0.09749535916464401,OPTIMAL,0.0009999275207519531,0,-0.08996065361170966,OPTIMAL,0.013000011444091797,4,-0.10000977755100565,OPTIMAL,0.02700018882751465,0,-0.1329407488446431,OPTIMAL,0.045999765396118164,1,-0.12862391154110803,OPTIMAL,0.0,0,-0.09080878295584716,OPTIMAL,0.0709998607635498,82,-0.09470057160616244,OPTIMAL,0.003999948501586914,0,-0.08695747583804,OPTIMAL,0.06799960136413574,43,-0.08695747583804,OPTIMAL,0.0009999275207519531,0,-0.08936067780338214,OPTIMAL,0.006000041961669922,2,-0.09774824899366127,OPTIMAL,0.006000041961669922,0,-0.12851531368575286,OPTIMAL,0.009999990463256836,1,-0.12448976516781086
