,MIR199A2_d222_c50_status,MIR199A2_d222_c50_times,MIR199A2_d222_c50_cuts,MIR199A2_d222_c50_correlation,MIR199A2_d223_c50_status,MIR199A2_d223_c50_times,MIR199A2_d223_c50_cuts,MIR199A2_d223_c50_correlation,MIR199A2_d232_c50_status,MIR199A2_d232_c50_times,MIR199A2_d232_c50_cuts,MIR199A2_d232_c50_correlation,MIR199A2_d233_c50_status,MIR199A2_d233_c50_times,MIR199A2_d233_c50_cuts,MIR199A2_d233_c50_correlation,MIR199A2_d322_c50_status,MIR199A2_d322_c50_times,MIR199A2_d322_c50_cuts,MIR199A2_d322_c50_correlation,MIR199A2_d323_c50_status,MIR199A2_d323_c50_times,MIR199A2_d323_c50_cuts,MIR199A2_d323_c50_correlation,MIR199A2_d332_c50_status,MIR199A2_d332_c50_times,MIR199A2_d332_c50_cuts,MIR199A2_d332_c50_correlation,MIR199A2_d333_c50_status,MIR199A2_d333_c50_times,MIR199A2_d333_c50_cuts,MIR199A2_d333_c50_correlation
ACAP3,OPTIMAL,0.004999876022338867,2,-0.0664584550087488,OPTIMAL,0.09800028800964355,74,-0.08463236384211394,OPTIMAL,0.0,0,-0.09064931251107203,OPTIMAL,0.14299941062927246,28,-0.09067008853919375,OPTIMAL,0.015000104904174805,2,-0.0664584550087488,OPTIMAL,0.013000011444091797,3,-0.09772220442739446,OPTIMAL,0.0,0,-0.08940006246533283,OPTIMAL,0.01699995994567871,2,-0.09274327834471835
ACOT13,OPTIMAL,0.005000114440917969,2,-0.14569486168269874,OPTIMAL,0.182999849319458,69,-0.17984161361275944,OPTIMAL,0.0,0,-0.2377173809297844,OPTIMAL,0.33100008964538574,23,-0.18990943693849868,OPTIMAL,0.006999969482421875,2,-0.14569486168269874,OPTIMAL,0.01699995994567871,3,-0.2088222398441727,OPTIMAL,0.015999794006347656,0,-0.21085086737794873,OPTIMAL,0.09499979019165039,6,-0.21776046338043606
ACP6,OPTIMAL,0.0,2,-0.06623791356446289,OPTIMAL,0.14499974250793457,72,-0.08577437923195427,OPTIMAL,0.0,0,-0.08625661437555111,OPTIMAL,0.14499998092651367,28,-0.08519110033554136,OPTIMAL,0.0,2,-0.06623791356446289,OPTIMAL,0.0,3,-0.0952400881908375,OPTIMAL,0.016000032424926758,0,-0.0830050755726281,OPTIMAL,0.04500007629394531,3,-0.09259430955811457
ADRB1,OPTIMAL,0.016000032424926758,2,-0.04321153919571515,OPTIMAL,0.1250002384185791,68,-0.06803521392434485,OPTIMAL,0.0,0,-0.07073038028108782,OPTIMAL,0.11999964714050293,26,-0.07229127082904324,OPTIMAL,0.003999948501586914,2,-0.04321153919571515,OPTIMAL,0.0,4,-0.06376893003248509,OPTIMAL,0.015999794006347656,0,-0.07615108951078245,OPTIMAL,0.06599998474121094,6,-0.09536852741741733
AKT1,OPTIMAL,0.0,2,-0.10631614157834943,OPTIMAL,0.10599970817565918,71,-0.1330872209811312,OPTIMAL,0.0,0,-0.13639158657241798,OPTIMAL,0.1770002841949463,28,-0.1462466745656009,OPTIMAL,0.004000186920166016,2,-0.10631614157834943,OPTIMAL,0.0,3,-0.1415463410978325,OPTIMAL,0.0,0,-0.1463250422896701,OPTIMAL,0.04700016975402832,3,-0.14891359531038992
AKT1S1,OPTIMAL,0.005000114440917969,2,-0.05709002164514009,OPTIMAL,0.12800002098083496,70,-0.0757079468460424,OPTIMAL,0.02200007438659668,0,-0.16385760884360012,OPTIMAL,0.07800006866455078,20,-0.0880891076174572,OPTIMAL,0.0,2,-0.05709002164514011,OPTIMAL,0.015999794006347656,4,-0.0855759775774891,OPTIMAL,0.0,0,-0.07846932667798492,OPTIMAL,0.03299999237060547,3,-0.07761427617871047
ANKRD16,OPTIMAL,0.0,2,-0.07322691935977735,CUT_LIMIT,0.08699989318847656,100,,OPTIMAL,0.016000032424926758,0,-0.0973035248660492,OPTIMAL,0.11299991607666016,28,-0.09849095046056527,OPTIMAL,0.012000083923339844,2,-0.07322691935977735,OPTIMAL,0.013000011444091797,3,-0.10583499353586572,OPTIMAL,0.0,0,-0.09752380835810315,OPTIMAL,0.03299999237060547,3,-0.10358173684212996
ARFIP1,OPTIMAL,0.0,2,-0.14252482466904157,OPTIMAL,0.1420001983642578,68,-0.17696107635418068,OPTIMAL,0.0,0,-0.22861077662926643,OPTIMAL,0.20100021362304688,21,-0.18285472160569816,OPTIMAL,0.009999990463256836,2,-0.14252482466904157,OPTIMAL,0.0,3,-0.1852729290032681,OPTIMAL,0.0,0,-0.206621260452824,OPTIMAL,0.0839998722076416,4,-0.20741237145567307
ARMC9,OPTIMAL,0.016000032424926758,2,-0.08494110709698478,OPTIMAL,0.08299994468688965,57,-0.09829267333307717,OPTIMAL,0.015999794006347656,0,-0.11053851108876764,OPTIMAL,0.09799981117248535,27,-0.11242927267631522,OPTIMAL,0.009999990463256836,2,-0.08494110709698478,OPTIMAL,0.0,3,-0.11891169022513373,OPTIMAL,0.0,0,-0.10872201596378234,OPTIMAL,0.03299999237060547,2,-0.11513426721944135
ASB13,OPTIMAL,0.0,2,-0.07580001469222274,OPTIMAL,0.1530001163482666,74,-0.09113555646636202,OPTIMAL,0.016000032424926758,0,-0.10309002238756178,CUT_LIMIT,0.06499981880187988,100,,OPTIMAL,0.0,2,-0.07580001469222271,OPTIMAL,0.0,3,-0.10494156680533549,OPTIMAL,0.0,0,-0.09610555040048462,OPTIMAL,0.016000032424926758,2,-0.09969939510461925
ATOH8,OPTIMAL,0.0,2,-0.0675768541734731,OPTIMAL,0.10600018501281738,68,-0.07946366051168664,OPTIMAL,0.0,0,-0.09227057281518541,OPTIMAL,0.11400008201599121,27,-0.09379361794828202,OPTIMAL,0.0,2,-0.0675768541734731,OPTIMAL,0.0,3,-0.09854804371870841,OPTIMAL,0.013000011444091797,0,-0.1093111681074928,OPTIMAL,0.031000137329101562,4,-0.11771123890495373
B4GALT4,OPTIMAL,0.016000032424926758,2,-0.1059491222512908,OPTIMAL,0.0840001106262207,57,-0.10826560016005804,OPTIMAL,0.015999794006347656,0,-0.18050419880283036,OPTIMAL,0.12000012397766113,22,-0.1381120863622561,OPTIMAL,0.013000011444091797,2,-0.10594912225129079,OPTIMAL,0.0,3,-0.13606452299747526,OPTIMAL,0.0,0,-0.13138216638035655,OPTIMAL,0.037999868392944336,4,-0.1388364089981311
BANP,OPTIMAL,0.0,2,-0.07465316341726114,OPTIMAL,0.14299964904785156,67,-0.09730092024198048,OPTIMAL,0.016000032424926758,0,-0.15358295464411229,OPTIMAL,0.2820000648498535,34,-0.10446960367520779,OPTIMAL,0.0,2,-0.07465316341726114,OPTIMAL,0.016000032424926758,4,-0.10270163509371263,OPTIMAL,0.0,0,-0.10633855051683253,OPTIMAL,0.016000032424926758,3,-0.10542295746112983
BCR,OPTIMAL,0.002000093460083008,2,-0.0895781462927879,OPTIMAL,0.09999966621398926,62,-0.1147322514512371,OPTIMAL,0.0,0,-0.1168286974825112,OPTIMAL,0.11600017547607422,28,-0.11855074146753003,OPTIMAL,0.007999897003173828,2,-0.0895781462927879,OPTIMAL,0.015000104904174805,3,-0.11999121516584084,OPTIMAL,0.0,0,-0.11623834624369886,OPTIMAL,0.003000020980834961,2,-0.11944146149611036
BTBD7,OPTIMAL,0.0,2,-0.12581329324583854,OPTIMAL,0.12000036239624023,60,-0.15774501311156572,OPTIMAL,0.0,0,-0.16436984713911829,OPTIMAL,0.11500024795532227,23,-0.174460516375153,OPTIMAL,0.0,2,-0.12581329324583854,OPTIMAL,0.0,3,-0.1696450564758993,OPTIMAL,0.008999824523925781,0,-0.17858725757863067,OPTIMAL,0.13000011444091797,7,-0.18955354972332666
C12orf76,OPTIMAL,0.00800013542175293,2,-0.06556430259903911,OPTIMAL,0.05200028419494629,53,-0.08429882042769021,OPTIMAL,0.004999876022338867,0,-0.08990374688596847,OPTIMAL,0.053999900817871094,21,-0.08997041673527165,OPTIMAL,0.0,2,-0.06556430259903913,OPTIMAL,0.015999794006347656,4,-0.090439979628054,OPTIMAL,0.006000041961669922,0,-0.08706601872648757,OPTIMAL,0.016000032424926758,3,-0.09083881912400182
C18orf21,OPTIMAL,0.004999637603759766,2,-0.10159637944638607,OPTIMAL,0.13899993896484375,71,-0.12439521644985263,OPTIMAL,0.0,0,-0.16940554982331774,OPTIMAL,0.11500024795532227,19,-0.12909293206876482,OPTIMAL,0.0,2,-0.10159637944638607,OPTIMAL,0.016000032424926758,3,-0.13852575215262564,OPTIMAL,0.016000032424926758,0,-0.14207000979348774,OPTIMAL,0.024000167846679688,3,-0.14907776382689467
C20orf96,OPTIMAL,0.0,2,-0.049003775031242626,OPTIMAL,0.10300040245056152,46,-0.057961389468321634,OPTIMAL,0.0,0,-0.06820691876340515,OPTIMAL,0.13199996948242188,28,-0.06696564909919885,OPTIMAL,0.0,2,-0.04900377503124261,OPTIMAL,0.020999908447265625,3,-0.07037417282342288,OPTIMAL,0.0019998550415039062,0,-0.06604015488243442,OPTIMAL,0.016000032424926758,2,-0.06897359259743278
C21orf91,OPTIMAL,0.0,2,-0.0637690467961595,OPTIMAL,0.13200044631958008,73,-0.08058728463742244,OPTIMAL,0.0,0,-0.08586650234603355,OPTIMAL,0.11899995803833008,27,-0.08961697610687143,OPTIMAL,0.016000032424926758,2,-0.0637690467961595,OPTIMAL,0.0,3,-0.09364301509390888,OPTIMAL,0.0,0,-0.09153525345364547,OPTIMAL,0.10599994659423828,6,-0.09983734193998998
