,counts_d3_c95_status,counts_d3_c95_correlation,counts_d4_c95_status,counts_d4_c95_correlation,counts_d3_c50_status,counts_d3_c50_correlation,counts_d3_c95_reg_status,counts_d3_c95_reg_correlation,counts_d3_c50_reg_status,counts_d3_c50_reg_correlation
A4GALT,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.12120394964157026,INFEASIBLE,
AAAS,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AACS,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AADAT,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.14794358858087264,INFEASIBLE,
AAGAB,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AAK1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AAMDC,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AAMP,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AAR2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AARS2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.12906376297897343,OPTIMAL,-0.11274342272650067
AASDH,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.10712549943703138,INFEASIBLE,
AASDHPPT,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AASS,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.13742698245114424,INFEASIBLE,
AATF,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABCA1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.09559838139418543,INFEASIBLE,
ABCA5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.11388307575854499,INFEASIBLE,
ABCA6,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.04408250085739406,OPTIMAL,-0.05258714299671879
ABCB10,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.24504774719950567,INFEASIBLE,
ABCB7,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.16303749821422972,INFEASIBLE,
ABCB8,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABCC1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABCC10,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.0702816582436508,OPTIMAL,-0.09475205527937244
ABCC3,OPTIMAL,-0.2153023314908005,OPTIMAL,-0.2943883987356835,INFEASIBLE,,OPTIMAL,-0.06494211724531351,OPTIMAL,-0.03546892232154022
ABCC4,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
