,counts_d3_c95_K100_status,counts_d3_c95_K100_correlation,counts_d3_c95_reg_K100_status,counts_d3_c95_reg_K100_correlation,counts_d3_c95_tx_K100_status,counts_d3_c95_tx_K100_correlation,counts_d3_c95_KNone_status,counts_d3_c95_KNone_correlation,counts_d3_c95_reg_KNone_status,counts_d3_c95_reg_KNone_correlation,counts_d3_c95_tx_KNone_status,counts_d3_c95_tx_KNone_correlation,counts_d3_c50_K100_status,counts_d3_c50_K100_correlation,counts_d3_c50_reg_K100_status,counts_d3_c50_reg_K100_correlation,counts_d3_c50_tx_K100_status,counts_d3_c50_tx_K100_correlation,counts_d3_c50_KNone_status,counts_d3_c50_KNone_correlation,counts_d3_c50_reg_KNone_status,counts_d3_c50_reg_KNone_correlation,counts_d3_c50_tx_KNone_status,counts_d3_c50_tx_KNone_correlation
A4GALT,INFEASIBLE,,OPTIMAL,-0.09812517175255404,OPTIMAL,-0.07216005188408067,OPTIMAL,-0.09659531645248418,OPTIMAL,-0.04989222269620547,OPTIMAL,-0.0721863968405286,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AAAS,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-2.3988801828924875e-07,OPTIMAL,-0.10853282954039187,OPTIMAL,-0.1369140645531417,OPTIMAL,-0.0692869983059582,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AACS,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-3.328329830708506e-06,OPTIMAL,-0.6148581681461236,OPTIMAL,-0.10466632684368006,OPTIMAL,-0.11401672679408559,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AADAT,INFEASIBLE,,OPTIMAL,-0.14464320993711302,OPTIMAL,-0.07729544303900539,OPTIMAL,-0.14278462247425955,OPTIMAL,-0.12373926722165167,OPTIMAL,-0.0773042283049788,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AAGAB,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.14199014674911967,OPTIMAL,-0.583519523382064,OPTIMAL,-0.1073268656849909,OPTIMAL,-0.14066138380179036,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.09175094975609549,OPTIMAL,-0.10417425138026191,OPTIMAL,-0.0913667545318099,OPTIMAL,-0.09186046569943895
AAK1,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.16139505557164047,OPTIMAL,-0.43315532581602645,OPTIMAL,-0.11135783991738699,OPTIMAL,-0.16525100997406586,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AAMDC,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.1446051757497216,OPTIMAL,-0.17581276828044307,OPTIMAL,-0.12001688493893209,OPTIMAL,-0.1446091115529735,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AAMP,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.10227679784487953,OPTIMAL,-0.20480101036140985,OPTIMAL,-0.1731650288394599,OPTIMAL,-0.10277951505559704,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AAR2,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.13220430218096357,OPTIMAL,-0.19390812219455672,OPTIMAL,-0.11852606922052647,OPTIMAL,-2.1519233787762947e-06,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.092937697041956,OPTIMAL,-0.09427242879707512,OPTIMAL,-0.08687537696268587,OPTIMAL,-0.09375661804203315
AARS2,INFEASIBLE,,OPTIMAL,-0.12998421478989727,OPTIMAL,-0.14761616032403319,OPTIMAL,-0.11803001502579541,OPTIMAL,-0.10917776070072903,OPTIMAL,-0.14708251916511486,INFEASIBLE,,OPTIMAL,-0.11263308462287215,OPTIMAL,-0.11536179206699793,OPTIMAL,-0.11562443679684456,OPTIMAL,-0.11172447145027344,OPTIMAL,-0.11535405982514955
AASDH,OPTIMAL,-0.07289969324035905,OPTIMAL,-0.10279272371311489,OPTIMAL,-0.11290729449852585,OPTIMAL,-0.06337388434542293,OPTIMAL,-0.060658230991866104,OPTIMAL,-0.1248693403609811,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.05916710889251222,OPTIMAL,-0.1363426510928549,OPTIMAL,-0.04917754150238141,OPTIMAL,-0.058880466455735615
AASDHPPT,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.16139128815061402,OPTIMAL,-0.16071881180924266,OPTIMAL,-0.15419606564912364,OPTIMAL,-0.09993091307959577,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AASS,INFEASIBLE,,OPTIMAL,-0.14055212603510572,OPTIMAL,-0.060840939045961946,OPTIMAL,-0.08251065165432739,OPTIMAL,-0.08103194529691414,OPTIMAL,-0.06275862581124532,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.0329573720886949,OPTIMAL,-0.03319121553011596,OPTIMAL,-0.03315788870291625,OPTIMAL,-0.03309774522970264
