,counts_d3_c95_status,counts_d3_c95_correlation,counts_d3_c50_status,counts_d3_c50_correlation,counts_d3_c95_reg_status,counts_d3_c95_reg_correlation,counts_d3_c50_reg_status,counts_d3_c50_reg_correlation
A4GALT,OPTIMAL,-0.1046702901506509,INFEASIBLE,,OPTIMAL,-0.0326430490224273,INFEASIBLE,
AAAS,OPTIMAL,-0.0994745841016795,INFEASIBLE,,OPTIMAL,-0.1274802734845992,INFEASIBLE,
AACS,OPTIMAL,-0.0900123955390971,INFEASIBLE,,OPTIMAL,-0.09262101480219284,INFEASIBLE,
AADAT,OPTIMAL,-0.1390976052854757,INFEASIBLE,,OPTIMAL,-0.12976286418506455,INFEASIBLE,
AAGAB,OPTIMAL,-0.1508205793489792,OPTIMAL,-0.1003018736441133,OPTIMAL,-0.12107039792080901,OPTIMAL,-0.09058884470660492
AAK1,OPTIMAL,-0.2396071129303465,INFEASIBLE,,OPTIMAL,-0.12219752561971109,INFEASIBLE,
AAMDC,OPTIMAL,-0.1693577846589448,INFEASIBLE,,OPTIMAL,-0.12483424823572656,INFEASIBLE,
AAMP,OPTIMAL,-0.1186707649226129,INFEASIBLE,,OPTIMAL,-0.14153775259069584,INFEASIBLE,
AAR2,OPTIMAL,-0.1108888839632234,OPTIMAL,-0.0991545960523518,OPTIMAL,-0.11640154615076521,OPTIMAL,-0.0864624709878552
AARS2,OPTIMAL,-0.113164421097211,OPTIMAL,-0.1146028714232279,OPTIMAL,-0.08855617630260301,OPTIMAL,-0.11080043534997228
AASDH,OPTIMAL,-0.056344889351433,OPTIMAL,-0.1204654000528149,OPTIMAL,-0.0614017322296549,OPTIMAL,-0.04943823265899813
AASDHPPT,OPTIMAL,-0.1316595817418074,INFEASIBLE,,OPTIMAL,-0.15238839855978636,INFEASIBLE,
AASS,OPTIMAL,-0.0867014389332092,INFEASIBLE,,OPTIMAL,-0.10006885922400661,OPTIMAL,-0.035525311377324405
AATF,OPTIMAL,-0.2771922068776998,OPTIMAL,-0.2229377769663014,OPTIMAL,-0.11744101124584239,OPTIMAL,-0.20604261236935237
ABCA1,OPTIMAL,-0.0690206634387816,INFEASIBLE,,OPTIMAL,-0.05021890607990185,INFEASIBLE,
ABCA5,OPTIMAL,-0.6847202903471411,OPTIMAL,-0.0548615745163886,OPTIMAL,-0.054405461363921145,OPTIMAL,-0.0436713384026007
ABCA6,OPTIMAL,-0.4310937815176333,OPTIMAL,-0.0588934400987559,OPTIMAL,-0.033961367031389744,OPTIMAL,-0.052707254259661517
ABCB10,OPTIMAL,-0.6858163605995702,INFEASIBLE,,OPTIMAL,-0.14012717542382425,OPTIMAL,-0.08763938225530453
ABCB7,OPTIMAL,-0.1462457525619374,INFEASIBLE,,OPTIMAL,-0.11626239864864794,INFEASIBLE,
ABCB8,OPTIMAL,-0.2769101953577914,INFEASIBLE,,OPTIMAL,-0.0988652558216577,INFEASIBLE,
ABCC1,OPTIMAL,-0.0927265396930406,INFEASIBLE,,OPTIMAL,-0.11202186243777798,INFEASIBLE,
ABCC10,OPTIMAL,-0.0890875496921887,OPTIMAL,-0.0869763358478339,OPTIMAL,-0.06764205576293884,OPTIMAL,-0.0803473280310617
ABCC3,OPTIMAL,-0.042983636300394,OPTIMAL,-0.0420838748712167,OPTIMAL,-0.06315265480708467,OPTIMAL,-0.024175314440587573
ABCC4,OPTIMAL,-0.2458431391560488,INFEASIBLE,,OPTIMAL,-0.1288181015911884,INFEASIBLE,
ABCC5,OPTIMAL,-0.1257667842848137,INFEASIBLE,,OPTIMAL,-0.11268885835321155,INFEASIBLE,
ABCD1,OPTIMAL,-0.0869071708809308,OPTIMAL,-0.0528200111322645,OPTIMAL,-0.059375208751530434,OPTIMAL,-0.057160688344272084
ABCD3,OPTIMAL,-0.2346296998166507,INFEASIBLE,,OPTIMAL,-0.12254947377784163,INFEASIBLE,
ABCD4,OPTIMAL,-0.0847709720069528,OPTIMAL,-0.0523197712853887,OPTIMAL,-0.09750052212216177,OPTIMAL,-0.07424357204254013
