,counts_d3_c95_status,counts_d3_c95_correlation,counts_d3_c50_status,counts_d3_c50_correlation
A4GALT,OPTIMAL,-0.12812887700856845,OPTIMAL,-0.05181240146023818
AAAS,OPTIMAL,-0.7188756071797782,OPTIMAL,0.016412798181334582
AACS,OPTIMAL,-0.0015691925194476284,OPTIMAL,-0.027667552426882822
AADAT,OPTIMAL,-0.14392381724024209,OPTIMAL,-0.10263813200496476
AAGAB,OPTIMAL,-0.0008208515291298434,OPTIMAL,-0.12867440229616564
AAK1,OPTIMAL,-0.21643776904524087,OPTIMAL,0.07157032830050726
AAMDC,OPTIMAL,-0.21956532221394806,CUT_LIMIT,
AAMP,OPTIMAL,4.0784710784122005e-09,OPTIMAL,9.110467317968565e-09
AAR2,OPTIMAL,-7.07599383077055e-09,OPTIMAL,-4.9548635070928006e-08
AARS2,OPTIMAL,-0.14969082145491938,OPTIMAL,-0.1266897533670785
AASDH,OPTIMAL,-2.2463016588780465e-07,OPTIMAL,-0.054589356623698154
AASDHPPT,OPTIMAL,-0.06967752334083663,OPTIMAL,-0.0692230227874806
AASS,OPTIMAL,-3.321235030451296e-08,OPTIMAL,-0.04446084341465566
AATF,OPTIMAL,1.4240660824957845e-08,OPTIMAL,-0.22033151530075967
ABCA1,OPTIMAL,-0.10174930021063394,OPTIMAL,-0.09987184240967363
ABCA5,OPTIMAL,-0.5693252108288953,OPTIMAL,-4.3526342028562954e-10
ABCA6,OPTIMAL,-0.10454389768094455,OPTIMAL,-0.06116028174021226
ABCB10,OPTIMAL,-0.10622697447856892,OPTIMAL,-0.10829302579744655
ABCB7,OPTIMAL,5.897188364872582e-09,OPTIMAL,-0.06648011402725913
ABCB8,OPTIMAL,-0.9944452417470805,OPTIMAL,-0.02271353275640152
ABCC1,OPTIMAL,-0.34256152937243395,OPTIMAL,-0.0014346254470051193
ABCC10,OPTIMAL,-0.09870364633905926,OPTIMAL,-0.09229773013646937
ABCC3,OPTIMAL,-0.030339263946647654,OPTIMAL,-0.046286209952079715
ABCC4,OPTIMAL,-0.9778047440727936,OPTIMAL,-0.09668701240765547
ABCC5,OPTIMAL,-0.13551780692379733,OPTIMAL,-0.05108294188406303
ABCD1,OPTIMAL,-0.09808955614167375,OPTIMAL,-0.05540836478942951
ABCD3,OPTIMAL,-0.29805042872740045,OPTIMAL,4.1183728058481794e-08
ABCD4,OPTIMAL,-0.2341718262224217,OPTIMAL,-0.08708841488629089
ABCE1,OPTIMAL,1.7814304743766526e-08,OPTIMAL,-0.0048641490283658105
ABCF1,OPTIMAL,-0.14707942655252548,OPTIMAL,2.6722348826009154e-08
ABCF2,OPTIMAL,-0.15006604740530557,OPTIMAL,6.613822876233729e-08
ABCF3,CUT_LIMIT,,OPTIMAL,-0.049571984479619365
ABCG1,OPTIMAL,-0.8502621446547609,TIME_LIMIT,
ABHD10,OPTIMAL,-0.3300282362652718,OPTIMAL,-0.035455887067122015
ABHD11,CUT_LIMIT,,OPTIMAL,-4.062873217246975e-08
ABHD12,OPTIMAL,-0.18120988167064117,OPTIMAL,-0.16774276004552896
ABHD13,OPTIMAL,-0.08769516373811886,OPTIMAL,-0.07468283506158005
ABHD14B,OPTIMAL,-0.17668177322402592,OPTIMAL,-0.14476463529599248
ABHD15,OPTIMAL,-0.15231457226614187,OPTIMAL,-0.08825495587574686
ABHD17A,OPTIMAL,-0.09675642088173332,OPTIMAL,5.430979202102973e-08
ABHD17B,OPTIMAL,-4.995772248673284e-08,OPTIMAL,-0.039190390130546454
ABHD17C,OPTIMAL,-0.1092111117528386,OPTIMAL,-0.1021228996139805
ABHD2,OPTIMAL,-0.1487738350396347,OPTIMAL,-0.13197697769431768
ABHD3,OPTIMAL,-0.09958802715024707,OPTIMAL,-0.1063648054212281
ABHD4,CUT_LIMIT,,CUT_LIMIT,
ABHD5,OPTIMAL,-0.11983541016069486,OPTIMAL,-0.05001213267633948
ABI1,OPTIMAL,-0.1756426432938845,OPTIMAL,-0.29705908525482055
ABI2,OPTIMAL,9.008663265859973e-09,OPTIMAL,3.220823967259522e-08
ABI3BP,OPTIMAL,-1.5115339549662274e-08,TIME_LIMIT,
ABL1,OPTIMAL,-0.13758484318971534,OPTIMAL,-0.21560154467926554
ABL2,OPTIMAL,-0.9988552083619043,OPTIMAL,2.7182112990311946e-08
ABLIM3,OPTIMAL,-0.32186310660597495,OPTIMAL,-0.3786994929383457
ABR,CUT_LIMIT,,CUT_LIMIT,
ABRACL,OPTIMAL,-0.22171062210283676,OPTIMAL,3.671476520203792e-08
ABT1,CUT_LIMIT,,OPTIMAL,-0.08963182259681354
ABTB1,OPTIMAL,-0.12410569770774824,OPTIMAL,-0.0857539857366165
ACAA1,OPTIMAL,-0.1983101585069646,OPTIMAL,-0.156503273888037
ACAA2,CUT_LIMIT,,OPTIMAL,-0.13730317731590166
ACACA,OPTIMAL,-0.0916584177693385,OPTIMAL,-0.20592573275993767
ACAD8,OPTIMAL,-0.17178200690167042,OPTIMAL,-0.09736402569272953
ACAD9,OPTIMAL,-2.7591794157708843e-08,CUT_LIMIT,
ACADM,OPTIMAL,-0.14198958216260116,OPTIMAL,-0.10122892439082264
ACADS,OPTIMAL,-0.29852370821590435,OPTIMAL,-1.3253981024324324e-07
ACADSB,OPTIMAL,-0.15293207082501512,OPTIMAL,-0.1483840353374842
ACADVL,OPTIMAL,-0.11801266179591288,OPTIMAL,-0.06760710905372543
ACAP1,OPTIMAL,-0.21472676421455902,CUT_LIMIT,
ACAP2,OPTIMAL,-0.9965993625135384,OPTIMAL,8.840710405116057e-09
ACAT1,OPTIMAL,-0.13019591963729615,OPTIMAL,1.2921762057762083e-08
ACAT2,OPTIMAL,7.05086615139846e-15,OPTIMAL,-0.1063626496996636
ACBD3,OPTIMAL,-0.2065645630695194,OPTIMAL,-0.12953518012631035
ACBD5,OPTIMAL,-0.2897437654002575,OPTIMAL,-0.090873500414318
ACBD6,OPTIMAL,-0.14219721326550225,OPTIMAL,-0.07995913200488228
ACD,OPTIMAL,-0.09280841249732001,OPTIMAL,-3.6159855616541615e-08
ACER3,OPTIMAL,-0.14847638730121795,OPTIMAL,-0.13259203855460425
ACIN1,OPTIMAL,-0.2617910307568302,OPTIMAL,-0.1856715061454355
ACLY,OPTIMAL,-0.23570026376802422,TIME_LIMIT,
ACO1,OPTIMAL,9.304080639736065e-09,OPTIMAL,2.175950376749669e-08
ACO2,OPTIMAL,-0.12720394136378504,OPTIMAL,-0.06683971996803441
ACOT1,OPTIMAL,-0.5616917482565538,OPTIMAL,3.6505949501119716e-08
ACOT13,OPTIMAL,-0.2019189231940154,OPTIMAL,5.0229807518911384e-08
ACOT2,OPTIMAL,-0.12550767619766656,OPTIMAL,-0.04880109177472629
ACOT7,OPTIMAL,-0.20329004960112135,OPTIMAL,-0.11602626975382821
ACOT8,OPTIMAL,-0.15188446162199257,OPTIMAL,-0.08046062593127996
ACOT9,OPTIMAL,-0.21123492736831687,OPTIMAL,-0.17293844190827296
ACOX1,OPTIMAL,-0.15606627350079091,OPTIMAL,-0.21954404938665034
ACOX3,OPTIMAL,-6.394447661745918e-11,OPTIMAL,-0.05507481334248838
ACP1,OPTIMAL,-0.17695910527580766,OPTIMAL,-0.2529392158163612
ACP2,OPTIMAL,-0.19640132390135018,OPTIMAL,-3.537556049686013e-08
ACP6,OPTIMAL,-0.10619958843089398,OPTIMAL,-0.06247365452100537
