,outlier_rho,outlier_p1,outlier_p2,outlier_lb,outlier_ub,counts_rho,counts_p1,counts_p2,counts_lb,counts_ub,concentrations_rho,concentrations_p1,concentrations_p2,concentrations_lb,concentrations_ub,counts_c95_lb,counts_c95_ub,counts_c50_lb,counts_c50_ub,counts_c25_lb,counts_c25_ub
A4GALT,0.0005460758798476878,0.5036159157681259,0.992768168463747,-0.03533709447022875,0.0993986966895253,0.01734400149220996,0.6130885460550556,0.7738229078898883,-0.031419018939098056,0.13613517907588868,0.13041320420789132,0.984995390274987,0.030009219450026207,-0.04852056241481666,0.38683296059225614,-0.03668044825434658,0.13988014046283184,-0.009875046450726425,0.044487608911198004,0.00703889745286645,0.037915960933856976
AAAS,0.7234909297663311,1.0,2.5152729130254788e-46,0.0005509411457667989,0.9132416193561458,0.06778759988545108,0.8695788506933415,0.26084229861331704,-0.016210017663943383,0.22752639822298146,0.14489759186776288,0.9920982290549493,0.015803541890101563,-0.031077519842801007,0.33974411681743677,-0.030349167538220968,0.2278816484511797,0.03807733210570032,0.11883116526328125,0.05323531818894043,0.08448566351596043
AACS,0.07163188679840314,0.8830732146746039,0.23385357065079218,-0.02391934875217972,0.28648255368127007,0.1477753454200651,0.9930894776974957,0.013821044605008584,-0.01015722668610315,0.35574417423268784,0.08022524975262643,0.9084586541199077,0.18308269176018444,-0.04525384354999501,0.22386130997241638,-0.0053154900601441995,0.37371756655479865,0.0874088829815175,0.21000032617229533,0.10644356824918974,0.1737614260205506
AADAT,0.7130617372931194,1.0,1.8278969855480228e-44,-0.05941336624414666,0.899922115022134,-0.027419514892137162,0.3247800163574438,0.6495600327148863,-0.08049860053265846,0.06696205500455417,0.05052118526946493,0.798864663804142,0.4022706723917158,-0.09938112239087893,0.281765414245903,-0.07308094331316393,0.06879384381244683,-0.048568715795619326,-0.002570764175509946,-0.043640318211326766,-0.018562724503481516
AAGAB,0.10964072084523538,0.966025583048115,0.06794883390376966,-0.07518693605643746,0.44022541997866227,0.2093098266389324,0.9997732178007268,0.0004535643985464872,-0.08303875987612805,0.4656340287889035,0.026773851066969813,0.6713594764045757,0.6572810471908472,-0.07898891176241656,0.1487310793616793,-0.07972958545832418,0.4460479986961473,-0.023329900759843217,0.29890454841332187,0.11681768521506723,0.2211365386930495
AAK1,0.7809679889464709,1.0,2.333761969726884e-58,-0.034964341123658496,0.9508613940047568,0.03776538853760508,0.7343170733389857,0.5313658533220296,-0.05913055419281386,0.16654903463438195,-0.050325296931006624,0.20205002962096238,0.4041000592419253,-0.1302938823780889,0.03509770597613654,-0.061481583497471334,0.18845297859833354,-0.014979363687870902,0.07203981746289416,0.01186957799689689,0.05741258780527897
AAMDC,-0.05330247508750871,0.18798258397006415,0.37596516794013424,-0.1023787478435878,0.0187979835413264,-0.04011293433088259,0.25306971139204165,0.5061394227840832,-0.10138844215489635,0.06120427447801397,-0.0818654558091499,0.08713146778945373,0.17426293557890957,-0.15196381777300666,0.013431737628348518,-0.1004451308786924,0.056177562208290316,-0.0660443172506031,-0.010752982825844973,-0.050652953214287,-0.02559412744435178
AAMP,0.04143708478200775,0.7542978165526293,0.4914043668947413,-0.04939026586360217,0.20968744175065882,0.10877018457649126,0.9646560051189346,0.07068798976213121,-0.03477688946058702,0.2487954635419497,0.022773169074857973,0.6470454963005714,0.7059090073988575,-0.08296615186259045,0.14987018530718174,-0.02457193184502323,0.23095687297466067,0.0681529996850672,0.15200060775763707,0.08984280530347544,0.1278475348644382
AAR2,0.03446340073255886,0.7164069768259194,0.5671860463481618,-0.0722476131759136,0.22161914163374385,0.08868111657756546,0.929513269176643,0.1409734616467145,-0.08520067349477672,0.2922942298004716,-0.01946200776702024,0.3735452368020404,0.7470904736040809,-0.08973608673400427,0.0818193062090456,-0.08482733600945097,0.2870475874041103,-0.027486521144516406,0.13944608308833661,0.04851110342099094,0.1167037361001595
AARS2,-0.05265885195578968,0.19088232113785694,0.3817646422757128,-0.08161276225886936,-0.03923562275956081,-0.06151702095798477,0.15382061506910455,0.30764123013820904,-0.091358073654115,-0.0402979041841645,-0.08074159676250384,0.0901356984075392,0.18027139681507962,-0.10483454157774981,-0.05055297912567318,-0.08643328079147888,-0.041541479098364885,-0.07233727512364661,-0.05651353803475915,-0.06826015006773775,-0.0605314459772171
