,counts_d2_c95,counts_d3_c95,counts_d4_c95,outlier_d2_c95,outlier_d3_c95,outlier_d4_c95,counts_d4_c50,counts_d4_c25
A4GALT,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
AAAS,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
AACS,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
AADAT,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
AAGAB,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
AAK1,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,CUT_LIMIT,INFEASIBLE
AAMDC,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE
AAMP,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
AAR2,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
AARS2,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE
AASDH,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
AASDHPPT,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
AASS,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
AATF,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
ABCA1,OPTIMAL,OPTIMAL,INFEASIBLE,OPTIMAL,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE
ABCA5,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
ABCA6,OPTIMAL,INFEASIBLE,INFEASIBLE,OPTIMAL,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE
ABCB10,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
ABCB7,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
ABCB8,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
ABCC1,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
