,counts_d3_c95_status,counts_d3_c95_correlation,counts_d4_c95_status,counts_d4_c95_correlation,counts_d3_c50_status,counts_d3_c50_correlation
A4GALT,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AAAS,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AACS,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AADAT,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AAGAB,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AAK1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AAMDC,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AAMP,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AAR2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AARS2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AASDH,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AASDHPPT,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AASS,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AATF,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABCA1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABCA5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABCA6,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABCB10,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABCB7,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABCB8,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABCC1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABCC10,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABCC3,OPTIMAL,-0.2153023314908005,OPTIMAL,-0.2943883987356835,INFEASIBLE,
ABCC4,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABCC5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABCD1,OPTIMAL,-0.610285413406224,OPTIMAL,-0.4685478866881117,INFEASIBLE,
ABCD3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABCD4,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABCE1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABCF1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABCF2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABCF3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABCG1,OPTIMAL,6.655370859955097e-09,OPTIMAL,0.0,INFEASIBLE,
ABHD10,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABHD11,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABHD12,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABHD13,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABHD14B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABHD15,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABHD17A,OPTIMAL,-0.2665166044261058,OPTIMAL,-0.4209415254491427,INFEASIBLE,
ABHD17B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABHD17C,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABHD2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABHD3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABHD4,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABHD5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABI1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABI2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABI3BP,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABL1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABL2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABLIM3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABR,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABRACL,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABT1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ABTB1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACAA1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACAA2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACACA,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACAD8,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACAD9,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACADM,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACADS,OPTIMAL,-0.0630171511836252,INFEASIBLE,,INFEASIBLE,
ACADSB,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACADVL,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACAP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACAP2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACAT1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACAT2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACBD3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACBD5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACBD6,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACD,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACER3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACIN1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACLY,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACO1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACO2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACOT1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACOT13,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACOT2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACOT7,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACOT8,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACOT9,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACOX1,OPTIMAL,-0.2230675173414281,INFEASIBLE,,INFEASIBLE,
ACOX3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACP2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACP6,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACSF3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACSL1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACSL3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACSL4,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACSS2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACSS3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACTA2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACTB,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACTG1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACTL6A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACTN1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACTN4,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACTR10,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACTR1A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACTR1B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACTR2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACTR3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACTR5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACTR6,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACTR8,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACVR1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACVR1B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACVR2A,OPTIMAL,5.536944793165291e-09,OPTIMAL,-0.1889314869124039,INFEASIBLE,
ACVRL1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACYP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACYP2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADA,OPTIMAL,-6.497321142332517e-09,OPTIMAL,-0.4010885041980369,INFEASIBLE,
ADAL,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADAM10,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADAM12,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADAM15,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADAM17,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADAM22,OPTIMAL,9.438523165302294e-10,OPTIMAL,2.8514910388580363e-08,OPTIMAL,1.28265484292716e-09
ADAM33,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADAM9,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADAMTS1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADAMTS12,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADAMTS2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADAMTS4,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADAMTS6,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADAMTSL1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADAR,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
