,counts_d4_c95_status,counts_d4_c95_correlation,counts_d4_c50_status,counts_d4_c50_correlation,counts_d4_c25_status,counts_d4_c25_correlation
A4GALT,OPTIMAL,-0.0533170646006774,OPTIMAL,-0.01785658877985047,OPTIMAL,-0.021857287556443113
AAAS,OPTIMAL,-0.40833107302015537,CUT_LIMIT,,OPTIMAL,-0.0015514832195398609
AACS,OPTIMAL,0.5196253296354725,OPTIMAL,0.12771793364369102,OPTIMAL,0.13140786007434022
AADAT,OPTIMAL,-0.14643008997092727,OPTIMAL,-0.06042947214738925,OPTIMAL,-0.08833458533270604
AAGAB,OPTIMAL,0.9999894038891067,OPTIMAL,0.3878927217705401,OPTIMAL,0.23046285280871004
AAK1,OPTIMAL,0.004394442551820145,CUT_LIMIT,,CUT_LIMIT,
AAMDC,OPTIMAL,-0.43625810939483706,OPTIMAL,-0.09279485459148884,OPTIMAL,-0.11552628777043253
AAMP,OPTIMAL,-0.3252112316202303,OPTIMAL,0.06317975148485278,CUT_LIMIT,
AAR2,OPTIMAL,0.11733077165175738,OPTIMAL,0.041403135215816816,OPTIMAL,0.021221284210682968
AARS2,OPTIMAL,-0.12596355625942526,OPTIMAL,-0.08178509318593352,CUT_LIMIT,
AASDH,OPTIMAL,0.03945291159684567,OPTIMAL,0.16585028503401647,OPTIMAL,0.09837995912711006
AASDHPPT,OPTIMAL,0.06300949897927488,OPTIMAL,0.04924794416629493,OPTIMAL,0.07124385674900831
AASS,OPTIMAL,0.1374249043416766,OPTIMAL,0.08277478877714167,OPTIMAL,0.027447218384927675
AATF,OPTIMAL,-0.08355819691509915,OPTIMAL,-0.08868838729907709,OPTIMAL,-0.12395050042317103
ABCA1,OPTIMAL,-0.12322571707782387,OPTIMAL,-0.06519622164570459,OPTIMAL,-0.06772566575263646
ABCA5,CUT_LIMIT,,OPTIMAL,0.014641512015792927,OPTIMAL,-0.0026325185115504642
ABCA6,OPTIMAL,-0.08098631385893283,OPTIMAL,-0.047554913599446046,OPTIMAL,-0.053505435737657855
ABCB10,OPTIMAL,0.10318637706778021,OPTIMAL,-0.024093252515498768,OPTIMAL,-0.04452362705889353
ABCB7,OPTIMAL,-0.03704716480496298,OPTIMAL,-0.00935928127472636,OPTIMAL,-0.03140442362676281
ABCB8,OPTIMAL,-0.06770662802308355,OPTIMAL,0.19138698933626846,OPTIMAL,0.13023740530004602
ABCC1,OPTIMAL,0.1786444740108958,OPTIMAL,0.14839093875677828,OPTIMAL,0.2072561250806055
ABCC10,OPTIMAL,-0.33720602883049244,OPTIMAL,-0.06948294369986578,OPTIMAL,-0.06830312561431008
ABCC3,OPTIMAL,-0.3577002280913192,OPTIMAL,-0.06435138471664523,INFEASIBLE,
ABCC4,OPTIMAL,-0.27675565481912817,OPTIMAL,0.06338607737101869,CUT_LIMIT,
ABCC5,OPTIMAL,0.0237736197542737,OPTIMAL,-0.029644747134020797,OPTIMAL,-0.00853978893182919
ABCD1,OPTIMAL,-1.0000009597389625,OPTIMAL,-0.04034261239754013,OPTIMAL,-0.03392683529794907
ABCD3,OPTIMAL,-0.12256352620567136,OPTIMAL,0.036384289295629216,OPTIMAL,0.004985777279114522
ABCD4,OPTIMAL,0.30660478673508906,OPTIMAL,0.32730783784077216,OPTIMAL,0.0878394365111415
ABCE1,CUT_LIMIT,,OPTIMAL,-0.302298976998141,OPTIMAL,-0.036423611763079386
ABCF1,OPTIMAL,0.06899752699898923,CUT_LIMIT,,OPTIMAL,-0.056845988501779875
ABCF2,OPTIMAL,-0.3665605111729342,OPTIMAL,-0.04183451044934997,OPTIMAL,-0.060564285476017644
ABCF3,OPTIMAL,-0.15525573449603583,OPTIMAL,-0.019272788776969862,OPTIMAL,-0.015716843621447363
ABCG1,OPTIMAL,-0.3621308644525553,CUT_LIMIT,,INFEASIBLE,
ABHD10,OPTIMAL,-0.020195181140274892,OPTIMAL,-0.030472397424381667,OPTIMAL,0.017964396658997274
ABHD11,OPTIMAL,0.2738731592127951,OPTIMAL,0.24784245866431964,OPTIMAL,0.13993929186721435
ABHD12,OPTIMAL,-0.6712992693991799,OPTIMAL,-0.15890789837766744,CUT_LIMIT,
ABHD13,OPTIMAL,-0.10447348594860964,OPTIMAL,-0.08423941112774593,OPTIMAL,-0.06489145399239532
ABHD14B,OPTIMAL,-0.16155842074910334,OPTIMAL,-0.11156293071524012,OPTIMAL,-0.11547064205583947
ABHD15,OPTIMAL,-0.12854506358060824,OPTIMAL,-0.06151621677116217,OPTIMAL,-0.05412781696701538
ABHD17A,OPTIMAL,-0.018293080665136744,OPTIMAL,-0.06363253910080972,OPTIMAL,-0.00878461368380769
ABHD17B,OPTIMAL,-0.9196105511051764,OPTIMAL,0.13488040150885397,OPTIMAL,0.05634219578150247
ABHD17C,OPTIMAL,-0.35570832259734425,OPTIMAL,-0.06409416757507246,OPTIMAL,-0.0795525543206454
ABHD2,OPTIMAL,-0.3838288492325213,OPTIMAL,-0.07541923854834044,OPTIMAL,-0.08656141387945948
ABHD3,OPTIMAL,-0.09074279433057492,OPTIMAL,-0.07311367679557394,OPTIMAL,-0.06834807519072747
ABHD4,OPTIMAL,-0.7456376302380309,OPTIMAL,-0.07578240119742036,OPTIMAL,-0.06911997509112097
ABHD5,OPTIMAL,-0.35741370261859245,OPTIMAL,0.058161479495184146,OPTIMAL,0.031068570217378653
ABI1,OPTIMAL,-0.5449045345035914,OPTIMAL,-0.10095637493159954,OPTIMAL,-0.08724384550241943
ABI2,OPTIMAL,0.05930577473790941,CUT_LIMIT,,CUT_LIMIT,
ABI3BP,CUT_LIMIT,,OPTIMAL,0.22017323365988323,OPTIMAL,0.15266763860926555
ABL1,OPTIMAL,-0.27913471724459543,OPTIMAL,-0.09084520903035707,OPTIMAL,-0.11453769275196261
ABL2,OPTIMAL,0.18876285797709133,CUT_LIMIT,,OPTIMAL,0.052636116213130975
ABLIM3,CUT_LIMIT,,CUT_LIMIT,,OPTIMAL,-0.048830322371776175
ABR,CUT_LIMIT,,CUT_LIMIT,,OPTIMAL,-0.03434988737574866
ABRACL,OPTIMAL,-0.307821031084613,OPTIMAL,-0.05601403475916327,OPTIMAL,-0.0653213954460098
ABT1,OPTIMAL,-0.0011834268922027106,OPTIMAL,0.0026676686158642743,OPTIMAL,0.005473239655276111
ABTB1,OPTIMAL,-0.48598098846872323,OPTIMAL,-0.04688748536473941,OPTIMAL,-0.06451741697708124
ACAA1,OPTIMAL,-0.13715892047012437,OPTIMAL,-0.10469295606461151,OPTIMAL,-0.11418325747105285
ACAA2,CUT_LIMIT,,OPTIMAL,-0.05598071987854588,OPTIMAL,-0.07709823078257734
ACACA,OPTIMAL,-0.9025097336593296,OPTIMAL,-0.07498690708638808,OPTIMAL,-0.10156931800472853
ACAD8,OPTIMAL,-0.08663758959805337,OPTIMAL,-0.04325941498091659,OPTIMAL,-0.059433529165135134
ACAD9,OPTIMAL,-0.22601615671408165,OPTIMAL,0.2514349518720855,OPTIMAL,0.11617579126837749
ACADM,OPTIMAL,-0.013765004808224146,OPTIMAL,0.016449517462674937,OPTIMAL,-0.015426437850495075
ACADS,OPTIMAL,-0.1417045555485558,OPTIMAL,-0.02480568540922781,OPTIMAL,-0.007307807473873031
ACADSB,OPTIMAL,-0.16792025308108646,OPTIMAL,-0.05653539338026694,OPTIMAL,-0.1250532726451182
ACADVL,OPTIMAL,0.6131125163572457,OPTIMAL,-0.001668407237216758,OPTIMAL,-0.006781006898746937
ACAP1,CUT_LIMIT,,OPTIMAL,0.042431267764887204,OPTIMAL,0.07565403696893877
ACAP2,OPTIMAL,-0.2511641923217096,OPTIMAL,-0.18190249783970885,CUT_LIMIT,
ACAT1,CUT_LIMIT,,CUT_LIMIT,,OPTIMAL,0.01576305431760794
