,counts_d3_c95_status,counts_d3_c95_correlation,counts_d3_c50_status,counts_d3_c50_correlation
A4GALT,OPTIMAL,-0.15868072133983438,INFEASIBLE,
AAAS,INFEASIBLE,,INFEASIBLE,
AACS,INFEASIBLE,,INFEASIBLE,
AADAT,OPTIMAL,-0.21837879578621328,INFEASIBLE,
AAGAB,OPTIMAL,-2.758990468435191e-07,INFEASIBLE,
AAK1,INFEASIBLE,,INFEASIBLE,
AAMDC,INFEASIBLE,,INFEASIBLE,
AAMP,INFEASIBLE,,INFEASIBLE,
AAR2,INFEASIBLE,,INFEASIBLE,
AARS2,OPTIMAL,-0.39497618643572174,INFEASIBLE,
AASDH,OPTIMAL,7.493935016910293e-09,INFEASIBLE,
AASDHPPT,OPTIMAL,3.2198871880702955e-08,INFEASIBLE,
AASS,OPTIMAL,6.663467972055738e-09,INFEASIBLE,
AATF,INFEASIBLE,,INFEASIBLE,
ABCA1,OPTIMAL,-0.1871957323698328,OPTIMAL,-0.11614131238991184
ABCA5,OPTIMAL,-2.7556079891197345e-08,INFEASIBLE,
ABCA6,OPTIMAL,-0.30805821678281475,INFEASIBLE,
ABCB10,OPTIMAL,3.0339890774443363e-07,INFEASIBLE,
ABCB7,OPTIMAL,6.850664167037715e-08,INFEASIBLE,
ABCB8,OPTIMAL,-2.774657192259738e-09,INFEASIBLE,
ABCC1,OPTIMAL,-1.9906313668748308e-16,INFEASIBLE,
ABCC10,OPTIMAL,-0.3285882747545939,INFEASIBLE,
ABCC3,OPTIMAL,-0.16052716804119468,INFEASIBLE,
ABCC4,OPTIMAL,2.7818902291522686e-07,INFEASIBLE,
ABCC5,OPTIMAL,4.7114908661836233e-08,INFEASIBLE,
ABCD1,OPTIMAL,-0.27653830561693526,OPTIMAL,-0.14224781008550166
ABCD3,INFEASIBLE,,INFEASIBLE,
ABCD4,OPTIMAL,-0.065312634246993,INFEASIBLE,
ABCE1,INFEASIBLE,,INFEASIBLE,
ABCF1,INFEASIBLE,,INFEASIBLE,
ABCF2,INFEASIBLE,,INFEASIBLE,
ABCF3,INFEASIBLE,,INFEASIBLE,
ABCG1,OPTIMAL,6.550885259686406e-08,TIME_LIMIT,
ABHD10,INFEASIBLE,,INFEASIBLE,
ABHD11,INFEASIBLE,,INFEASIBLE,
ABHD12,INFEASIBLE,,INFEASIBLE,
ABHD13,OPTIMAL,-0.23399567342606473,INFEASIBLE,
ABHD14B,INFEASIBLE,,INFEASIBLE,
ABHD15,OPTIMAL,-0.233460634715293,INFEASIBLE,
ABHD17A,OPTIMAL,-0.19955978843522326,OPTIMAL,1.8656750779694137e-07
ABHD17B,OPTIMAL,-2.0176895900046185e-09,INFEASIBLE,
ABHD17C,OPTIMAL,-0.366696671060051,INFEASIBLE,
ABHD2,INFEASIBLE,,INFEASIBLE,
ABHD3,OPTIMAL,-0.42184048551667463,INFEASIBLE,
ABHD4,OPTIMAL,-0.36988268119453865,CUT_LIMIT,
ABHD5,OPTIMAL,3.3837990649266595e-08,INFEASIBLE,
ABI1,INFEASIBLE,,INFEASIBLE,
ABI2,INFEASIBLE,,INFEASIBLE,
ABI3BP,INFEASIBLE,,INFEASIBLE,
ABL1,INFEASIBLE,,INFEASIBLE,
ABL2,INFEASIBLE,,INFEASIBLE,
ABLIM3,INFEASIBLE,,INFEASIBLE,
ABR,INFEASIBLE,,INFEASIBLE,
ABRACL,INFEASIBLE,,INFEASIBLE,
ABT1,OPTIMAL,8.652431037278164e-08,INFEASIBLE,
ABTB1,OPTIMAL,-0.25177572310433294,OPTIMAL,-0.11349850418725936
ACAA1,OPTIMAL,-0.42910423124009106,OPTIMAL,-0.24182985896079326
ACAA2,INFEASIBLE,,INFEASIBLE,
ACACA,INFEASIBLE,,INFEASIBLE,
ACAD8,OPTIMAL,-0.20670712202582348,INFEASIBLE,
ACAD9,INFEASIBLE,,INFEASIBLE,
ACADM,OPTIMAL,6.851052488209885e-08,INFEASIBLE,
ACADS,OPTIMAL,-0.17386981258246617,INFEASIBLE,
ACADSB,OPTIMAL,-0.316619100732505,INFEASIBLE,
ACADVL,INFEASIBLE,,INFEASIBLE,
ACAP1,OPTIMAL,1.6025187812320997e-08,INFEASIBLE,
ACAP2,INFEASIBLE,,INFEASIBLE,
ACAT1,INFEASIBLE,,INFEASIBLE,
ACAT2,INFEASIBLE,,INFEASIBLE,
ACBD3,INFEASIBLE,,INFEASIBLE,
ACBD5,OPTIMAL,1.2374870128627652e-06,INFEASIBLE,
ACBD6,INFEASIBLE,,INFEASIBLE,
ACD,INFEASIBLE,,INFEASIBLE,
ACER3,OPTIMAL,-0.3341536555050587,INFEASIBLE,
ACIN1,INFEASIBLE,,INFEASIBLE,
ACLY,INFEASIBLE,,INFEASIBLE,
ACO1,INFEASIBLE,,INFEASIBLE,
ACO2,OPTIMAL,-0.21196574253858635,INFEASIBLE,
ACOT1,OPTIMAL,3.443816583922857e-08,INFEASIBLE,
ACOT13,INFEASIBLE,,INFEASIBLE,
ACOT2,OPTIMAL,6.25338500209738e-08,INFEASIBLE,
ACOT7,INFEASIBLE,,INFEASIBLE,
ACOT8,OPTIMAL,-0.24952602400000456,INFEASIBLE,
ACOT9,INFEASIBLE,,INFEASIBLE,
ACOX1,OPTIMAL,-0.4000672566161764,INFEASIBLE,
ACOX3,OPTIMAL,-0.13244997045207665,INFEASIBLE,
ACP1,INFEASIBLE,,INFEASIBLE,
ACP2,OPTIMAL,5.812301853422029e-08,INFEASIBLE,
ACP6,OPTIMAL,-0.16812742008089088,INFEASIBLE,
ACSF3,OPTIMAL,-0.19342995421269932,INFEASIBLE,
ACSL1,OPTIMAL,8.393069123161911e-08,INFEASIBLE,
ACSL3,INFEASIBLE,,INFEASIBLE,
ACSL4,INFEASIBLE,,INFEASIBLE,
ACSS2,INFEASIBLE,,INFEASIBLE,
ACSS3,OPTIMAL,-0.21593644730137213,INFEASIBLE,
ACTA2,OPTIMAL,-0.29327057977428994,INFEASIBLE,
ACTB,INFEASIBLE,,INFEASIBLE,
ACTG1,INFEASIBLE,,INFEASIBLE,
ACTL6A,INFEASIBLE,,INFEASIBLE,
ACTN1,INFEASIBLE,,INFEASIBLE,
ACTN4,INFEASIBLE,,INFEASIBLE,
ACTR10,INFEASIBLE,,INFEASIBLE,
ACTR1A,INFEASIBLE,,INFEASIBLE,
ACTR1B,INFEASIBLE,,INFEASIBLE,
ACTR2,INFEASIBLE,,INFEASIBLE,
ACTR3,INFEASIBLE,,INFEASIBLE,
ACTR5,OPTIMAL,-0.335588780603014,INFEASIBLE,
ACTR6,OPTIMAL,-0.4802633112313103,INFEASIBLE,
ACTR8,INFEASIBLE,,INFEASIBLE,
ACVR1,OPTIMAL,-0.4471696528052743,INFEASIBLE,
ACVR1B,OPTIMAL,-6.428187825124372e-09,OPTIMAL,-1.1967883804185496e-06
ACVR2A,OPTIMAL,2.9565912495863612e-08,OPTIMAL,7.275090979869474e-07
ACVRL1,INFEASIBLE,,INFEASIBLE,
ACYP1,INFEASIBLE,,INFEASIBLE,
ACYP2,INFEASIBLE,,INFEASIBLE,
ADA,OPTIMAL,-2.1798578480705256e-07,OPTIMAL,-5.520619133509503e-07
ADAL,OPTIMAL,-0.012457193099538614,INFEASIBLE,
ADAM10,INFEASIBLE,,INFEASIBLE,
ADAM12,INFEASIBLE,,INFEASIBLE,
ADAM15,INFEASIBLE,,INFEASIBLE,
ADAM17,OPTIMAL,-0.33576474315275734,INFEASIBLE,
ADAM22,OPTIMAL,3.034729129366414e-08,OPTIMAL,3.8768929450453725e-08
ADAM33,INFEASIBLE,,INFEASIBLE,
ADAM9,INFEASIBLE,,INFEASIBLE,
ADAMTS1,INFEASIBLE,,INFEASIBLE,
ADAMTS12,OPTIMAL,-0.05643697092451937,INFEASIBLE,
ADAMTS2,OPTIMAL,-1.168599391376858e-08,INFEASIBLE,
ADAMTS4,OPTIMAL,-0.16525343713935578,OPTIMAL,-0.08571483459417877
ADAMTS6,OPTIMAL,9.772337269870727e-08,INFEASIBLE,
ADAMTSL1,INFEASIBLE,,INFEASIBLE,
ADAR,INFEASIBLE,,INFEASIBLE,
ADARB1,OPTIMAL,-0.3916315858420825,INFEASIBLE,
ADAT1,INFEASIBLE,,INFEASIBLE,
ADAT2,OPTIMAL,-0.16659083553937093,OPTIMAL,-0.010231355405467327
ADCK2,OPTIMAL,-0.21755084259261012,INFEASIBLE,
ADCK5,OPTIMAL,-0.37652310550821527,OPTIMAL,-0.22439922611505775
ADCY3,OPTIMAL,-0.31827946834825044,INFEASIBLE,
ADCY7,OPTIMAL,-0.4549096775249882,INFEASIBLE,
ADCY9,OPTIMAL,-0.23890836603107896,CUT_LIMIT,
ADD1,INFEASIBLE,,INFEASIBLE,
ADD3,OPTIMAL,1.0282685293819494e-07,INFEASIBLE,
ADGRA2,OPTIMAL,-0.357135943020781,INFEASIBLE,
ADGRA3,OPTIMAL,-0.27767199064509446,INFEASIBLE,
ADGRE5,INFEASIBLE,,INFEASIBLE,
ADGRG2,OPTIMAL,-0.3999136398902373,OPTIMAL,-0.25163662365951484
ADGRL2,INFEASIBLE,,INFEASIBLE,
