,Target,Score,Interaction,Expression
7SK,False,,False,12.017985611510792
A1BG-AS1,False,,False,0.014388489208633094
A1CF,False,,False,0.017985611510791366
A2M,False,,False,0.01079136690647482
A2ML1,False,,False,0.03237410071942446
A2ML1-AS1,False,,False,0.0035971223021582736
A4GALT,False,,False,1.6007194244604317
A4GNT,False,,False,0.007194244604316547
AAAS,False,,False,10.852517985611511
AACS,False,,False,5.255395683453237
AACSP1,False,,False,0.0035971223021582736
AADAC,False,,False,0.007194244604316547
AADACL2,False,,False,0.0035971223021582736
AADACL3,False,,True,0.014388489208633094
AADACL4,False,,False,0.0035971223021582736
AADACP1,False,,False,0.007194244604316547
AADAT,False,,False,3.316546762589928
AAED1,False,,False,8.010791366906474
AAGAB,False,,False,5.129496402877698
AAK1,False,,False,44.485611510791365
AAMDC,False,,False,14.29136690647482
AAMP,False,,False,10.413669064748202
AANAT,False,,False,0.0035971223021582736
AAR2,False,,False,7.305755395683454
AARD,False,,False,0.017985611510791366
AARS,False,,False,39.05395683453237
AARS2,False,,True,3.694244604316547
AARSD1,False,,False,0.3345323741007194
AASDH,False,,False,2.115107913669065
AASDHPPT,False,,False,4.456834532374101
AASS,False,,False,2.5719424460431655
AATBC,False,,True,0.11510791366906475
AATF,False,,False,24.010791366906474
AATK,False,,False,0.05755395683453238
AATK-AS1,False,,False,0.02158273381294964
AB019441.29,False,,False,21.676258992805757
ABALON,False,,False,0.2733812949640288
ABAT,False,,False,0.17266187050359713
ABCA1,False,,False,1.3345323741007193
ABCA10,False,,False,0.06115107913669065
ABCA11P,False,,False,0.07194244604316546
ABCA12,False,,False,0.03237410071942446
ABCA13,False,,False,0.03237410071942446
ABCA17P,False,,False,0.36330935251798563
ABCA2,False,,False,0.39928057553956836
ABCA3,False,,False,0.935251798561151
ABCA4,False,,False,0.03597122302158273
ABCA5,False,,False,8.946043165467627
ABCA6,False,,False,1.4964028776978417
ABCA7,False,,False,0.10431654676258993
ABCA8,False,,False,0.10071942446043165
ABCA9,False,,True,0.0539568345323741
ABCA9-AS1,False,,False,0.007194244604316547
ABCB1,False,,False,0.1366906474820144
ABCB10,False,,False,4.971223021582734
ABCB10P1,False,,False,0.039568345323741004
ABCB10P3,False,,False,0.07194244604316546
ABCB10P4,False,,False,0.09712230215827339
ABCB11,False,,False,0.0035971223021582736
ABCB4,False,,True,0.3489208633093525
ABCB5,False,,False,0.02158273381294964
ABCB6,False,,True,0.3597122302158273
ABCB7,False,,False,3.5035971223021583
ABCB8,False,,False,4.273381294964029
ABCB9,False,,False,0.8561151079136691
ABCC1,False,,False,10.388489208633093
ABCC10,False,,True,1.816546762589928
ABCC11,False,,False,0.02877697841726619
ABCC12,False,,True,0.03237410071942446
ABCC13,False,,False,0.07553956834532374
ABCC2,False,,False,0.0539568345323741
ABCC3,False,,False,1.5035971223021583
ABCC4,False,,False,7.58273381294964
ABCC5,False,,False,3.4100719424460433
ABCC6,False,,True,0.3381294964028777
ABCC8,False,,False,0.36330935251798563
ABCC9,False,,False,0.22661870503597123
ABCD1,False,,False,1.10431654676259
ABCD1P2,False,,False,0.014388489208633094
ABCD1P5,False,,False,0.0035971223021582736
ABCD2,False,,False,0.014388489208633094
ABCD3,False,,False,6.892086330935252
ABCD4,False,,False,3.0107913669064748
ABCE1,False,,False,30.43884892086331
ABCF1,False,,False,35.74820143884892
ABCF2,False,,False,26.18345323741007
ABCF2P1,False,,True,0.1474820143884892
ABCF3,False,,False,12.741007194244604
ABCG1,False,,False,5.0647482014388485
ABCG2,False,,False,0.06115107913669065
ABCG4,False,,False,0.014388489208633094
ABCG5,False,,False,0.1223021582733813
ABHD1,False,,False,0.33093525179856115
ABHD10,False,,False,6.183453237410072
ABHD11,False,,False,17.298561151079138
ABHD11-AS1,False,,False,0.11870503597122302
ABHD12,False,,False,10.370503597122303
ABHD12B,False,,False,0.01079136690647482
ABHD13,False,,False,2.068345323741007
ABHD14A,False,,False,0.4352517985611511
ABHD14B,False,,False,11.733812949640289
ABHD15,False,,False,2.971223021582734
ABHD16A,False,,False,0.7086330935251799
ABHD17A,True,-0.27,False,1.330935251798561
ABHD17AP1,False,,False,0.1510791366906475
ABHD17AP3,False,,False,0.09352517985611511
ABHD17AP4,False,,False,0.13309352517985612
ABHD17AP5,False,,False,0.050359712230215826
ABHD17AP6,False,,False,0.2302158273381295
ABHD17B,False,,False,1.589928057553957
ABHD17C,False,,False,1.7302158273381294
ABHD2,False,,False,11.449640287769784
ABHD3,False,,False,3.676258992805755
ABHD4,False,,False,1.79136690647482
ABHD5,False,,False,3.841726618705036
ABHD6,False,,True,0.6151079136690647
ABHD8,False,,False,0.41007194244604317
ABI1,False,,False,7.672661870503597
ABI2,False,,False,19.08992805755396
ABI3,False,,False,0.5611510791366906
ABI3BP,False,,False,14.03956834532374
ABL1,False,,False,6.622302158273381
ABL2,False,,False,29.77338129496403
ABLIM1,False,,False,0.4136690647482014
ABLIM2,False,,False,0.0539568345323741
ABLIM3,False,,False,21.053956834532375
ABO,False,,False,0.007194244604316547
ABR,False,,False,9.201438848920864
