,k_tx_1,k_tx_2,k_deg_1,k_deg_2,k_reg
Gene-pair-0,15.130148581663374,0.18736204528683206,0.7659070536069097,0.4457150946440263,0
Gene-pair-1,30.110191485691818,0.67215320641509,0.2016851807585739,0.19760287547308064,0
Gene-pair-2,3.7370567007987416,0.36166489532345036,0.4007093939031867,0.5847075868171805,0
Gene-pair-3,0.40690740208607706,7.032858086178868,0.2650391040846715,0.19862324393996628,0
Gene-pair-4,23.584846381032822,1.97868602633195,0.15432661032218875,0.489890674778039,0
Gene-pair-5,4.027219072124871,2.9505653107534124,0.17894758584912834,0.6521457723251134,0
Gene-pair-6,2.4793557714778567,20.51625314642993,0.42421869110138183,0.7947234181589059,0
Gene-pair-7,0.4445810592294602,0.16970700502852706,0.14262494267965597,0.5112613260129587,0
Gene-pair-8,18.507013454618946,13.980631493823548,0.16670365346401236,0.1599394513658117,0
Gene-pair-9,16.7062970415521,1.6598793943437928,0.1113828716854621,0.45148055152686506,0
Gene-pair-10,0.14869011130785023,8.206188525252662,0.6834461274702978,0.16462679992133752,0
Gene-pair-11,3.3011774359199184,1.0393942410854653,0.41118648047874,0.17389541756867055,0
Gene-pair-12,0.14297717895113998,1.7338724573058446,0.9294294901917998,0.5471924139837131,0
Gene-pair-13,5.492528781346797,30.23440388044112,0.11675175222476589,0.3495836085160458,0
Gene-pair-14,0.4646145609288164,25.24645155974458,0.1400932872886275,0.5499269530503266,0
Gene-pair-15,0.17232258464473194,0.28915986564543084,0.19675319319673207,0.23570181871277276,0
Gene-pair-16,2.688269523183128,0.18054901877440996,0.39870027541977243,0.5352031320972609,0
Gene-pair-17,1.467290912139338,0.10020647484786809,0.44020095161308587,0.11676085262815698,0
Gene-pair-18,26.0335883918579,0.3864508102546555,0.10179739325660773,0.18332826073789008,0
Gene-pair-19,25.724975313506565,1.1255622307358086,0.18310532411299035,0.6587830208986736,0
Gene-pair-20,0.20621651752876047,7.108197755902557,0.1222144833448851,0.4524874816134381,0
Gene-pair-21,1.5714205408211772,23.65559295923102,0.11539557104347486,0.2113499238146906,0
Gene-pair-22,0.2685145788415027,5.317174409835071,0.1091977370854288,0.8695950279657269,0
Gene-pair-23,0.9052550178617469,22.652852851874414,0.17322885978270586,0.2940859579234638,0
Gene-pair-24,0.12662072330180107,9.270116727617078,0.45805046710102115,0.15803994170915567,0
Gene-pair-25,9.403377910246165,0.7562543182451212,0.11938856233684678,0.15087600227961992,0
Gene-pair-26,11.503029860528358,22.322868890780953,0.10319590819874187,0.1539954430602892,0
Gene-pair-27,1.864489936525619,21.642435877726527,0.2664512401982745,0.6621942657412151,0
Gene-pair-28,1.017760252088272,0.23179158425399307,0.24169079811638938,0.26985108913880623,0
Gene-pair-29,0.367317592881002,11.54483068314761,0.40895258878925117,0.26955091698870753,0
Gene-pair-30,0.35109263265362073,0.39123923623202783,0.9340863078503026,0.2520870640756247,0
Gene-pair-31,0.41783594112029826,0.22567727759480946,0.4201165411298751,0.6262958429392923,0
Gene-pair-32,1.3785703620746417,7.010678534191819,0.11275845017456618,0.16322958873528987,0
Gene-pair-33,0.29654237480004497,0.17698376261273085,0.6744831163537227,0.10218600966344368,0
Gene-pair-34,18.384691263817324,6.791413508449554,0.6959514129103747,0.6924797257237134,0
Gene-pair-35,0.31425879156935094,1.0428400543208856,0.45943617645368734,0.36732455063024855,0
Gene-pair-36,0.48932136577370333,0.39932913892137245,0.13383785731776138,0.6011420515182462,0
Gene-pair-37,23.827953250905335,0.32020848296348553,0.4959685506039528,0.5263326891751393,0
Gene-pair-38,14.28448194580735,29.688421568094736,0.14087278212621115,0.195754616448014,0
Gene-pair-39,4.303389331992789,0.23671933107516382,0.6178783029180966,0.3015819077562572,0
Gene-pair-40,4.046332066819875,0.3599051235507369,0.44752381964603655,0.1989512660297395,0
Gene-pair-41,4.853568419637835,0.6554329590780366,0.21360759291978482,0.9450276096011987,0
