Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
EPDR1	ENST00000423717.1	ependymin related 1 	84	1	1	0	0	1	0	0	1	0	hsa-miR-100-5p	0.0095	0.0677	0.3921	-0.85	-0.92	< 0.1	2009, 2011
AP1AR	ENST00000274000.5	adaptor-related protein complex 1 associated regulatory protein 	89	1	1	0	0	0	0	0	0	0	hsa-miR-99b-5p	0.0741	0.3740	0.8444	-0.82	-0.82	< 0.1	2005, 2007, 2009, 2011
ST6GALNAC4	ENST00000335791.5	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 4 	178	1	1	0	0	0	0	0	0	0	hsa-miR-99a-5p	0.0338	0.2047	0.6489	-0.82	-0.83	< 0.1	2011
NR1I3	ENST00000508387.1	nuclear receptor subfamily 1, group I, member 3 	5	0	0	0	0	1	1	0	0	0	hsa-miR-99a-5p	0.0171	0.1141	0.4872	-0.81	-0.81	< 0.1	NULL
TTC39A	ENST00000530004.1	tetratricopeptide repeat domain 39A 	174	1	1	0	0	0	0	0	0	1	hsa-miR-99a-5p	0.0360	0.2166	0.6799	-0.81	-0.87	< 0.1	2007, 2009, 2011
HS3ST2	ENST00000261374.3	heparan sulfate (glucosamine) 3-O-sulfotransferase 2 	5	1	1	0	0	0	0	0	0	0	hsa-miR-100-5p	0.0200	0.1313	0.5275	-0.76	-0.76	< 0.1	2005, 2007, 2009, 2011
VNN1	ENST00000367928.4	vanin 1 	5	0	0	0	0	1	1	0	0	0	hsa-miR-99a-5p	0.0338	0.2055	0.6565	-0.69	-0.69	< 0.1	NULL
BAZ2A	ENST00000379441.3	bromodomain adjacent to zinc finger domain, 2A 	48	2	1	1	0	0	0	0	0	0	hsa-miR-99a-5p	0.0656	0.4000	1.3374	-0.66	-0.72	0.23	2005, 2007, 2009, 2011
KBTBD8	ENST00000295568.4	kelch repeat and BTB (POZ) domain containing 8 	22	1	1	0	0	0	0	0	0	0	hsa-miR-100-5p	0.0378	0.2251	0.6822	-0.66	-0.66	< 0.1	2007, 2009, 2011
RNF144B	ENST00000259939.3	ring finger protein 144B 	17	0	0	0	0	1	1	0	0	0	hsa-miR-100-5p	0.0285	0.1781	0.6156	-0.65	-0.65	< 0.1	NULL
TTC30A	ENST00000355689.5	tetratricopeptide repeat domain 30A 	30	0	0	0	0	1	1	0	0	0	hsa-miR-99b-5p	0.0475	0.2691	0.7312	-0.62	-0.62	< 0.1	NULL
FKBP5	ENST00000536438.1	FK506 binding protein 5 	32	1	1	0	0	0	0	0	0	0	hsa-miR-100-5p	0.0412	0.2408	0.7009	-0.61	-0.61	< 0.1	2009
PCSK9	ENST00000302118.5	proprotein convertase subtilisin/kexin type 9 	2345	0	0	0	0	1	1	0	0	0	hsa-miR-99b-5p	0.0377	0.2251	0.6906	-0.60	-0.60	< 0.1	NULL
HES7	ENST00000541682.2	hairy and enhancer of split 7 (Drosophila) 	416	1	1	0	0	0	0	0	0	0	hsa-miR-99b-5p	0.0292	0.1805	0.6043	-0.59	-0.63	< 0.1	2011
HS3ST3B1	ENST00000360954.2	heparan sulfate (glucosamine) 3-O-sulfotransferase 3B1 	1489	1	1	0	0	0	0	0	0	0	hsa-miR-99a-5p	0.0247	0.1576	0.5802	-0.58	-0.58	< 0.1	2005, 2007, 2009, 2011
FGFR3	ENST00000340107.4	fibroblast growth factor receptor 3 	1085	1	1	0	0	0	0	0	0	0	hsa-miR-99a-5p	0.0244	0.1562	0.5830	-0.56	-0.56	< 0.1	2005, 2007, 2009, 2011
CTDSPL	ENST00000443503.2	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like 	372	1	1	0	0	0	0	0	0	0	hsa-miR-99b-5p	0.0570	0.2917	0.6772	-0.55	-0.73	< 0.1	2005, 2007, 2009, 2011
ATP11C	ENST00000327569.3	ATPase, class VI, type 11C 	590	0	0	0	0	1	1	0	0	0	hsa-miR-100-5p	0.0476	0.2754	0.8224	-0.55	-0.55	< 0.1	NULL
HIST4H4	ENST00000539745.1	histone cluster 4, H4 	5	0	0	0	0	1	0	0	1	0	hsa-miR-100-5p	0.0074	0.0524	0.2900	-0.55	-0.55	< 0.1	NULL
RAVER2	ENST00000371072.4	ribonucleoprotein, PTB-binding 2 	218	1	0	1	0	0	0	0	0	0	hsa-miR-99a-5p	0.0265	0.1677	0.5981	-0.52	-0.52	0.27	2007, 2009, 2011
SUDS3	ENST00000397564.2	suppressor of defective silencing 3 homolog (S. cerevisiae) 	224	0	0	0	0	2	0	1	1	0	hsa-miR-99a-5p	0.0253	0.1671	0.7070	-0.51	-0.73	< 0.1	NULL
SMARCA5	ENST00000283131.3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5 	478	1	0	1	0	0	0	0	0	0	hsa-miR-100-5p	0.0236	0.1518	0.5693	-0.51	-0.51	0.28	2005, 2007, 2009, 2011
ZNF19	ENST00000288177.5	zinc finger protein 19 	18	0	0	0	0	1	0	1	0	0	hsa-miR-99a-5p	0.0208	0.1357	0.5370	-0.50	-0.50	< 0.1	NULL
LRRC8B	ENST00000330947.2	leucine rich repeat containing 8 family, member B 	326	1	1	0	0	0	0	0	0	0	hsa-miR-99a-5p	0.0415	0.2418	0.6968	-0.50	-0.50	< 0.1	2011
HOXA1	ENST00000355633.5	homeobox A1 	157	1	0	1	0	0	0	0	0	0	hsa-miR-99a-5p	0.0236	0.1517	0.5691	-0.49	-0.49	0.26	2005, 2007, 2009, 2011
C20orf166	ENST00000370527.3	chromosome 20 open reading frame 166 	5	0	0	0	0	1	0	0	1	0	hsa-miR-99a-5p	0.0028	0.0205	0.1338	-0.49	-0.49	< 0.1	NULL
WWC3	ENST00000380861.4	WWC family member 3 	11	0	0	0	0	1	1	0	0	0	hsa-miR-99b-5p	0.0549	0.3016	0.7807	-0.49	-0.49	< 0.1	NULL
GMPS	ENST00000496455.2	guanine monphosphate synthase 	867	1	1	0	0	0	0	0	0	0	hsa-miR-99a-5p	0.0239	0.1527	0.5742	-0.49	-0.52	< 0.1	NULL
C20orf194	ENST00000453730.2	chromosome 20 open reading frame 194 	1083	0	0	0	0	1	0	1	0	1	hsa-miR-99a-5p	0.0277	0.1781	0.6988	-0.46	-0.47	< 0.1	NULL
