Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
RBX1	ENST00000216225.8	ring-box 1, E3 ubiquitin protein ligase 	3052	1	1	0	0	1	hsa-miR-100-3p				-0.83	-0.86	N/A
ELSPBP1	ENST00000597519.1	epididymal sperm binding protein 1 	19	1	1	0	0	0	hsa-miR-100-3p				-0.74	-0.74	N/A
ZNHIT3	ENST00000490126.2	zinc finger, HIT-type containing 3 	1697	1	1	0	0	0	hsa-miR-100-3p				-0.73	-0.73	N/A
SERPINB1	ENST00000380739.5	serpin peptidase inhibitor, clade B (ovalbumin), member 1 	660	2	1	1	0	0	hsa-miR-100-3p				-0.67	-0.69	N/A
VAMP3	ENST00000054666.6	vesicle-associated membrane protein 3 	515	1	1	0	0	1	hsa-miR-100-3p				-0.66	-0.67	N/A
SVIP	ENST00000354193.4	small VCP/p97-interacting protein 	521	1	1	0	0	0	hsa-miR-100-3p				-0.62	-0.62	N/A
APOPT1	ENST00000556253.2	apoptogenic 1, mitochondrial 	242	2	1	0	1	0	hsa-miR-100-3p				-0.60	-0.76	N/A
MRPS36	ENST00000256441.4	mitochondrial ribosomal protein S36 	30	1	1	0	0	0	hsa-miR-100-3p				-0.59	-0.59	N/A
MAP3K13	ENST00000448876.1	mitogen-activated protein kinase kinase kinase 13 	226	1	1	0	0	0	hsa-miR-100-3p				-0.59	-0.59	N/A
IDNK	ENST00000405990.3	idnK, gluconokinase homolog (E. coli) 	137	1	1	0	0	0	hsa-miR-100-3p				-0.59	-0.61	N/A
LINC00999	ENST00000423687.1	long intergenic non-protein coding RNA 999 	5	1	1	0	0	0	hsa-miR-100-3p				-0.58	-0.58	N/A
DUSP11	ENST00000272444.3	dual specificity phosphatase 11 (RNA/RNP complex 1-interacting) 	539	1	1	0	0	0	hsa-miR-100-3p				-0.57	-0.57	N/A
CHAC2	ENST00000295304.4	ChaC, cation transport regulator homolog 2 (E. coli) 	126	1	1	0	0	0	hsa-miR-100-3p				-0.56	-0.60	N/A
C11orf73	ENST00000533986.1	chromosome 11 open reading frame 73 	1708	3	0	0	3	0	hsa-miR-100-3p				-0.56	-0.57	N/A
THRSP	ENST00000281030.2	thyroid hormone responsive 	5	1	1	0	0	0	hsa-miR-100-3p				-0.55	-0.55	N/A
CYTL1	ENST00000307746.4	cytokine-like 1 	15	2	0	2	0	0	hsa-miR-100-3p				-0.54	-0.54	N/A
KLHL31	ENST00000370905.3	kelch-like family member 31 	16	4	0	1	3	1	hsa-miR-100-3p				-0.54	-0.60	N/A
TTC29	ENST00000513335.1	tetratricopeptide repeat domain 29 	5	1	1	0	0	0	hsa-miR-100-3p				-0.54	-0.54	N/A
KCNC2	ENST00000393288.2	potassium voltage-gated channel, Shaw-related subfamily, member 2 	5	3	1	0	2	1	hsa-miR-100-3p				-0.54	-0.59	N/A
AKR1B10	ENST00000359579.4	aldo-keto reductase family 1, member B10 (aldose reductase) 	5	1	1	0	0	0	hsa-miR-100-3p				-0.52	-0.52	N/A
NECAB1	ENST00000417640.2	N-terminal EF-hand calcium binding protein 1 	5	3	0	2	1	0	hsa-miR-100-3p				-0.52	-0.52	N/A
C4orf6	ENST00000195455.2	chromosome 4 open reading frame 6 	5	1	1	0	0	0	hsa-miR-100-3p				-0.51	-0.51	N/A
SOCS2	ENST00000548537.1	suppressor of cytokine signaling 2 	89	2	1	0	1	0	hsa-miR-100-3p				-0.51	-0.51	N/A
AKR1B15	ENST00000457545.2	aldo-keto reductase family 1, member B15 	5	1	1	0	0	0	hsa-miR-100-3p				-0.50	-0.50	N/A
ANP32E	ENST00000533654.1	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E 	572	1	1	0	0	0	hsa-miR-100-3p				-0.50	-0.51	N/A
RPL26	ENST00000293842.5	ribosomal protein L26 	16	1	0	1	0	0	hsa-miR-100-3p				-0.50	-0.50	N/A
BCAR3	ENST00000370247.3	breast cancer anti-estrogen resistance 3 	321	2	0	1	1	0	hsa-miR-100-3p				-0.50	-0.50	N/A
ACN9	ENST00000360382.4	ACN9 homolog (S. cerevisiae) 	2260	1	0	0	1	2	hsa-miR-100-3p				-0.49	-0.50	N/A
PRR26	ENST00000441152.2	proline rich 26 	5	3	0	2	1	0	hsa-miR-100-3p				-0.49	-0.49	N/A
OLR1	ENST00000543993.1	oxidized low density lipoprotein (lectin-like) receptor 1 	15	3	0	2	1	1	hsa-miR-100-3p				-0.48	-0.54	N/A
FEM1C	ENST00000274457.3	fem-1 homolog c (C. elegans) 	222	2	1	1	0	0	hsa-miR-100-3p				-0.46	-0.48	N/A
SLC25A31	ENST00000281154.4	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 31 	5	2	0	0	2	1	hsa-miR-100-3p				-0.45	-0.45	N/A
AKIRIN1	ENST00000432648.3	akirin 1 	798	2	1	0	1	0	hsa-miR-100-3p				-0.45	-0.56	N/A
C5orf64	ENST00000505642.1	chromosome 5 open reading frame 64 	5	1	1	0	0	1	hsa-miR-100-3p				-0.45	-0.45	N/A
COLCA1	ENST00000532918.1	colorectal cancer associated 1 	5	1	1	0	0	1	hsa-miR-100-3p				-0.45	-0.45	N/A
RTN4	ENST00000394609.2	reticulon 4 	34030	2	0	0	2	1	hsa-miR-100-3p				-0.45	-0.45	N/A
GCG	ENST00000418842.2	glucagon 	5	1	0	1	0	0	hsa-miR-100-3p				-0.45	-0.45	N/A
EXD2	ENST00000409018.3	exonuclease 3'-5' domain containing 2 	3135	1	1	0	0	0	hsa-miR-100-3p				-0.44	-0.45	N/A
TOB1	ENST00000499247.2	transducer of ERBB2, 1 	102	2	0	1	1	0	hsa-miR-100-3p				-0.44	-0.44	N/A
TMEM33	ENST00000504986.1	transmembrane protein 33 	1470	1	1	0	0	0	hsa-miR-100-3p				-0.44	-0.44	N/A
PHKB	ENST00000455779.1	phosphorylase kinase, beta 	973	1	1	0	0	0	hsa-miR-100-3p				-0.44	-0.44	N/A
SLC9A9	ENST00000316549.6	solute carrier family 9, subfamily A (NHE9, cation proton antiporter 9), member 9 	5	2	1	0	1	1	hsa-miR-100-3p				-0.44	-0.44	N/A
LRRC57	ENST00000397130.3	leucine rich repeat containing 57 	168	1	1	0	0	0	hsa-miR-100-3p				-0.44	-0.48	N/A
GHR	ENST00000230882.4	growth hormone receptor 	102	2	1	0	1	1	hsa-miR-100-3p				-0.43	-0.49	N/A
C10orf126	ENST00000375520.1	chromosome 10 open reading frame 126 	5	1	1	0	0	0	hsa-miR-100-3p				-0.43	-0.43	N/A
PALM2	ENST00000448454.2	paralemmin 2 	35	2	0	0	2	3	hsa-miR-100-3p				-0.43	-0.43	N/A
CCL28	ENST00000361115.4	chemokine (C-C motif) ligand 28 	5	2	0	2	0	0	hsa-miR-100-3p				-0.42	-0.42	N/A
SKP2	ENST00000274255.6	S-phase kinase-associated protein 2, E3 ubiquitin protein ligase 	340	1	1	0	0	1	hsa-miR-100-3p				-0.42	-0.42	N/A
MSH3	ENST00000265081.6	mutS homolog 3 	443	4	1	3	0	0	hsa-miR-100-3p				-0.42	-0.51	N/A
CXorf24	ENST00000357412.1	chromosome X open reading frame 24 	60	2	0	2	0	0	hsa-miR-100-3p				-0.42	-0.44	N/A
SYT10	ENST00000228567.3	synaptotagmin X 	5	2	1	1	0	0	hsa-miR-100-3p				-0.42	-0.42	N/A
SH3GL2	ENST00000380607.4	SH3-domain GRB2-like 2 	125	2	1	0	1	1	hsa-miR-100-3p				-0.42	-0.42	N/A
LMOD3	ENST00000420581.2	leiomodin 3 (fetal) 	5	3	0	2	1	0	hsa-miR-100-3p				-0.42	-0.42	N/A
CTD-2203A3.1	ENST00000510583.1	Uncharacterized protein  	5	1	0	1	0	0	hsa-miR-100-3p				-0.42	-0.42	N/A
THAP3	ENST00000054650.4	THAP domain containing, apoptosis associated protein 3 	17	1	1	0	0	0	hsa-miR-100-3p				-0.41	-0.41	N/A
SAV1	ENST00000324679.4	salvador homolog 1 (Drosophila) 	162	1	1	0	0	0	hsa-miR-100-3p				-0.41	-0.54	N/A
INSL6	ENST00000381641.3	insulin-like 6 	5	1	0	0	1	0	hsa-miR-100-3p				-0.41	-0.41	N/A
AP001652.1	ENST00000454512.1	Uncharacterized protein; cDNA FLJ60524  	5	1	0	1	0	1	hsa-miR-100-3p				-0.41	-0.41	N/A
PCMTD2	ENST00000308824.6	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2 	476	2	1	1	0	0	hsa-miR-100-3p				-0.41	-0.41	N/A
PPTC7	ENST00000354300.3	PTC7 protein phosphatase homolog (S. cerevisiae) 	817	3	1	2	0	2	hsa-miR-100-3p				-0.41	-0.41	N/A
APOL6	ENST00000409652.4	apolipoprotein L, 6 	5	4	1	1	2	2	hsa-miR-100-3p				-0.41	-0.41	N/A
PACSIN2	ENST00000263246.3	protein kinase C and casein kinase substrate in neurons 2 	402	1	1	0	0	1	hsa-miR-100-3p				-0.41	-0.41	N/A
TLX2	ENST00000233638.7	T-cell leukemia homeobox 2 	5	1	1	0	0	0	hsa-miR-100-3p				-0.41	-0.41	N/A
ZNF791	ENST00000446165.1	zinc finger protein 791 	242	3	0	2	1	0	hsa-miR-100-3p				-0.40	-0.47	N/A
GGA2	ENST00000309859.4	golgi-associated, gamma adaptin ear containing, ARF binding protein 2 	645	2	1	0	1	0	hsa-miR-100-3p				-0.40	-0.43	N/A
SIX1	ENST00000247182.6	SIX homeobox 1 	1264	1	1	0	0	1	hsa-miR-100-3p				-0.40	-0.40	N/A
JAK2	ENST00000381652.3	Janus kinase 2 	17	2	1	0	1	1	hsa-miR-100-3p				-0.40	-0.40	N/A
BLOC1S5	ENST00000397457.2	biogenesis of lysosomal organelles complex-1, subunit 5, muted 	187	2	1	0	1	2	hsa-miR-100-3p				-0.39	-0.39	N/A
WISP3	ENST00000361714.1	WNT1 inducible signaling pathway protein 3 	5	1	1	0	0	0	hsa-miR-100-3p				-0.39	-0.39	N/A
LAYN	ENST00000525126.1	layilin 	175	2	1	1	0	0	hsa-miR-100-3p				-0.39	-0.46	N/A
OXGR1	ENST00000298440.1	oxoglutarate (alpha-ketoglutarate) receptor 1 	7	1	1	0	0	0	hsa-miR-100-3p				-0.39	-0.39	N/A
AKAP5	ENST00000394718.4	A kinase (PRKA) anchor protein 5 	75	1	1	0	0	1	hsa-miR-100-3p				-0.39	-0.39	N/A
SEP15	ENST00000401030.3	Homo sapiens 15 kDa selenoprotein (SEP15), transcript variant 2, mRNA. 	2047	1	1	0	0	0	hsa-miR-100-3p				-0.38	-0.39	N/A
PVRL3	ENST00000319792.3	poliovirus receptor-related 3 	361	1	1	0	0	2	hsa-miR-100-3p				-0.38	-0.40	N/A
MND1	ENST00000240488.3	meiotic nuclear divisions 1 homolog (S. cerevisiae) 	1780	1	0	1	0	0	hsa-miR-100-3p				-0.38	-0.38	N/A
C14orf105	ENST00000216445.3	chromosome 14 open reading frame 105 	5	1	1	0	0	2	hsa-miR-100-3p				-0.38	-0.38	N/A
SPIN1	ENST00000375859.3	spindlin 1 	686	3	0	2	1	1	hsa-miR-100-3p				-0.38	-0.40	N/A
PRKAR1A	ENST00000589228.1	protein kinase, cAMP-dependent, regulatory, type I, alpha 	1257	1	1	0	0	2	hsa-miR-100-3p				-0.38	-0.41	N/A
NUP43	ENST00000367403.3	nucleoporin 43kDa 	113	1	1	0	0	1	hsa-miR-100-3p				-0.38	-0.42	N/A
ZDHHC20	ENST00000320220.9	zinc finger, DHHC-type containing 20 	1486	2	1	0	1	0	hsa-miR-100-3p				-0.38	-0.38	N/A
FAM118B	ENST00000533050.1	family with sequence similarity 118, member B 	788	2	0	0	2	1	hsa-miR-100-3p				-0.38	-0.65	N/A
GJA3	ENST00000241125.3	gap junction protein, alpha 3, 46kDa 	244	3	0	3	0	1	hsa-miR-100-3p				-0.37	-0.39	N/A
NMNAT1	ENST00000377205.1	nicotinamide nucleotide adenylyltransferase 1 	72	3	0	2	1	2	hsa-miR-100-3p				-0.37	-0.39	N/A
