ensembl_gene_id	external_gene_name	gene_biotype
ENSMUSG00000064336	mt-Tf	Mt_tRNA
ENSMUSG00000064337	mt-Rnr1	Mt_rRNA
ENSMUSG00000064338	mt-Tv	Mt_tRNA
ENSMUSG00000064339	mt-Rnr2	Mt_rRNA
ENSMUSG00000064340	mt-Tl1	Mt_tRNA
ENSMUSG00000064341	mt-Nd1	protein_coding
ENSMUSG00000064342	mt-Ti	Mt_tRNA
ENSMUSG00000064343	mt-Tq	Mt_tRNA
ENSMUSG00000064344	mt-Tm	Mt_tRNA
ENSMUSG00000064345	mt-Nd2	protein_coding
ENSMUSG00000064346	mt-Tw	Mt_tRNA
ENSMUSG00000064347	mt-Ta	Mt_tRNA
ENSMUSG00000064348	mt-Tn	Mt_tRNA
ENSMUSG00000064349	mt-Tc	Mt_tRNA
ENSMUSG00000064350	mt-Ty	Mt_tRNA
ENSMUSG00000064351	mt-Co1	protein_coding
ENSMUSG00000064352	mt-Ts1	Mt_tRNA
ENSMUSG00000064353	mt-Td	Mt_tRNA
ENSMUSG00000064354	mt-Co2	protein_coding
ENSMUSG00000064355	mt-Tk	Mt_tRNA
ENSMUSG00000064356	mt-Atp8	protein_coding
ENSMUSG00000064357	mt-Atp6	protein_coding
ENSMUSG00000064358	mt-Co3	protein_coding
ENSMUSG00000064359	mt-Tg	Mt_tRNA
ENSMUSG00000064360	mt-Nd3	protein_coding
ENSMUSG00000064361	mt-Tr	Mt_tRNA
ENSMUSG00000065947	mt-Nd4l	protein_coding
ENSMUSG00000064363	mt-Nd4	protein_coding
ENSMUSG00000064364	mt-Th	Mt_tRNA
ENSMUSG00000064365	mt-Ts2	Mt_tRNA
ENSMUSG00000064366	mt-Tl2	Mt_tRNA
ENSMUSG00000064367	mt-Nd5	protein_coding
ENSMUSG00000064368	mt-Nd6	protein_coding
ENSMUSG00000064369	mt-Te	Mt_tRNA
ENSMUSG00000064370	mt-Cytb	protein_coding
ENSMUSG00000064371	mt-Tt	Mt_tRNA
ENSMUSG00000064372	mt-Tp	Mt_tRNA
ENSMUSG00002075400		miRNA
ENSMUSG00000094722		protein_coding
ENSMUSG00000096776	Vmn1r186	protein_coding
ENSMUSG00000094741		protein_coding
ENSMUSG00002074899		miRNA
ENSMUSG00002074970		miRNA
ENSMUSG00002076890		miRNA
ENSMUSG00000095019		protein_coding
ENSMUSG00000095666		protein_coding
ENSMUSG00000094303		protein_coding
ENSMUSG00000094915		protein_coding
ENSMUSG00000095041		protein_coding
ENSMUSG00000095250		protein_coding
ENSMUSG00000079800		protein_coding
ENSMUSG00000079222		protein_coding
ENSMUSG00000094836		protein_coding
ENSMUSG00002075729		miRNA
ENSMUSG00000096244		protein_coding
ENSMUSG00000079808		protein_coding
ENSMUSG00000095787		protein_coding
ENSMUSG00000074720		protein_coding
ENSMUSG00000096236		protein_coding
ENSMUSG00000095092		protein_coding
ENSMUSG00000094383		protein_coding
ENSMUSG00000094874		protein_coding
ENSMUSG00000096680		protein_coding
ENSMUSG00000096100		protein_coding
ENSMUSG00000094337		protein_coding
ENSMUSG00000079192		protein_coding
ENSMUSG00000094054		processed_pseudogene
ENSMUSG00000096756		protein_coding
ENSMUSG00000095500		protein_coding
ENSMUSG00000095672		protein_coding
ENSMUSG00000095505		protein_coding
ENSMUSG00000079794		protein_coding
ENSMUSG00000079190		protein_coding
ENSMUSG00000095450		protein_coding
ENSMUSG00000094474		protein_coding
ENSMUSG00000144201		lncRNA
ENSMUSG00000094799		protein_coding
ENSMUSG00000094728		protein_coding
ENSMUSG00000095570		protein_coding
ENSMUSG00000062783	Csprs	protein_coding
ENSMUSG00000144196		lncRNA
ENSMUSG00000094791		protein_coding
ENSMUSG00000094514		protein_coding
ENSMUSG00000096728		protein_coding
ENSMUSG00000096808		protein_coding
ENSMUSG00000096550	Gm16367	protein_coding
ENSMUSG00000144204		lncRNA
ENSMUSG00000144203		lncRNA
ENSMUSG00000144199		lncRNA
ENSMUSG00000094172		protein_coding
ENSMUSG00000094887		protein_coding
ENSMUSG00000091585		protein_coding
ENSMUSG00000095763		protein_coding
ENSMUSG00000095523		protein_coding
ENSMUSG00000095475		protein_coding
ENSMUSG00000094855		protein_coding
ENSMUSG00000100384	Gm28489	unprocessed_pseudogene
ENSMUSG00000100216	Gm21867	unprocessed_pseudogene
ENSMUSG00000099641	Gm29448	unprocessed_pseudogene
ENSMUSG00000095634	Gm20816	protein_coding
ENSMUSG00000101393	Gm29447	lncRNA
ENSMUSG00000100885	Gm29446	lncRNA
ENSMUSG00000101120	Gm29452	processed_pseudogene
ENSMUSG00000101216	Gm29451	unprocessed_pseudogene
ENSMUSG00000100032	Gm20817	protein_coding
ENSMUSG00000101080	Gm28633	lncRNA
ENSMUSG00000094444	Gm21562	lncRNA
ENSMUSG00000100308	Gm29410	unprocessed_pseudogene
ENSMUSG00000101423	Gm28298	lncRNA
ENSMUSG00000095626	Gm21572	lncRNA
ENSMUSG00000101761	Gm28297	lncRNA
ENSMUSG00000099493	Gm21753	unprocessed_pseudogene
ENSMUSG00000096777	Gm21723	lncRNA
ENSMUSG00000102119	Gm28462	lncRNA
ENSMUSG00000100739	Gm28296	lncRNA
ENSMUSG00000095345	Gm21821	lncRNA
ENSMUSG00000100709	Gm28295	lncRNA
ENSMUSG00000100976	Gm29134	unprocessed_pseudogene
ENSMUSG00000100489	Gm28303	unprocessed_pseudogene
ENSMUSG00000101239	Gm28304	processed_pseudogene
ENSMUSG00000100971	Gm28824	lncRNA
ENSMUSG00000100509	Gm21810	unprocessed_pseudogene
ENSMUSG00000095553	Gm21916	lncRNA
ENSMUSG00000101099	Gm29191	lncRNA
ENSMUSG00000101601	Gm28210	lncRNA
ENSMUSG00000101516	Gm29074	lncRNA
ENSMUSG00000101359	Gm28211	unprocessed_pseudogene
ENSMUSG00000100790	Gm28518	lncRNA
ENSMUSG00000101302	Gm28519	lncRNA
ENSMUSG00000102125	Gm28520	lncRNA
ENSMUSG00000094064	Gm21626	lncRNA
ENSMUSG00000101421	Gm28433	processed_pseudogene
ENSMUSG00000099461	Gm28521	lncRNA
ENSMUSG00000101706	Gm28431	lncRNA
ENSMUSG00000096532	Gm21633	lncRNA
ENSMUSG00000101627	Gm28432	lncRNA
ENSMUSG00000101681	Gm28522	lncRNA
ENSMUSG00000101870	Gm21745	unprocessed_pseudogene
ENSMUSG00000101472	Gm28517	lncRNA
ENSMUSG00000101407	Gm29532	lncRNA
ENSMUSG00000099500	Gm29531	lncRNA
ENSMUSG00000100097	Gm28464	lncRNA
ENSMUSG00000099806	Gm28841	unprocessed_pseudogene
ENSMUSG00000101474	Gm29656	lncRNA
ENSMUSG00000099704	Gm28842	lncRNA
ENSMUSG00000099737	Gm29655	lncRNA
ENSMUSG00000099914	Gm28837	unprocessed_pseudogene
ENSMUSG00000101417	Gm21647	unprocessed_pseudogene
ENSMUSG00000101654	Gm29653	lncRNA
ENSMUSG00000099369	Gm28838	processed_pseudogene
ENSMUSG00000101808	Gm29654	lncRNA
ENSMUSG00000101893	Gm28839	lncRNA
ENSMUSG00000099910	Gm29651	unprocessed_pseudogene
ENSMUSG00000099818	Gm29652	unprocessed_pseudogene
ENSMUSG00000100500	Gm29080	lncRNA
ENSMUSG00000101255	Gm21841	unprocessed_pseudogene
ENSMUSG00000099463	Gm29081	lncRNA
ENSMUSG00000100745	Gm29077	lncRNA
ENSMUSG00000101341	Gm29076	unprocessed_pseudogene
ENSMUSG00000100193	Gm29079	unprocessed_pseudogene
ENSMUSG00000099651	Gm29078	lncRNA
ENSMUSG00000100535	Gm20870	protein_coding
ENSMUSG00000099390	Gm29225	lncRNA
ENSMUSG00000099738	Gm28483	unprocessed_pseudogene
ENSMUSG00000100422	Gm29226	lncRNA
ENSMUSG00000101988	Gm28484	unprocessed_pseudogene
ENSMUSG00000100385	Gm29227	processed_pseudogene
ENSMUSG00000101626	Gm29386	lncRNA
ENSMUSG00000101091	Gm29384	lncRNA
ENSMUSG00000100229	Gm21896	unprocessed_pseudogene
ENSMUSG00000101691	Gm29280	unprocessed_pseudogene
ENSMUSG00000100244	Gm29279	unprocessed_pseudogene
ENSMUSG00000100694	Gm29182	lncRNA
ENSMUSG00000099799	Gm28260	lncRNA
ENSMUSG00000101806	Gm28261	unprocessed_pseudogene
ENSMUSG00000101632	Gm28264	lncRNA
ENSMUSG00000099963	Gm28463	lncRNA
ENSMUSG00000101857	Gm21757	unprocessed_pseudogene
ENSMUSG00000101836	Gm28968	unprocessed_pseudogene
ENSMUSG00000102008	Gm28495	processed_pseudogene
ENSMUSG00000100263	Gm28468	unprocessed_pseudogene
ENSMUSG00000101425	Gm29255	lncRNA
ENSMUSG00000099822	Gm28332	lncRNA
ENSMUSG00000099547	Gm28678	unprocessed_pseudogene
ENSMUSG00000101781	Gm28333	lncRNA
ENSMUSG00000101271	Gm28334	unprocessed_pseudogene
