Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
PPP1R12B	ENST00000608999.1	protein phosphatase 1, regulatory subunit 12B 	18	3	1	1	1	5	hsa-miR-103a-2-5p				-1.21	-1.81	N/A
CCDC180	ENST00000395220.1	coiled-coil domain containing 180 	10	2	1	0	1	5	hsa-miR-103a-2-5p				-1.08	-1.08	N/A
ARHGAP17	ENST00000441763.2	Rho GTPase activating protein 17 	1337	3	1	1	1	0	hsa-miR-103a-2-5p				-1.02	-1.02	N/A
DST	ENST00000312431.6	dystonin 	439	7	4	1	2	4	hsa-miR-103a-2-5p				-1.01	-1.05	N/A
XRCC5	ENST00000392133.3	X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining) 	14802	1*	0	0	0	6	hsa-miR-103a-2-5p				-1.00	0	N/A
LILRB3	ENST00000391750.1	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 3 	5	2	2	0	0	0	hsa-miR-103a-2-5p				-0.91	-0.91	N/A
KIAA1211	ENST00000504228.1	KIAA1211 	631	2	2	0	0	0	hsa-miR-103a-2-5p				-0.89	-0.89	N/A
MAB21L2	ENST00000317605.4	mab-21-like 2 (C. elegans) 	63	2	2	0	0	0	hsa-miR-103a-2-5p				-0.88	-0.88	N/A
POTEE	ENST00000358087.5	POTE ankyrin domain family, member E 	5	3	2	0	1	1	hsa-miR-103a-2-5p				-0.86	-0.86	N/A
AFF1	ENST00000395146.4	AF4/FMR2 family, member 1 	28	3	1	0	2	0	hsa-miR-103a-2-5p				-0.77	-0.92	N/A
CCL23	ENST00000591423.1	chemokine (C-C motif) ligand 23 	5	1	1	0	0	0	hsa-miR-103a-2-5p				-0.74	-0.74	N/A
AC092675.3	ENST00000409490.1	Uncharacterized protein  	5	2	1	0	1	0	hsa-miR-103a-2-5p				-0.72	-0.72	N/A
PAK2	ENST00000327134.3	p21 protein (Cdc42/Rac)-activated kinase 2 	145	5	2	1	2	0	hsa-miR-103a-2-5p				-0.72	-0.88	N/A
NDUFA4L2	ENST00000556732.1	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4-like 2 	10	3	1	1	1	0	hsa-miR-103a-2-5p				-0.71	-0.78	N/A
C5orf24	ENST00000394976.3	chromosome 5 open reading frame 24 	2668	4	2	1	1	0	hsa-miR-103a-2-5p				-0.70	-0.74	N/A
PLAGL1	ENST00000360537.2	pleiomorphic adenoma gene-like 1 	40	2	1	0	1	0	hsa-miR-103a-2-5p				-0.70	-0.70	N/A
IFNA14	ENST00000380222.2	interferon, alpha 14 	5	1	1	0	0	0	hsa-miR-103a-2-5p				-0.68	-0.68	N/A
OTC	ENST00000039007.4	ornithine carbamoyltransferase 	5	2	1	1	0	0	hsa-miR-103a-2-5p				-0.67	-0.85	N/A
KCNE3	ENST00000310128.4	potassium voltage-gated channel, Isk-related family, member 3 	16	3	1	0	2	0	hsa-miR-103a-2-5p				-0.67	-0.67	N/A
ZSWIM7	ENST00000486655.1	zinc finger, SWIM-type containing 7 	656	2	2	0	0	1	hsa-miR-103a-2-5p				-0.66	-1.06	N/A
KPNA5	ENST00000368564.1	karyopherin alpha 5 (importin alpha 6) 	76	2	1	0	1	1	hsa-miR-103a-2-5p				-0.66	-0.81	N/A
HDDC2	ENST00000608295.1	HD domain containing 2 	1973	3	1	1	1	1	hsa-miR-103a-2-5p				-0.66	-0.78	N/A
RP11-366L20.2	ENST00000356215.2	Uncharacterized protein  	5	3	2	0	1	0	hsa-miR-103a-2-5p				-0.66	-0.66	N/A
POTEC	ENST00000358970.5	POTE ankyrin domain family, member C 	0	1	1	0	0	0	hsa-miR-103a-2-5p				-0.65	-0.65	N/A
CSTA	ENST00000264474.3	cystatin A (stefin A) 	5	1	1	0	0	0	hsa-miR-103a-2-5p				-0.64	-0.64	N/A
MRPL1	ENST00000315567.8	mitochondrial ribosomal protein L1 	1407	1	1	0	0	0	hsa-miR-103a-2-5p				-0.64	-0.64	N/A
RGS10	ENST00000392865.1	regulator of G-protein signaling 10 	457	1	1	0	0	0	hsa-miR-103a-2-5p				-0.64	-0.64	N/A
TBCA	ENST00000306388.6	tubulin folding cofactor A 	3605	2	1	1	0	2	hsa-miR-103a-2-5p				-0.63	-0.63	N/A
HN1	ENST00000476258.1	hematological and neurological expressed 1 	15013	1	1	0	0	0	hsa-miR-103a-2-5p				-0.62	-0.62	N/A
PALMD	ENST00000263174.4	palmdelphin 	66	1	1	0	0	0	hsa-miR-103a-2-5p				-0.61	-0.61	N/A
KRTAP2-1	ENST00000391419.3	keratin associated protein 2-1 	5	1	1	0	0	0	hsa-miR-103a-2-5p				-0.61	-0.61	N/A
AC016559.1	ENST00000594347.1	Uncharacterized protein  	15	3	2	0	1	0	hsa-miR-103a-2-5p				-0.61	-0.61	N/A
PRR15	ENST00000319694.2	proline rich 15 	244	2	1	0	1	0	hsa-miR-103a-2-5p				-0.60	-0.67	N/A
FGF1	ENST00000360966.5	fibroblast growth factor 1 (acidic) 	88	2	1	1	0	0	hsa-miR-103a-2-5p				-0.60	-0.70	N/A
CALN1	ENST00000329008.5	calneuron 1 	5	5	2	2	1	2	hsa-miR-103a-2-5p				-0.59	-0.59	N/A
MCFD2	ENST00000444761.2	multiple coagulation factor deficiency 2 	1648	3	3	0	0	1	hsa-miR-103a-2-5p				-0.59	-0.70	N/A
