Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
CADM2	ENST00000383699.3	cell adhesion molecule 2 	5	8	4	2	2	4	hsa-miR-16-2-3p				-1.11	-1.11	N/A
FUT9	ENST00000302103.5	fucosyltransferase 9 (alpha (1,3) fucosyltransferase) 	5	3	0	1	2	1	hsa-miR-16-2-3p				-0.92	-0.92	N/A
BCHE	ENST00000264381.3	butyrylcholinesterase 	5	2	2	0	0	0	hsa-miR-16-2-3p				-0.79	-0.79	N/A
AL353791.1	ENST00000426179.1		5	4	2	0	2	0	hsa-miR-16-2-3p				-0.78	-0.78	N/A
RGS17	ENST00000367225.2	regulator of G-protein signaling 17 	11	3	2	0	1	4	hsa-miR-16-2-3p				-0.76	-1.55	N/A
RORA	ENST00000335670.6	RAR-related orphan receptor A 	102	2	1	0	1	5	hsa-miR-16-2-3p				-0.74	-0.93	N/A
ZBTB37	ENST00000367701.5	zinc finger and BTB domain containing 37 	213	9	1	4	4	7	hsa-miR-16-2-3p				-0.74	-0.83	N/A
COMMD8	ENST00000381571.4	COMM domain containing 8 	1146	3	2	1	0	0	hsa-miR-195-3p				-0.73	-0.75	N/A
DGKH	ENST00000261491.5	diacylglycerol kinase, eta 	46	6	0	2	4	4	hsa-miR-16-2-3p				-0.72	-1.30	N/A
GABRA4	ENST00000264318.3	gamma-aminobutyric acid (GABA) A receptor, alpha 4 	5	3	0	2	1	3	hsa-miR-16-2-3p				-0.70	-0.70	N/A
NAT2	ENST00000286479.3	N-acetyltransferase 2 (arylamine N-acetyltransferase) 	5	2	1	1	0	0	hsa-miR-16-2-3p				-0.64	-0.64	N/A
RP11-67H2.1	ENST00000521500.2	Uncharacterized protein  	5	2	1	0	1	0	hsa-miR-195-3p				-0.61	-0.61	N/A
SULT6B1	ENST00000535679.1	sulfotransferase family, cytosolic, 6B, member 1 	5	1	1	0	0	0	hsa-miR-16-2-3p				-0.60	-0.60	N/A
OR1E1	ENST00000322608.2	olfactory receptor, family 1, subfamily E, member 1 	5	2	1	1	0	0	hsa-miR-16-2-3p				-0.59	-0.59	N/A
RCN2	ENST00000394885.3	reticulocalbin 2, EF-hand calcium binding domain 	4448	3	2	1	0	1	hsa-miR-16-2-3p				-0.58	-0.94	N/A
MOB1B	ENST00000309395.2	MOB kinase activator 1B 	54	4	1	2	1	2	hsa-miR-16-2-3p				-0.57	-0.57	N/A
FAM133A	ENST00000538690.1	family with sequence similarity 133, member A 	14	3	2	0	1	0	hsa-miR-16-2-3p				-0.56	-0.56	N/A
GABPB1	ENST00000429662.2	GA binding protein transcription factor, beta subunit 1 	292	2	2	0	0	1	hsa-miR-195-3p				-0.55	-0.83	N/A
PSMA8	ENST00000343848.6	proteasome (prosome, macropain) subunit, alpha type, 8 	5	2	2	0	0	1	hsa-miR-16-2-3p				-0.55	-0.55	N/A
ATP7A	ENST00000343533.5	ATPase, Cu++ transporting, alpha polypeptide 	141	2	1	1	0	2	hsa-miR-195-3p				-0.55	-0.56	N/A
KCNJ6	ENST00000609713.1	potassium inwardly-rectifying channel, subfamily J, member 6 	5	4	1	2	1	6	hsa-miR-195-3p				-0.55	-0.55	N/A
ARL15	ENST00000502271.1	ADP-ribosylation factor-like 15 	119	3	0	2	1	2	hsa-miR-16-2-3p				-0.55	-0.64	N/A
TMEM161B	ENST00000506536.1	transmembrane protein 161B 	14	2	1	0	1	0	hsa-miR-16-2-3p				-0.55	-0.55	N/A
NGLY1	ENST00000422724.2	N-glycanase 1 	31	2	1	1	0	0	hsa-miR-195-3p				-0.54	-0.54	N/A
