Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
WFDC8	ENST00000357199.4	WAP four-disulfide core domain 8 	5	0	0	0	0	2	2	0	0	0	hsa-miR-199a-3p	0.0760	0.4475	1.3469	-1.17	-1.17	< 0.1	NULL
CDNF	ENST00000378442.1	cerebral dopamine neurotrophic factor 	6	0	0	0	0	2	1	0	1	0	hsa-miR-199a-3p	0.0389	0.2437	0.9004	-0.83	-0.83	< 0.1	NULL
FABP12	ENST00000360464.4	fatty acid binding protein 12 	5	0	0	0	0	1	1	0	0	0	hsa-miR-199a-3p	0.0225	0.1454	0.5570	-0.82	-0.82	< 0.1	NULL
KLHL3	ENST00000541417.1	kelch-like family member 3 	40	3	1	1	1	1	0	1	0	3	hsa-miR-199a-3p	0.0952	0.5798	2.1315	-0.80	-0.96	0.98	NULL
SERPINE2	ENST00000409304.1	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2 	1372	1	1	0	0	1	0	1	0	0	hsa-miR-199a-3p	0.0567	0.3246	0.9943	-0.77	-0.80	0.71	NULL
TMSB4X	ENST00000451311.2	thymosin beta 4, X-linked 	5	1	1	0	0	0	0	0	0	0	hsa-miR-199a-3p	0.0441	0.2543	0.7159	-0.75	-0.75	0.65	NULL
PAWR	ENST00000328827.4	PRKC, apoptosis, WT1, regulator 	1872	1	1	0	0	1	0	0	1	1	hsa-miR-199a-3p	0.0766	0.3976	1.0257	-0.74	-0.82	0.88	NULL
NLK	ENST00000407008.3	nemo-like kinase 	61	1	1	0	0	0	0	0	0	0	hsa-miR-199a-3p	0.1112	0.4826	0.8961	-0.73	-0.73	0.72	NULL
QKI	ENST00000392127.2	QKI, KH domain containing, RNA binding 	323	3	0	3	0	1	0	1	0	1	hsa-miR-199a-3p	0.1337	0.7660	2.3437	-0.73	-0.91	0.97	NULL
ANKRD61	ENST00000409061.1	ankyrin repeat domain 61 	6	0	0	0	0	1	1	0	0	0	hsa-miR-199a-3p	0.0424	0.2511	0.7846	-0.72	-0.72	< 0.1	NULL
VAMP3	ENST00000054666.6	vesicle-associated membrane protein 3 	515	2	1	1	0	0	0	0	0	1	hsa-miR-199a-3p	0.0336	0.2232	0.9750	-0.72	-0.98	0.89	NULL
HVCN1	ENST00000242607.8	hydrogen voltage-gated channel 1 	8	0	0	0	0	2	0	2	0	1	hsa-miR-199a-3p	0.0305	0.2048	0.9115	-0.72	-0.78	< 0.1	NULL
GNA12	ENST00000275364.3	guanine nucleotide binding protein (G protein) alpha 12 	565	2	1	0	1	1	0	0	1	0	hsa-miR-199a-3p	0.1219	0.6359	1.6138	-0.71	-0.73	0.98	NULL
RP11-379H8.1	ENST00000568285.1	Uncharacterized protein  	5	0	0	0	0	1	1	0	0	0	hsa-miR-199a-3p	0.0170	0.1134	0.4858	-0.71	-0.71	< 0.1	NULL
PAK4	ENST00000599386.1	p21 protein (Cdc42/Rac)-activated kinase 4 	130	2	1	1	0	0	0	0	0	0	hsa-miR-199a-3p	0.0811	0.4661	1.3602	-0.71	-0.71	0.98	NULL
DEPDC1B	ENST00000265036.5	DEP domain containing 1B 	449	1	1	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0648	0.3665	1.1175	-0.70	-0.72	0.44	NULL
BCAR3	ENST00000370247.3	breast cancer anti-estrogen resistance 3 	321	1	1	0	0	1	0	1	0	0	hsa-miR-199a-3p	0.0556	0.3173	0.9887	-0.70	-0.86	0.64	NULL
NOVA1	ENST00000465357.2	neuro-oncological ventral antigen 1 	5	2	1	1	0	0	0	0	0	0	hsa-miR-199a-3p	0.0609	0.3857	1.4466	-0.69	-0.69	0.93	NULL
CDK7	ENST00000256443.3	cyclin-dependent kinase 7 	273	1	1	0	0	0	0	0	0	0	hsa-miR-199a-3p	0.0284	0.1778	0.6150	-0.68	-0.68	< 0.1	NULL
PON2	ENST00000536183.1	paraoxonase 2 	597	1	1	0	0	0	0	0	0	1	hsa-miR-199a-3p	0.0495	0.2836	0.8339	-0.67	-0.74	0.82	NULL
FAM199X	ENST00000493442.1	family with sequence similarity 199, X-linked 	856	2	2	0	0	0	0	0	0	0	hsa-miR-199a-3p	0.1115	0.6228	1.7748	-0.66	-0.69	0.82	NULL
CYB5R4	ENST00000369681.5	cytochrome b5 reductase 4 	329	1	1	0	0	0	0	0	0	2	hsa-miR-199a-3p	0.0800	0.3953	0.8769	-0.66	-0.68	0.75	NULL
CD2AP	ENST00000359314.5	CD2-associated protein 	145	1	1	0	0	1	1	0	0	0	hsa-miR-199a-3p	0.1453	0.6082	1.2825	-0.65	-0.66	0.87	NULL
CISD2	ENST00000273986.4	CDGSH iron sulfur domain 2 	13	1	0	1	0	1	0	1	0	0	hsa-miR-199a-3p	0.0291	0.1962	0.8962	-0.63	-0.63	0.80	NULL
MCFD2	ENST00000444761.2	multiple coagulation factor deficiency 2 	1648	1	0	1	0	2	0	2	0	1	hsa-miR-199a-3p	0.0356	0.2408	1.1518	-0.62	-0.69	0.83	NULL
AGPAT9	ENST00000395226.2	1-acylglycerol-3-phosphate O-acyltransferase 9 	89	0	0	0	0	2	1	0	1	1	hsa-miR-199a-3p	0.0354	0.2297	0.9611	-0.62	-0.62	< 0.1	NULL
UPRT	ENST00000373379.1	uracil phosphoribosyltransferase (FUR1) homolog (S. cerevisiae) 	943	1	1	0	0	0	0	0	0	1	hsa-miR-199a-3p	0.0403	0.2513	0.9485	-0.62	-0.62	< 0.1	NULL
DIRC2	ENST00000261038.5	disrupted in renal carcinoma 2 	1041	1	1	0	0	0	0	0	0	0	hsa-miR-199a-3p	0.0409	0.2442	0.7819	-0.62	-0.63	0.48	NULL
